Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,65,33,249.890594482422,6
AddNodesDynamically,0,6,102,37,251.52746963501,7
AddNodesDynamically,0,7,138,36,256.485106468201,8
AddNodesDynamically,0,8,176,38,304.775671958923,9
AddNodesDynamically,0,9,550,374,309.19145488739,10
AddNodesDynamically,0,10,589,39,359.001685142517,11
AddNodesDynamically,0,11,645,56,354.747114181519,12
AddNodesDynamically,0,12,685,40,358.894552230835,13
AddNodesDynamically,0,13,726,41,363.949505805969,14
AddNodesDynamically,0,14,768,42,387.338122367859,15
