Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,65,33,249.890594482422,6
AddNodesDynamically,0,6,99,34,251.52746963501,7
AddNodesDynamically,0,7,136,37,256.485106468201,8
AddNodesDynamically,0,8,174,38,304.775671958923,9
AddNodesDynamically,0,9,212,38,314.668992042542,10
AddNodesDynamically,0,10,829,617,353.524147987366,11
AddNodesDynamically,0,11,993,164,354.747114181519,12
AddNodesDynamically,0,12,1033,40,358.894552230835,13
AddNodesDynamically,0,13,1074,41,363.949505805969,14
AddNodesDynamically,0,14,1116,42,387.338122367859,15
