Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,34,34,242.641902923584,5
AddNodesDynamically,0,5,68,34,249.890594482422,6
AddNodesDynamically,0,6,135,67,251.52746963501,7
AddNodesDynamically,0,7,179,44,256.485106468201,8
AddNodesDynamically,0,8,230,51,304.775671958923,9
AddNodesDynamically,0,9,403,173,309.19145488739,10
AddNodesDynamically,0,10,818,415,353.524147987366,11
AddNodesDynamically,0,11,910,92,354.747114181519,12
AddNodesDynamically,0,12,1285,375,358.894552230835,13
AddNodesDynamically,0,13,1382,97,363.949505805969,14
AddNodesDynamically,0,14,1452,70,387.338122367859,15
