Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,63,32,249.890594482422,6
RebuildWholeGraph,0,6,102,39,251.52746963501,7
RebuildWholeGraph,0,7,142,40,256.485106468201,8
RebuildWholeGraph,0,8,191,49,304.775671958923,9
RebuildWholeGraph,0,9,1042,851,309.19145488739,10
RebuildWholeGraph,0,10,1195,153,353.524147987366,11
RebuildWholeGraph,0,11,1308,113,354.747114181519,12
RebuildWholeGraph,0,12,1396,88,358.894552230835,13
RebuildWholeGraph,0,13,1454,58,363.949505805969,14
RebuildWholeGraph,0,14,1520,66,387.338122367859,15
