Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,40,40,620,1051.13636363636
RebuildWholeGraph,0,11,45,45,620,1051.13636363636
RebuildWholeGraph,0,11,42,42,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,41,41,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,41,41,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,41,41,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,48,48,620,1051.13636363636
RebuildWholeGraph,0,11,41,41,620,1051.13636363636
RebuildWholeGraph,0,11,44,44,620,1051.13636363636
RebuildWholeGraph,0,11,45,45,620,1051.13636363636
RebuildWholeGraph,0,11,42,42,620,1051.13636363636
RebuildWholeGraph,0,11,46,46,620,1051.13636363636
RebuildWholeGraph,0,11,44,44,620,1051.13636363636
RebuildWholeGraph,0,11,43,43,620,1051.13636363636
RebuildWholeGraph,0,11,45,45,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,46,46,620,1051.13636363636
RebuildWholeGraph,0,11,40,40,620,1051.13636363636
RebuildWholeGraph,0,11,40,40,620,1051.13636363636
RebuildWholeGraph,0,11,48,48,620,1051.13636363636
RebuildWholeGraph,0,11,39,39,620,1051.13636363636
RebuildWholeGraph,0,11,43,43,620,1051.13636363636
RebuildWholeGraph,0,11,43,43,620,1051.13636363636
