Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,57,57,677,934.923423470256
RebuildWholeGraph,0,11,47,47,634,938.38922971377
RebuildWholeGraph,0,11,68,68,677,934.923423470256
RebuildWholeGraph,0,11,52,52,634,938.38922971377
RebuildWholeGraph,0,11,60,60,634,934.923423470256
RebuildWholeGraph,0,11,47,47,677,938.38922971377
RebuildWholeGraph,0,11,106,106,677,934.923423470256
RebuildWholeGraph,0,11,91,91,634,934.923423470256
RebuildWholeGraph,0,11,68,68,634,934.923423470256
RebuildWholeGraph,0,11,61,61,677,934.923423470256
RebuildWholeGraph,0,11,55,55,634,934.923423470256
RebuildWholeGraph,0,11,48,48,634,938.38922971377
RebuildWholeGraph,0,11,51,51,634,938.38922971377
RebuildWholeGraph,0,11,54,54,677,934.923423470256
RebuildWholeGraph,0,11,69,69,677,934.923423470256
RebuildWholeGraph,0,11,88,88,677,934.923423470256
RebuildWholeGraph,0,11,57,57,677,934.923423470256
RebuildWholeGraph,0,11,78,78,677,934.923423470256
RebuildWholeGraph,0,11,69,69,677,934.923423470256
RebuildWholeGraph,0,11,49,49,607,938.38922971377
RebuildWholeGraph,0,11,50,50,677,934.923423470256
RebuildWholeGraph,0,11,53,53,634,934.923423470256
RebuildWholeGraph,0,11,48,48,677,934.923423470256
RebuildWholeGraph,0,11,69,69,677,934.923423470256
RebuildWholeGraph,0,11,99,99,677,934.923423470256
RebuildWholeGraph,0,11,46,46,634,938.38922971377
RebuildWholeGraph,0,11,69,69,677,934.923423470256
RebuildWholeGraph,0,11,62,62,677,934.923423470256
RebuildWholeGraph,0,11,59,59,677,934.923423470256
RebuildWholeGraph,0,11,73,73,677,934.923423470256
