Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,10,48,48,448,180.803766489029
RebuildWholeGraph,0,10,57,57,462,180.803766489029
RebuildWholeGraph,0,10,60,60,455,180.803766489029
RebuildWholeGraph,0,10,67,67,506,180.803766489029
RebuildWholeGraph,0,10,57,57,455,180.803766489029
RebuildWholeGraph,0,10,74,74,484,180.803766489029
RebuildWholeGraph,0,10,59,59,448,180.803766489029
RebuildWholeGraph,0,10,66,66,448,180.803766489029
RebuildWholeGraph,0,10,54,54,462,180.803766489029
RebuildWholeGraph,0,10,75,75,506,180.803766489029
RebuildWholeGraph,0,10,45,45,448,180.803766489029
RebuildWholeGraph,0,10,49,49,506,180.803766489029
RebuildWholeGraph,0,10,58,58,448,180.803766489029
RebuildWholeGraph,0,10,54,54,506,180.803766489029
RebuildWholeGraph,0,10,58,58,484,180.803766489029
RebuildWholeGraph,0,10,62,62,468,180.803766489029
RebuildWholeGraph,0,10,54,54,506,180.803766489029
RebuildWholeGraph,0,10,61,61,506,180.803766489029
RebuildWholeGraph,0,10,57,57,506,180.803766489029
RebuildWholeGraph,0,10,74,74,462,180.803766489029
RebuildWholeGraph,0,10,67,67,448,180.803766489029
RebuildWholeGraph,0,10,70,70,506,180.803766489029
RebuildWholeGraph,0,10,64,64,506,180.803766489029
RebuildWholeGraph,0,10,57,57,455,180.803766489029
RebuildWholeGraph,0,10,67,67,448,180.803766489029
RebuildWholeGraph,0,10,70,70,462,180.803766489029
RebuildWholeGraph,0,10,63,63,506,180.803766489029
RebuildWholeGraph,0,10,54,54,462,180.803766489029
RebuildWholeGraph,0,10,69,69,506,180.803766489029
RebuildWholeGraph,0,10,60,60,448,180.803766489029
