Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,10,50,50,447,286.914900779724
RebuildWholeGraph,0,10,47,47,506,286.914900779724
RebuildWholeGraph,0,10,43,43,448,286.914900779724
RebuildWholeGraph,0,10,46,46,455,286.914900779724
RebuildWholeGraph,0,10,47,47,462,286.914900779724
RebuildWholeGraph,0,10,45,45,506,286.914900779724
RebuildWholeGraph,0,10,53,53,506,286.914900779724
RebuildWholeGraph,0,10,51,51,447,286.914900779724
RebuildWholeGraph,0,10,54,54,506,286.914900779724
RebuildWholeGraph,0,10,44,44,448,286.914900779724
RebuildWholeGraph,0,10,45,45,462,286.914900779724
RebuildWholeGraph,0,10,50,50,506,286.914900779724
RebuildWholeGraph,0,10,45,45,462,286.914900779724
RebuildWholeGraph,0,10,45,45,487,286.914900779724
RebuildWholeGraph,0,10,49,49,487,286.914900779724
RebuildWholeGraph,0,10,51,51,448,286.914900779724
RebuildWholeGraph,0,10,49,49,506,286.914900779724
RebuildWholeGraph,0,10,43,43,506,286.914900779724
RebuildWholeGraph,0,10,46,46,487,286.914900779724
RebuildWholeGraph,0,10,49,49,487,286.914900779724
RebuildWholeGraph,0,10,51,51,506,286.914900779724
RebuildWholeGraph,0,10,43,43,462,286.914900779724
RebuildWholeGraph,0,10,45,45,448,286.914900779724
RebuildWholeGraph,0,10,44,44,455,286.914900779724
RebuildWholeGraph,0,10,54,54,506,286.914900779724
RebuildWholeGraph,0,10,45,45,506,286.914900779724
RebuildWholeGraph,0,10,47,47,487,286.914900779724
RebuildWholeGraph,0,10,52,52,487,286.914900779724
RebuildWholeGraph,0,10,48,48,455,286.914900779724
RebuildWholeGraph,0,10,54,54,448,286.914900779724
