Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,56,56,800,337.079384803772
RebuildWholeGraph,0,15,62,62,743,337.079384803772
RebuildWholeGraph,0,15,56,56,747,337.079384803772
RebuildWholeGraph,0,15,54,54,782,337.079384803772
RebuildWholeGraph,0,15,60,60,800,337.079384803772
RebuildWholeGraph,0,15,52,52,743,337.079384803772
RebuildWholeGraph,0,15,61,61,773,337.079384803772
RebuildWholeGraph,0,15,61,61,773,337.079384803772
RebuildWholeGraph,0,15,56,56,800,337.079384803772
RebuildWholeGraph,0,15,54,54,757,337.079384803772
RebuildWholeGraph,0,15,56,56,766,337.079384803772
RebuildWholeGraph,0,15,58,58,743,337.079384803772
RebuildWholeGraph,0,15,85,85,782,337.079384803772
RebuildWholeGraph,0,15,53,53,770,337.079384803772
RebuildWholeGraph,0,15,62,62,766,337.079384803772
RebuildWholeGraph,0,15,55,55,743,337.079384803772
RebuildWholeGraph,0,15,61,61,770,337.079384803772
RebuildWholeGraph,0,15,57,57,773,337.079384803772
RebuildWholeGraph,0,15,56,56,757,337.079384803772
RebuildWholeGraph,0,15,59,59,743,337.079384803772
RebuildWholeGraph,0,15,59,59,775,337.079384803772
RebuildWholeGraph,0,15,57,57,775,337.079384803772
RebuildWholeGraph,0,15,65,65,757,337.079384803772
RebuildWholeGraph,0,15,63,63,773,337.079384803772
RebuildWholeGraph,0,15,58,58,799,337.079384803772
RebuildWholeGraph,0,15,55,55,800,337.079384803772
RebuildWholeGraph,0,15,52,52,773,337.079384803772
RebuildWholeGraph,0,15,57,57,800,337.079384803772
RebuildWholeGraph,0,15,52,52,773,337.079384803772
RebuildWholeGraph,0,15,60,60,773,337.079384803772
