Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,777,410
RebuildWholeGraph,0,15,500,500,743,410
RebuildWholeGraph,0,15,500,500,743,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,770,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,391,391,773,410
RebuildWholeGraph,0,15,205,205,743,410
RebuildWholeGraph,0,15,500,500,743,410
RebuildWholeGraph,0,15,124,124,766,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,149,149,743,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,743,410
RebuildWholeGraph,0,15,147,147,747,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,773,410
RebuildWholeGraph,0,15,500,500,757,410
RebuildWholeGraph,0,15,348,348,777,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,757,410
RebuildWholeGraph,0,15,500,500,747,410
RebuildWholeGraph,0,15,500,500,766,410
RebuildWholeGraph,0,15,500,500,799,410
