Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,242.641902923584,5
AddNodesDynamically,0,5,64,33,249.890594482422,6
AddNodesDynamically,0,6,107,43,251.52746963501,7
AddNodesDynamically,0,7,143,36,256.485106468201,8
AddNodesDynamically,0,8,180,37,304.775671958923,9
AddNodesDynamically,0,9,259,79,309.19145488739,10
AddNodesDynamically,0,10,759,500,353.524147987366,11
AddNodesDynamically,0,11,808,49,354.747114181519,12
AddNodesDynamically,0,12,848,40,358.894552230835,13
AddNodesDynamically,0,13,889,41,363.949505805969,14
AddNodesDynamically,0,14,930,41,387.338122367859,15
AddNodesDynamically,0,15,972,42,400.103167533875,16
AddNodesDynamically,0,16,1015,43,408.542753219604,17
AddNodesDynamically,0,17,1058,43,421.404356956482,18
AddNodesDynamically,0,18,1102,44,422.381103515625,19
AddNodesDynamically,0,19,1146,44,428.239360809326,20
AddNodesDynamically,0,20,1191,45,433.417885780334,21
AddNodesDynamically,0,21,1236,45,442.500648498535,22
AddNodesDynamically,0,22,1282,46,442.160152435303,23
AddNodesDynamically,0,23,1328,46,462.911167144775,24
AddNodesDynamically,0,24,1374,46,469.593280792236,25
AddNodesDynamically,0,25,1421,47,469.986769676208,26
AddNodesDynamically,0,26,1468,47,472.55958533287,27
AddNodesDynamically,0,27,1515,47,483.142493963242,28
AddNodesDynamically,0,28,1563,48,496.681994199753,29
AddNodesDynamically,0,29,1611,48,496.826374292374,30
AddNodesDynamically,0,30,1659,48,501.132763147354,31
AddNodesDynamically,0,31,1707,48,502.008426904678,32
AddNodesDynamically,0,32,1756,49,504.346455335617,33
AddNodesDynamically,0,33,1805,49,511.357095956802,34
AddNodesDynamically,0,34,1854,49,524.412053346634,35
AddNodesDynamically,0,35,1904,50,524.630584478378,36
AddNodesDynamically,0,36,1954,50,525.939053297043,37
AddNodesDynamically,0,37,2004,50,535.96476149559,38
AddNodesDynamically,0,38,2054,50,540.900951147079,39
