Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,264,264,669,618.720210552216
RebuildWholeGraph,0,13,93,93,669,618.720210552216
RebuildWholeGraph,0,13,185,185,653,621.699638843536
RebuildWholeGraph,0,13,309,309,669,618.720210552216
RebuildWholeGraph,0,13,96,96,653,618.720210552216
RebuildWholeGraph,0,13,55,55,515,627.332688093185
RebuildWholeGraph,0,13,108,108,563,618.720210552216
RebuildWholeGraph,0,13,120,120,669,618.720210552216
RebuildWholeGraph,0,13,85,85,653,618.720210552216
RebuildWholeGraph,0,13,123,123,653,618.720210552216
RebuildWholeGraph,0,13,393,393,669,618.720210552216
RebuildWholeGraph,0,13,136,136,612,618.720210552216
RebuildWholeGraph,0,13,114,114,669,618.720210552216
RebuildWholeGraph,0,13,74,74,653,621.699638843536
RebuildWholeGraph,0,13,68,68,669,618.720210552216
RebuildWholeGraph,0,13,231,231,567,618.720210552216
RebuildWholeGraph,0,13,58,58,672,627.332688093185
RebuildWholeGraph,0,13,311,311,669,618.720210552216
RebuildWholeGraph,0,13,131,131,669,618.720210552216
RebuildWholeGraph,0,13,206,206,669,618.720210552216
RebuildWholeGraph,0,13,96,96,669,618.720210552216
RebuildWholeGraph,0,13,177,177,653,618.720210552216
RebuildWholeGraph,0,13,75,75,669,618.720210552216
RebuildWholeGraph,0,13,80,80,669,621.699638843536
RebuildWholeGraph,0,13,237,237,669,618.720210552216
RebuildWholeGraph,0,13,56,56,632,627.332688093185
RebuildWholeGraph,0,13,92,92,669,618.720210552216
RebuildWholeGraph,0,13,156,156,669,621.699638843536
RebuildWholeGraph,0,13,64,64,653,621.699638843536
RebuildWholeGraph,0,13,344,344,669,618.720210552216
RebuildWholeGraph,1,13,242,242,366,344.083946347237
RebuildWholeGraph,1,13,314,314,360,346.59185564518
RebuildWholeGraph,1,13,328,328,378,346.59185564518
RebuildWholeGraph,1,13,1000,1000,374,344.083946347237
RebuildWholeGraph,1,13,313,313,374,344.083946347237
RebuildWholeGraph,1,13,1000,1000,374,344.083946347237
RebuildWholeGraph,1,13,430,430,373,346.59185564518
RebuildWholeGraph,1,13,75,75,380,347.032546877861
RebuildWholeGraph,1,13,979,979,373,344.083946347237
RebuildWholeGraph,1,13,1000,1000,368,346.59185564518
RebuildWholeGraph,1,13,441,441,387,346.881365895271
RebuildWholeGraph,1,13,210,210,383,346.881365895271
RebuildWholeGraph,1,13,382,382,374,344.083946347237
RebuildWholeGraph,1,13,474,474,374,344.083946347237
RebuildWholeGraph,1,13,62,62,360,346.59185564518
RebuildWholeGraph,1,13,206,206,373,346.59185564518
RebuildWholeGraph,1,13,1000,1000,374,344.083946347237
RebuildWholeGraph,1,13,100,100,387,346.881365895271
RebuildWholeGraph,1,13,733,733,368,346.59185564518
RebuildWholeGraph,1,13,1000,1000,368,346.59185564518
RebuildWholeGraph,1,13,1000,1000,374,344.083946347237
RebuildWholeGraph,1,13,1000,1000,356,346.59185564518
RebuildWholeGraph,1,13,557,557,374,344.083946347237
RebuildWholeGraph,1,13,107,107,372,346.881365895271
RebuildWholeGraph,1,13,59,59,390,346.881365895271
RebuildWholeGraph,1,13,141,141,387,346.881365895271
RebuildWholeGraph,1,13,327,327,360,346.59185564518
RebuildWholeGraph,1,13,239,239,368,346.59185564518
RebuildWholeGraph,1,13,490,490,378,346.59185564518
RebuildWholeGraph,1,13,199,199,403,344.083946347237
RebuildWholeGraph,2,13,66,66,427,418.561504244804
RebuildWholeGraph,2,13,83,83,427,418.561504244804
RebuildWholeGraph,2,13,91,91,378,418.561504244804
RebuildWholeGraph,2,13,176,176,415,416.180513262749
RebuildWholeGraph,2,13,81,81,415,416.180513262749
RebuildWholeGraph,2,13,277,277,415,416.180513262749
RebuildWholeGraph,2,13,79,79,427,418.561504244804
RebuildWholeGraph,2,13,240,240,444,416.180513262749
RebuildWholeGraph,2,13,99,99,415,416.180513262749
RebuildWholeGraph,2,13,63,63,427,418.561504244804
RebuildWholeGraph,2,13,110,110,415,416.180513262749
RebuildWholeGraph,2,13,157,157,415,416.180513262749
RebuildWholeGraph,2,13,96,96,378,418.561504244804
RebuildWholeGraph,2,13,132,132,415,416.180513262749
RebuildWholeGraph,2,13,177,177,431,416.180513262749
RebuildWholeGraph,2,13,78,78,427,418.561504244804
RebuildWholeGraph,2,13,151,151,415,416.180513262749
RebuildWholeGraph,2,13,102,102,415,416.180513262749
RebuildWholeGraph,2,13,73,73,378,418.561504244804
RebuildWholeGraph,2,13,95,95,431,416.180513262749
RebuildWholeGraph,2,13,166,166,431,416.180513262749
RebuildWholeGraph,2,13,63,63,433,418.561504244804
RebuildWholeGraph,2,13,63,63,427,418.561504244804
RebuildWholeGraph,2,13,116,116,415,416.180513262749
RebuildWholeGraph,2,13,91,91,415,416.180513262749
RebuildWholeGraph,2,13,86,86,378,418.561504244804
RebuildWholeGraph,2,13,80,80,427,418.561504244804
RebuildWholeGraph,2,13,72,72,378,418.561504244804
RebuildWholeGraph,2,13,71,71,427,418.561504244804
RebuildWholeGraph,2,13,62,62,415,418.561504244804
RebuildWholeGraph,3,13,51,51,400,383.27845454216
RebuildWholeGraph,3,13,79,79,400,383.27845454216
RebuildWholeGraph,3,13,77,77,432,383.27845454216
RebuildWholeGraph,3,13,62,62,400,383.27845454216
RebuildWholeGraph,3,13,64,64,409,383.27845454216
RebuildWholeGraph,3,13,74,74,400,383.27845454216
RebuildWholeGraph,3,13,50,50,400,383.27845454216
RebuildWholeGraph,3,13,59,59,432,383.27845454216
RebuildWholeGraph,3,13,44,44,400,383.27845454216
RebuildWholeGraph,3,13,58,58,432,383.27845454216
RebuildWholeGraph,3,13,59,59,432,383.27845454216
RebuildWholeGraph,3,13,65,65,400,383.27845454216
RebuildWholeGraph,3,13,55,55,400,383.27845454216
RebuildWholeGraph,3,13,71,71,400,383.27845454216
RebuildWholeGraph,3,13,71,71,432,383.27845454216
RebuildWholeGraph,3,13,73,73,432,383.27845454216
RebuildWholeGraph,3,13,54,54,400,383.27845454216
RebuildWholeGraph,3,13,62,62,400,383.27845454216
RebuildWholeGraph,3,13,79,79,400,383.27845454216
RebuildWholeGraph,3,13,68,68,400,383.27845454216
RebuildWholeGraph,3,13,58,58,400,383.27845454216
RebuildWholeGraph,3,13,69,69,428,383.27845454216
RebuildWholeGraph,3,13,52,52,400,383.27845454216
RebuildWholeGraph,3,13,57,57,400,383.27845454216
RebuildWholeGraph,3,13,68,68,400,383.27845454216
RebuildWholeGraph,3,13,50,50,400,383.27845454216
RebuildWholeGraph,3,13,77,77,452,383.27845454216
RebuildWholeGraph,3,13,59,59,400,383.27845454216
RebuildWholeGraph,3,13,55,55,432,383.27845454216
RebuildWholeGraph,3,13,64,64,400,383.27845454216
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,795,795,350,333.303998827934
RebuildWholeGraph,4,15,240,240,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,338,333.303998827934
RebuildWholeGraph,4,15,1000,1000,338,333.303998827934
RebuildWholeGraph,4,15,1000,1000,338,333.303998827934
RebuildWholeGraph,4,15,355,355,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,652,652,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,338,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,361,333.303998827934
RebuildWholeGraph,4,15,1000,1000,338,333.303998827934
RebuildWholeGraph,4,15,244,244,323,333.303998827934
RebuildWholeGraph,4,15,1000,1000,350,333.303998827934
RebuildWholeGraph,4,15,1000,1000,323,333.303998827934
RebuildWholeGraph,5,15,79,79,395,411.974775671959
RebuildWholeGraph,5,15,107,107,403,411.974775671959
RebuildWholeGraph,5,15,124,124,388,411.974775671959
RebuildWholeGraph,5,15,97,97,386,411.974775671959
RebuildWholeGraph,5,15,93,93,408,411.974775671959
RebuildWholeGraph,5,15,119,119,414,411.974775671959
RebuildWholeGraph,5,15,96,96,388,411.974775671959
RebuildWholeGraph,5,15,102,102,414,411.974775671959
RebuildWholeGraph,5,15,82,82,408,411.974775671959
RebuildWholeGraph,5,15,93,93,388,411.974775671959
RebuildWholeGraph,5,15,115,115,414,411.974775671959
RebuildWholeGraph,5,15,120,120,388,411.974775671959
RebuildWholeGraph,5,15,117,117,409,411.974775671959
RebuildWholeGraph,5,15,105,105,388,411.974775671959
RebuildWholeGraph,5,15,128,128,403,411.974775671959
RebuildWholeGraph,5,15,89,89,403,411.974775671959
RebuildWholeGraph,5,15,79,79,409,411.974775671959
RebuildWholeGraph,5,15,139,139,403,411.974775671959
RebuildWholeGraph,5,15,108,108,409,411.974775671959
