Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,319,319,974,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,974,428
RebuildWholeGraph,0,13,101,101,1097,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,358,358,974,428
RebuildWholeGraph,0,13,1000,1000,991,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,1056,428
RebuildWholeGraph,0,13,325,325,991,428
RebuildWholeGraph,0,13,754,754,1097,428
RebuildWholeGraph,0,13,489,489,1097,428
RebuildWholeGraph,0,13,1000,1000,974,428
RebuildWholeGraph,0,13,1000,1000,1118,428
RebuildWholeGraph,0,13,1000,1000,974,428
RebuildWholeGraph,0,13,1000,1000,1129,428
RebuildWholeGraph,0,13,1000,1000,991,428
RebuildWholeGraph,0,13,1000,1000,1100,428
RebuildWholeGraph,0,13,1000,1000,974,428
RebuildWholeGraph,0,13,1000,1000,991,428
RebuildWholeGraph,0,13,1000,1000,1135,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,283,283,1056,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,1120,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,974,428
RebuildWholeGraph,0,13,1000,1000,1097,428
RebuildWholeGraph,0,13,1000,1000,991,428
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,372,384
RebuildWholeGraph,1,13,1000,1000,362,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,361,384
RebuildWholeGraph,1,13,1000,1000,361,384
RebuildWholeGraph,1,13,1000,1000,361,384
RebuildWholeGraph,1,13,1000,1000,366,384
RebuildWholeGraph,1,13,1000,1000,375,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,372,384
RebuildWholeGraph,1,13,1000,1000,359,384
RebuildWholeGraph,1,13,1000,1000,361,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,359,384
RebuildWholeGraph,1,13,1000,1000,364,384
RebuildWholeGraph,1,13,1000,1000,364,384
RebuildWholeGraph,1,13,1000,1000,365,384
RebuildWholeGraph,1,13,1000,1000,365,384
