Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,40,40,1056,336.342739105225
RebuildWholeGraph,0,13,41,41,1100,336.342739105225
RebuildWholeGraph,0,13,42,42,974,336.342739105225
RebuildWholeGraph,0,13,44,44,974,336.342739105225
RebuildWholeGraph,0,13,47,47,1066,336.342739105225
RebuildWholeGraph,0,13,40,40,974,336.342739105225
RebuildWholeGraph,0,13,46,46,1111,336.342739105225
RebuildWholeGraph,0,13,42,42,916,336.342739105225
RebuildWholeGraph,0,13,48,48,1096,336.342739105225
RebuildWholeGraph,0,13,44,44,885,336.342739105225
RebuildWholeGraph,1,13,46,46,372,297.929455757141
RebuildWholeGraph,1,13,54,54,368,298.925424575806
RebuildWholeGraph,1,13,55,55,376,298.925424575806
RebuildWholeGraph,1,13,62,62,373,297.929455757141
RebuildWholeGraph,1,13,60,60,360,297.929455757141
RebuildWholeGraph,1,13,55,55,376,298.925424575806
RebuildWholeGraph,1,13,51,51,368,298.925424575806
RebuildWholeGraph,1,13,51,51,379,298.925424575806
RebuildWholeGraph,1,13,51,51,379,298.925424575806
RebuildWholeGraph,1,13,58,58,386,297.929455757141
RebuildWholeGraph,2,13,60,60,427,339.227689743042
RebuildWholeGraph,2,13,55,55,457,342.640563964844
RebuildWholeGraph,2,13,64,64,427,339.227689743042
RebuildWholeGraph,2,13,69,69,430,339.227689743042
RebuildWholeGraph,2,13,60,60,434,339.227689743042
RebuildWholeGraph,2,13,60,60,493,342.640563964844
RebuildWholeGraph,2,13,67,67,431,339.227689743042
RebuildWholeGraph,2,13,61,61,378,339.227689743042
RebuildWholeGraph,2,13,70,70,427,339.227689743042
RebuildWholeGraph,2,13,60,60,453,339.227689743042
RebuildWholeGraph,3,13,136,136,486,327.472661495209
RebuildWholeGraph,3,13,215,215,467,327.472661495209
RebuildWholeGraph,3,13,408,408,441,327.472661495209
RebuildWholeGraph,3,13,172,172,486,327.472661495209
RebuildWholeGraph,3,13,112,112,486,327.472661495209
RebuildWholeGraph,3,13,249,249,486,327.472661495209
RebuildWholeGraph,3,13,608,608,483,327.472661495209
RebuildWholeGraph,3,13,60,60,418,327.785378932953
RebuildWholeGraph,3,13,77,77,411,327.785378932953
RebuildWholeGraph,3,13,71,71,427,327.785378932953
RebuildWholeGraph,4,15,57,57,365,251.462040185928
RebuildWholeGraph,4,15,47,47,365,251.462040185928
RebuildWholeGraph,4,15,55,55,330,251.462040185928
RebuildWholeGraph,4,15,49,49,330,251.462040185928
RebuildWholeGraph,4,15,51,51,323,251.462040185928
RebuildWholeGraph,4,15,56,56,359,251.462040185928
RebuildWholeGraph,4,15,52,52,323,251.462040185928
RebuildWholeGraph,4,15,48,48,330,251.462040185928
RebuildWholeGraph,4,15,46,46,365,251.462040185928
RebuildWholeGraph,4,15,46,46,365,251.462040185928
RebuildWholeGraph,5,15,56,56,411,327.946759223938
RebuildWholeGraph,5,15,54,54,390,327.946759223938
RebuildWholeGraph,5,15,52,52,388,327.946759223938
RebuildWholeGraph,5,15,55,55,411,327.946759223938
RebuildWholeGraph,5,15,55,55,397,327.946759223938
RebuildWholeGraph,5,15,61,61,411,327.946759223938
RebuildWholeGraph,5,15,62,62,411,327.946759223938
RebuildWholeGraph,5,15,60,60,414,327.946759223938
RebuildWholeGraph,5,15,60,60,388,327.946759223938
RebuildWholeGraph,5,15,65,65,416,327.946759223938
RebuildWholeGraph,6,15,48,48,447,350.627268314362
RebuildWholeGraph,6,15,55,55,459,350.627268314362
RebuildWholeGraph,6,15,52,52,423,350.627268314362
RebuildWholeGraph,6,15,55,55,424,350.627268314362
RebuildWholeGraph,6,15,49,49,423,350.627268314362
RebuildWholeGraph,6,15,52,52,459,350.627268314362
RebuildWholeGraph,6,15,48,48,459,350.627268314362
RebuildWholeGraph,6,15,55,55,437,350.627268314362
RebuildWholeGraph,6,15,49,49,438,350.627268314362
RebuildWholeGraph,6,15,53,53,423,350.627268314362
RebuildWholeGraph,7,14,48,48,431,316.179792881012
RebuildWholeGraph,7,14,57,57,424,316.179792881012
RebuildWholeGraph,7,14,55,55,445,316.179792881012
RebuildWholeGraph,7,14,51,51,445,316.179792881012
RebuildWholeGraph,7,14,52,52,415,316.179792881012
RebuildWholeGraph,7,14,51,51,431,316.179792881012
RebuildWholeGraph,7,14,56,56,465,316.179792881012
RebuildWholeGraph,7,14,54,54,415,316.179792881012
RebuildWholeGraph,7,14,57,57,431,316.179792881012
RebuildWholeGraph,7,14,59,59,431,316.179792881012
RebuildWholeGraph,8,14,44,44,596,366.848093986511
RebuildWholeGraph,8,14,42,42,581,366.848093986511
RebuildWholeGraph,8,14,47,47,581,366.848093986511
RebuildWholeGraph,8,14,44,44,541,366.848093986511
RebuildWholeGraph,8,14,44,44,471,366.848093986511
RebuildWholeGraph,8,14,41,41,471,366.848093986511
RebuildWholeGraph,8,14,43,43,576,366.848093986511
RebuildWholeGraph,8,14,48,48,564,366.848093986511
RebuildWholeGraph,8,14,42,42,471,366.848093986511
RebuildWholeGraph,8,14,41,41,471,366.848093986511
RebuildWholeGraph,9,13,49,49,277,286.417521476746
RebuildWholeGraph,9,13,49,49,329,286.417521476746
RebuildWholeGraph,9,13,58,58,329,286.417521476746
RebuildWholeGraph,9,13,62,62,329,286.417521476746
RebuildWholeGraph,9,13,52,52,277,286.417521476746
RebuildWholeGraph,9,13,52,52,356,286.417521476746
RebuildWholeGraph,9,13,49,49,356,286.417521476746
RebuildWholeGraph,9,13,45,45,329,286.417521476746
RebuildWholeGraph,9,13,47,47,356,286.417521476746
RebuildWholeGraph,9,13,50,50,329,286.417521476746
RebuildWholeGraph,10,12,53,53,429,297.208919882774
RebuildWholeGraph,10,12,50,50,429,297.208919882774
RebuildWholeGraph,10,12,47,47,435,297.208919882774
RebuildWholeGraph,10,12,53,53,321,297.208919882774
RebuildWholeGraph,10,12,54,54,321,297.208919882774
RebuildWholeGraph,10,12,46,46,321,297.208919882774
RebuildWholeGraph,10,12,50,50,419,297.208919882774
RebuildWholeGraph,10,12,49,49,381,297.208919882774
RebuildWholeGraph,10,12,49,49,321,297.208919882774
RebuildWholeGraph,10,12,53,53,321,297.208919882774
RebuildWholeGraph,11,14,74,74,423,310.572442531586
RebuildWholeGraph,11,14,73,73,428,310.572442531586
RebuildWholeGraph,11,14,61,61,421,310.572442531586
RebuildWholeGraph,11,14,60,60,428,310.572442531586
RebuildWholeGraph,11,14,63,63,444,310.572442531586
RebuildWholeGraph,11,14,67,67,444,310.572442531586
RebuildWholeGraph,11,14,82,82,394,310.572442531586
RebuildWholeGraph,11,14,80,80,421,310.572442531586
RebuildWholeGraph,11,14,59,59,421,310.572442531586
RebuildWholeGraph,11,14,78,78,421,310.572442531586
RebuildWholeGraph,12,15,51,51,511,373.514901161194
RebuildWholeGraph,12,15,47,47,511,373.514901161194
RebuildWholeGraph,12,15,49,49,511,373.514901161194
RebuildWholeGraph,12,15,48,48,452,373.514901161194
RebuildWholeGraph,12,15,49,49,505,373.514901161194
RebuildWholeGraph,12,15,46,46,452,373.514901161194
RebuildWholeGraph,12,15,50,50,505,373.514901161194
RebuildWholeGraph,12,15,46,46,452,373.514901161194
RebuildWholeGraph,12,15,45,45,498,373.514901161194
RebuildWholeGraph,12,15,48,48,511,373.514901161194
RebuildWholeGraph,13,15,46,46,462,300.462620735168
RebuildWholeGraph,13,15,48,48,442,300.462620735168
RebuildWholeGraph,13,15,47,47,458,300.462620735168
RebuildWholeGraph,13,15,45,45,450,300.462620735168
RebuildWholeGraph,13,15,46,46,385,300.462620735168
RebuildWholeGraph,13,15,49,49,450,300.462620735168
RebuildWholeGraph,13,15,48,48,458,300.462620735168
RebuildWholeGraph,13,15,47,47,454,300.462620735168
RebuildWholeGraph,13,15,53,53,442,300.462620735168
RebuildWholeGraph,13,15,49,49,477,300.462620735168
RebuildWholeGraph,14,15,60,60,432,372.253680229187
RebuildWholeGraph,14,15,59,59,475,372.253680229187
RebuildWholeGraph,14,15,52,52,432,372.253680229187
RebuildWholeGraph,14,15,62,62,468,372.253680229187
RebuildWholeGraph,14,15,58,58,491,372.253680229187
RebuildWholeGraph,14,15,59,59,486,372.253680229187
RebuildWholeGraph,14,15,61,61,426,372.253680229187
RebuildWholeGraph,14,15,62,62,468,372.253680229187
RebuildWholeGraph,14,15,59,59,475,372.253680229187
RebuildWholeGraph,14,15,51,51,468,372.253680229187
RebuildWholeGraph,15,15,62,62,524,356.025913715363
RebuildWholeGraph,15,15,60,60,558,356.025913715363
RebuildWholeGraph,15,15,55,55,524,356.025913715363
RebuildWholeGraph,15,15,56,56,524,356.025913715363
RebuildWholeGraph,15,15,63,63,542,356.025913715363
RebuildWholeGraph,15,15,54,54,524,356.025913715363
RebuildWholeGraph,15,15,71,71,563,356.025913715363
RebuildWholeGraph,15,15,68,68,524,356.025913715363
RebuildWholeGraph,15,15,61,61,555,356.025913715363
RebuildWholeGraph,15,15,61,61,524,356.025913715363
RebuildWholeGraph,16,13,69,69,386,285.011585712433
RebuildWholeGraph,16,13,74,74,383,285.011585712433
RebuildWholeGraph,16,13,70,70,383,285.816353321075
RebuildWholeGraph,16,13,78,78,376,285.011585712433
RebuildWholeGraph,16,13,71,71,376,285.011585712433
RebuildWholeGraph,16,13,73,73,376,285.011585712433
RebuildWholeGraph,16,13,72,72,383,285.011585712433
RebuildWholeGraph,16,13,67,67,383,285.011585712433
RebuildWholeGraph,16,13,69,69,373,285.816353321075
RebuildWholeGraph,16,13,84,84,386,285.011585712433
RebuildWholeGraph,17,15,51,51,452,300.462620735168
RebuildWholeGraph,17,15,47,47,454,300.462620735168
RebuildWholeGraph,17,15,45,45,442,300.462620735168
RebuildWholeGraph,17,15,46,46,458,300.462620735168
RebuildWholeGraph,17,15,49,49,389,300.462620735168
RebuildWholeGraph,17,15,47,47,444,300.462620735168
RebuildWholeGraph,17,15,44,44,442,300.462620735168
RebuildWholeGraph,17,15,51,51,461,300.462620735168
RebuildWholeGraph,17,15,45,45,444,300.462620735168
RebuildWholeGraph,17,15,46,46,452,300.462620735168
RebuildWholeGraph,18,14,55,55,314,298.823008537292
RebuildWholeGraph,18,14,52,52,299,298.823008537292
RebuildWholeGraph,18,14,53,53,314,298.823008537292
RebuildWholeGraph,18,14,53,53,314,298.823008537292
RebuildWholeGraph,18,14,54,54,338,298.823008537292
RebuildWholeGraph,18,14,52,52,299,298.823008537292
RebuildWholeGraph,18,14,50,50,299,298.823008537292
RebuildWholeGraph,18,14,57,57,314,298.823008537292
RebuildWholeGraph,18,14,47,47,314,298.823008537292
RebuildWholeGraph,18,14,57,57,314,298.823008537292
RebuildWholeGraph,19,13,57,57,351,284.312203884125
RebuildWholeGraph,19,13,60,60,351,284.312203884125
RebuildWholeGraph,19,13,64,64,351,284.312203884125
RebuildWholeGraph,19,13,55,55,351,284.312203884125
RebuildWholeGraph,19,13,69,69,351,284.312203884125
RebuildWholeGraph,19,13,54,54,351,284.312203884125
RebuildWholeGraph,19,13,55,55,404,284.312203884125
RebuildWholeGraph,19,13,61,61,351,284.312203884125
RebuildWholeGraph,19,13,62,62,334,284.312203884125
RebuildWholeGraph,19,13,66,66,404,284.312203884125
RebuildWholeGraph,20,12,591,591,297,267.446118354797
RebuildWholeGraph,20,12,97,97,302,268.185496807098
RebuildWholeGraph,20,12,67,67,302,269.628730297089
RebuildWholeGraph,20,12,235,235,297,267.446118354797
RebuildWholeGraph,20,12,199,199,296,267.446118354797
RebuildWholeGraph,20,12,87,87,291,268.185496807098
RebuildWholeGraph,20,12,72,72,297,268.889351844788
RebuildWholeGraph,20,12,303,303,343,268.185496807098
RebuildWholeGraph,20,12,73,73,302,269.628730297089
RebuildWholeGraph,20,12,231,231,296,267.446118354797
RebuildWholeGraph,21,15,60,60,458,308.55190038681
RebuildWholeGraph,21,15,63,63,432,308.55190038681
RebuildWholeGraph,21,15,141,141,393,307.720445156097
RebuildWholeGraph,21,15,159,159,407,307.720445156097
RebuildWholeGraph,21,15,262,262,413,307.720445156097
RebuildWholeGraph,21,15,62,62,432,307.720445156097
RebuildWholeGraph,21,15,171,171,442,307.720445156097
RebuildWholeGraph,21,15,115,115,407,307.720445156097
RebuildWholeGraph,21,15,55,55,393,307.720445156097
RebuildWholeGraph,21,15,177,177,407,307.720445156097
RebuildWholeGraph,22,15,52,52,473,307.318486213684
RebuildWholeGraph,22,15,55,55,496,304.87809753418
RebuildWholeGraph,22,15,50,50,518,307.318486213684
RebuildWholeGraph,22,15,54,54,499,307.318486213684
RebuildWholeGraph,22,15,61,61,518,307.318486213684
RebuildWholeGraph,22,15,50,50,529,307.318486213684
RebuildWholeGraph,22,15,71,71,491,304.87809753418
RebuildWholeGraph,22,15,49,49,473,307.318486213684
RebuildWholeGraph,22,15,51,51,539,307.318486213684
RebuildWholeGraph,22,15,51,51,473,307.318486213684
RebuildWholeGraph,23,11,44,44,448,279.936015605927
RebuildWholeGraph,23,11,42,42,458,279.936015605927
RebuildWholeGraph,23,11,40,40,348,279.936015605927
RebuildWholeGraph,23,11,44,44,435,279.936015605927
RebuildWholeGraph,23,11,41,41,435,279.936015605927
RebuildWholeGraph,23,11,45,45,348,279.936015605927
RebuildWholeGraph,23,11,49,49,451,279.936015605927
RebuildWholeGraph,23,11,45,45,448,279.936015605927
RebuildWholeGraph,23,11,42,42,435,279.936015605927
RebuildWholeGraph,23,11,45,45,435,279.936015605927
RebuildWholeGraph,24,11,44,44,326,237.955586433411
RebuildWholeGraph,24,11,54,54,351,237.955586433411
RebuildWholeGraph,24,11,44,44,379,237.955586433411
RebuildWholeGraph,24,11,51,51,326,237.955586433411
RebuildWholeGraph,24,11,54,54,351,237.955586433411
RebuildWholeGraph,24,11,46,46,353,237.955586433411
RebuildWholeGraph,24,11,43,43,326,237.955586433411
RebuildWholeGraph,24,11,41,41,351,237.955586433411
RebuildWholeGraph,24,11,48,48,379,237.955586433411
RebuildWholeGraph,24,11,45,45,351,237.955586433411
RebuildWholeGraph,25,14,72,72,496,324.017018318176
RebuildWholeGraph,25,14,66,66,494,324.017018318176
RebuildWholeGraph,25,14,72,72,496,324.017018318176
RebuildWholeGraph,25,14,63,63,494,324.017018318176
RebuildWholeGraph,25,14,65,65,494,324.017018318176
RebuildWholeGraph,25,14,51,51,496,324.017018318176
RebuildWholeGraph,25,14,73,73,494,324.017018318176
RebuildWholeGraph,25,14,57,57,471,324.017018318176
RebuildWholeGraph,25,14,60,60,471,324.017018318176
RebuildWholeGraph,25,14,57,57,469,324.017018318176
RebuildWholeGraph,26,15,69,69,445,319.957393884659
RebuildWholeGraph,26,15,63,63,461,319.87295460701
RebuildWholeGraph,26,15,62,62,439,319.87295460701
RebuildWholeGraph,26,15,61,61,467,321.006835222244
RebuildWholeGraph,26,15,73,73,445,319.957393884659
RebuildWholeGraph,26,15,68,68,445,319.957393884659
RebuildWholeGraph,26,15,60,60,429,321.006835222244
RebuildWholeGraph,26,15,67,67,388,319.957393884659
RebuildWholeGraph,26,15,101,101,439,319.87295460701
RebuildWholeGraph,26,15,69,69,388,319.957393884659
RebuildWholeGraph,27,15,53,53,604,364.723832964897
RebuildWholeGraph,27,15,53,53,610,364.723832964897
RebuildWholeGraph,27,15,59,59,574,364.723832964897
RebuildWholeGraph,27,15,56,56,592,364.723832964897
