Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,46,46,1120,481.575654745102
RebuildWholeGraph,0,13,47,47,991,481.575654745102
RebuildWholeGraph,0,13,50,50,1137,481.575654745102
RebuildWholeGraph,0,13,58,58,905,481.575654745102
RebuildWholeGraph,0,13,54,54,1135,481.575654745102
RebuildWholeGraph,0,13,51,51,1135,481.575654745102
RebuildWholeGraph,0,13,53,53,1120,481.575654745102
RebuildWholeGraph,0,13,64,64,1120,481.575654745102
RebuildWholeGraph,0,13,44,44,1137,481.575654745102
RebuildWholeGraph,0,13,50,50,991,481.575654745102
RebuildWholeGraph,1,13,56,56,417,402.92085814476
RebuildWholeGraph,1,13,63,63,392,402.92085814476
RebuildWholeGraph,1,13,55,55,418,402.92085814476
RebuildWholeGraph,1,13,59,59,418,402.92085814476
RebuildWholeGraph,1,13,59,59,392,402.92085814476
RebuildWholeGraph,1,13,54,54,418,402.92085814476
RebuildWholeGraph,1,13,51,51,393,402.92085814476
RebuildWholeGraph,1,13,53,53,404,402.92085814476
RebuildWholeGraph,1,13,54,54,388,402.92085814476
RebuildWholeGraph,1,13,59,59,418,402.92085814476
RebuildWholeGraph,2,13,58,58,479,438.990840435028
RebuildWholeGraph,2,13,61,61,423,438.990840435028
RebuildWholeGraph,2,13,53,53,499,438.990840435028
RebuildWholeGraph,2,13,51,51,479,438.990840435028
RebuildWholeGraph,2,13,49,49,497,438.990840435028
RebuildWholeGraph,2,13,51,51,479,438.990840435028
RebuildWholeGraph,2,13,49,49,423,438.990840435028
RebuildWholeGraph,2,13,63,63,479,438.990840435028
RebuildWholeGraph,2,13,52,52,479,438.990840435028
RebuildWholeGraph,2,13,57,57,423,438.990840435028
RebuildWholeGraph,3,13,105,105,430,447.081349372864
RebuildWholeGraph,3,13,115,115,456,447.081349372864
RebuildWholeGraph,3,13,87,87,477,452.603886604309
RebuildWholeGraph,3,13,81,81,493,447.081349372864
RebuildWholeGraph,3,13,71,71,468,452.603886604309
RebuildWholeGraph,3,13,61,61,465,458.19097328186
RebuildWholeGraph,3,13,82,82,461,452.45720911026
RebuildWholeGraph,3,13,78,78,496,452.603886604309
RebuildWholeGraph,3,13,85,85,482,452.603886604309
RebuildWholeGraph,3,13,73,73,470,447.081349372864
RebuildWholeGraph,4,15,121,121,414,399.5953810215
RebuildWholeGraph,4,15,170,170,406,399.5953810215
RebuildWholeGraph,4,15,94,94,375,406.387953042984
RebuildWholeGraph,4,15,102,102,366,403.605417013168
RebuildWholeGraph,4,15,104,104,372,399.5953810215
RebuildWholeGraph,4,15,162,162,373,399.5953810215
RebuildWholeGraph,4,15,75,75,377,411.756265878677
RebuildWholeGraph,4,15,78,78,414,399.5953810215
RebuildWholeGraph,4,15,117,117,409,399.5953810215
RebuildWholeGraph,4,15,133,133,380,399.5953810215
RebuildWholeGraph,5,15,144,144,433,510.809939861298
RebuildWholeGraph,5,15,162,162,388,503.753937482834
RebuildWholeGraph,5,15,97,97,386,503.753937482834
RebuildWholeGraph,5,15,81,81,398,510.809939861298
RebuildWholeGraph,5,15,107,107,409,503.753937482834
RebuildWholeGraph,5,15,121,121,409,503.753937482834
RebuildWholeGraph,5,15,108,108,388,503.753937482834
RebuildWholeGraph,5,15,124,124,388,503.753937482834
RebuildWholeGraph,5,15,102,102,409,503.753937482834
RebuildWholeGraph,5,15,173,173,414,503.753937482834
RebuildWholeGraph,6,15,55,55,483,498.712582588196
RebuildWholeGraph,6,15,57,57,496,498.712582588196
RebuildWholeGraph,6,15,49,49,483,498.712582588196
RebuildWholeGraph,6,15,61,61,460,498.712582588196
RebuildWholeGraph,6,15,56,56,453,500.076133728027
RebuildWholeGraph,6,15,57,57,493,498.712582588196
RebuildWholeGraph,6,15,47,47,495,498.712582588196
RebuildWholeGraph,6,15,59,59,483,498.712582588196
RebuildWholeGraph,6,15,56,56,483,498.712582588196
RebuildWholeGraph,6,15,50,50,498,498.712582588196
RebuildWholeGraph,7,14,86,86,423,484.06586766243
RebuildWholeGraph,7,14,66,66,469,488.70373749733
RebuildWholeGraph,7,14,59,59,478,490.929604291916
RebuildWholeGraph,7,14,70,70,479,488.70373749733
RebuildWholeGraph,7,14,53,53,475,490.929604291916
RebuildWholeGraph,7,14,56,56,415,490.929604291916
RebuildWholeGraph,7,14,56,56,459,490.929604291916
RebuildWholeGraph,7,14,56,56,424,490.929604291916
RebuildWholeGraph,7,14,53,53,431,490.929604291916
RebuildWholeGraph,7,14,86,86,468,484.06586766243
RebuildWholeGraph,8,14,48,48,593,543.365008592606
RebuildWholeGraph,8,14,54,54,579,543.365008592606
RebuildWholeGraph,8,14,60,60,530,543.365008592606
RebuildWholeGraph,8,14,51,51,564,543.365008592606
RebuildWholeGraph,8,14,56,56,564,543.365008592606
RebuildWholeGraph,8,14,49,49,530,543.365008592606
RebuildWholeGraph,8,14,54,54,461,543.365008592606
RebuildWholeGraph,8,14,60,60,579,543.365008592606
RebuildWholeGraph,8,14,57,57,585,543.365008592606
RebuildWholeGraph,8,14,58,58,461,543.365008592606
RebuildWholeGraph,9,13,55,55,384,446.562111139297
RebuildWholeGraph,9,13,59,59,345,446.562111139297
RebuildWholeGraph,9,13,46,46,390,446.562111139297
RebuildWholeGraph,9,13,56,56,384,446.562111139297
RebuildWholeGraph,9,13,50,50,384,446.562111139297
RebuildWholeGraph,9,13,50,50,384,446.562111139297
RebuildWholeGraph,9,13,50,50,384,446.562111139297
RebuildWholeGraph,9,13,104,104,384,446.562111139297
RebuildWholeGraph,9,13,48,48,384,446.562111139297
RebuildWholeGraph,9,13,49,49,390,446.562111139297
RebuildWholeGraph,10,12,63,63,475,469.437920570374
RebuildWholeGraph,10,12,428,428,391,469.437920570374
RebuildWholeGraph,10,12,556,556,364,469.437920570374
RebuildWholeGraph,10,12,165,165,464,469.437920570374
RebuildWholeGraph,10,12,215,215,364,469.437920570374
RebuildWholeGraph,10,12,65,65,393,469.437920570374
RebuildWholeGraph,10,12,505,505,464,469.437920570374
RebuildWholeGraph,10,12,432,432,471,469.437920570374
RebuildWholeGraph,10,12,117,117,462,469.437920570374
RebuildWholeGraph,10,12,553,553,475,469.437920570374
RebuildWholeGraph,11,14,70,70,446,405.334559202194
RebuildWholeGraph,11,14,62,62,460,405.334559202194
RebuildWholeGraph,11,14,60,60,440,405.334559202194
RebuildWholeGraph,11,14,82,82,474,407.901160955429
RebuildWholeGraph,11,14,67,67,450,405.334559202194
RebuildWholeGraph,11,14,68,68,440,405.334559202194
RebuildWholeGraph,11,14,52,52,414,405.334559202194
RebuildWholeGraph,11,14,59,59,414,405.334559202194
