Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,58,58,991,481.575654745102
RebuildWholeGraph,0,13,53,53,991,481.575654745102
RebuildWholeGraph,0,13,48,48,991,481.575654745102
RebuildWholeGraph,0,13,50,50,1097,481.575654745102
RebuildWholeGraph,0,13,49,49,1074,481.575654745102
RebuildWholeGraph,0,13,55,55,991,481.575654745102
RebuildWholeGraph,0,13,55,55,936,481.575654745102
RebuildWholeGraph,0,13,50,50,1086,481.575654745102
RebuildWholeGraph,0,13,47,47,1135,481.575654745102
RebuildWholeGraph,0,13,52,52,1074,481.575654745102
RebuildWholeGraph,1,13,54,54,393,402.92085814476
RebuildWholeGraph,1,13,56,56,393,402.92085814476
RebuildWholeGraph,1,13,60,60,399,402.92085814476
RebuildWholeGraph,1,13,59,59,399,402.92085814476
RebuildWholeGraph,1,13,57,57,404,402.92085814476
RebuildWholeGraph,1,13,60,60,404,402.92085814476
RebuildWholeGraph,1,13,60,60,392,402.92085814476
RebuildWholeGraph,1,13,58,58,417,402.92085814476
RebuildWholeGraph,1,13,55,55,399,402.92085814476
RebuildWholeGraph,1,13,54,54,393,402.92085814476
RebuildWholeGraph,2,13,62,62,434,438.990840435028
RebuildWholeGraph,2,13,51,51,479,438.990840435028
RebuildWholeGraph,2,13,50,50,475,438.990840435028
RebuildWholeGraph,2,13,54,54,423,438.990840435028
RebuildWholeGraph,2,13,52,52,479,438.990840435028
RebuildWholeGraph,2,13,51,51,486,438.990840435028
RebuildWholeGraph,2,13,55,55,489,438.990840435028
RebuildWholeGraph,2,13,62,62,486,438.990840435028
RebuildWholeGraph,2,13,49,49,486,438.990840435028
RebuildWholeGraph,2,13,47,47,479,438.990840435028
RebuildWholeGraph,3,13,70,70,486,456.291509628296
RebuildWholeGraph,3,13,270,270,493,447.081349372864
RebuildWholeGraph,3,13,86,86,430,447.081349372864
RebuildWholeGraph,3,13,159,159,484,447.081349372864
RebuildWholeGraph,3,13,303,303,465,447.081349372864
RebuildWholeGraph,3,13,139,139,470,447.081349372864
RebuildWholeGraph,3,13,108,108,492,447.081349372864
RebuildWholeGraph,3,13,76,76,482,452.603886604309
RebuildWholeGraph,3,13,72,72,468,452.603886604309
RebuildWholeGraph,3,13,72,72,468,452.603886604309
RebuildWholeGraph,4,15,146,146,373,399.5953810215
RebuildWholeGraph,4,15,143,143,372,399.5953810215
RebuildWholeGraph,4,15,119,119,373,399.5953810215
RebuildWholeGraph,4,15,155,155,380,399.5953810215
RebuildWholeGraph,4,15,87,87,372,399.5953810215
RebuildWholeGraph,4,15,160,160,373,399.5953810215
RebuildWholeGraph,4,15,187,187,406,399.5953810215
RebuildWholeGraph,4,15,135,135,380,399.5953810215
RebuildWholeGraph,4,15,79,79,428,410.497014284134
RebuildWholeGraph,4,15,174,174,372,399.5953810215
RebuildWholeGraph,5,15,154,154,419,510.809939861298
RebuildWholeGraph,5,15,148,148,395,503.753937482834
RebuildWholeGraph,5,15,127,127,410,503.753937482834
RebuildWholeGraph,5,15,120,120,386,503.753937482834
RebuildWholeGraph,5,15,94,94,408,503.753937482834
RebuildWholeGraph,5,15,108,108,395,503.753937482834
RebuildWholeGraph,5,15,82,82,428,509.269436120987
RebuildWholeGraph,5,15,85,85,388,503.753937482834
RebuildWholeGraph,5,15,283,283,408,502.623158216476
RebuildWholeGraph,5,15,108,108,388,503.753937482834
RebuildWholeGraph,6,15,63,63,481,498.712582588196
RebuildWholeGraph,6,15,61,61,468,498.712582588196
RebuildWholeGraph,6,15,59,59,489,498.712582588196
RebuildWholeGraph,6,15,55,55,483,498.712582588196
RebuildWholeGraph,6,15,59,59,495,498.712582588196
RebuildWholeGraph,6,15,54,54,509,498.712582588196
RebuildWholeGraph,6,15,55,55,498,498.712582588196
RebuildWholeGraph,6,15,57,57,498,498.712582588196
RebuildWholeGraph,6,15,60,60,495,498.712582588196
RebuildWholeGraph,6,15,65,65,460,498.712582588196
RebuildWholeGraph,7,14,77,77,483,484.06586766243
RebuildWholeGraph,7,14,47,47,431,490.929604291916
RebuildWholeGraph,7,14,55,55,475,490.929604291916
RebuildWholeGraph,7,14,59,59,449,488.70373749733
