Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,45,45,1066,336.342739105225
RebuildWholeGraph,0,13,44,44,1100,336.342739105225
RebuildWholeGraph,0,13,40,40,974,336.342739105225
RebuildWholeGraph,0,13,49,49,1056,336.342739105225
RebuildWholeGraph,0,13,46,46,974,336.342739105225
RebuildWholeGraph,0,13,49,49,974,336.342739105225
RebuildWholeGraph,0,13,42,42,1111,336.342739105225
RebuildWholeGraph,0,13,47,47,1100,336.342739105225
RebuildWholeGraph,0,13,46,46,1096,336.342739105225
RebuildWholeGraph,0,13,49,49,1100,336.342739105225
RebuildWholeGraph,1,13,65,65,368,297.929455757141
RebuildWholeGraph,1,13,66,66,368,297.929455757141
RebuildWholeGraph,1,13,51,51,372,298.925424575806
RebuildWholeGraph,1,13,55,55,360,297.929455757141
RebuildWholeGraph,1,13,111,111,368,297.929455757141
RebuildWholeGraph,1,13,64,64,378,297.929455757141
RebuildWholeGraph,1,13,53,53,368,298.925424575806
RebuildWholeGraph,1,13,55,55,368,298.925424575806
RebuildWholeGraph,1,13,64,64,368,297.929455757141
RebuildWholeGraph,1,13,59,59,368,297.929455757141
RebuildWholeGraph,2,13,64,64,437,339.227689743042
RebuildWholeGraph,2,13,67,67,434,339.227689743042
RebuildWholeGraph,2,13,58,58,427,339.227689743042
RebuildWholeGraph,2,13,62,62,427,339.227689743042
RebuildWholeGraph,2,13,64,64,427,339.227689743042
RebuildWholeGraph,2,13,58,58,448,339.227689743042
RebuildWholeGraph,2,13,71,71,427,339.227689743042
RebuildWholeGraph,2,13,58,58,437,339.227689743042
RebuildWholeGraph,2,13,53,53,427,339.227689743042
RebuildWholeGraph,2,13,61,61,434,339.227689743042
RebuildWholeGraph,3,13,106,106,486,327.472661495209
RebuildWholeGraph,3,13,125,125,488,327.472661495209
RebuildWholeGraph,3,13,452,452,467,327.472661495209
RebuildWholeGraph,3,13,180,180,486,327.472661495209
RebuildWholeGraph,3,13,53,53,418,327.785378932953
RebuildWholeGraph,3,13,197,197,486,327.472661495209
RebuildWholeGraph,3,13,509,509,467,327.472661495209
RebuildWholeGraph,3,13,79,79,411,327.785378932953
RebuildWholeGraph,3,13,82,82,427,327.785378932953
RebuildWholeGraph,3,13,304,304,488,327.472661495209
RebuildWholeGraph,4,15,50,50,358,251.462040185928
RebuildWholeGraph,4,15,48,48,359,251.462040185928
RebuildWholeGraph,4,15,49,49,365,251.462040185928
RebuildWholeGraph,4,15,53,53,366,251.462040185928
RebuildWholeGraph,4,15,47,47,358,251.462040185928
RebuildWholeGraph,4,15,48,48,323,251.462040185928
RebuildWholeGraph,4,15,47,47,359,251.462040185928
RebuildWholeGraph,4,15,47,47,359,251.462040185928
RebuildWholeGraph,4,15,51,51,323,251.462040185928
RebuildWholeGraph,4,15,48,48,366,251.462040185928
RebuildWholeGraph,5,15,55,55,411,327.946759223938
RebuildWholeGraph,5,15,63,63,411,327.946759223938
RebuildWholeGraph,5,15,56,56,392,327.946759223938
RebuildWholeGraph,5,15,61,61,397,327.946759223938
RebuildWholeGraph,5,15,53,53,392,327.946759223938
RebuildWholeGraph,5,15,58,58,390,327.946759223938
RebuildWholeGraph,5,15,57,57,397,327.946759223938
RebuildWholeGraph,5,15,63,63,414,327.946759223938
RebuildWholeGraph,5,15,64,64,392,327.946759223938
RebuildWholeGraph,5,15,59,59,388,327.946759223938
RebuildWholeGraph,6,15,53,53,443,350.627268314362
RebuildWholeGraph,6,15,51,51,445,350.627268314362
