Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,65,33,249.890594482422,6
AddNodesDynamically,0,6,126,61,251.52746963501,7
AddNodesDynamically,0,7,162,36,256.485106468201,8
AddNodesDynamically,0,8,201,39,304.775671958923,9
AddNodesDynamically,0,9,701,500,309.19145488739,10
AddNodesDynamically,0,10,1201,500,353.524147987366,11
AddNodesDynamically,0,11,1701,500,354.747114181519,12
AddNodesDynamically,0,12,2201,500,358.894552230835,13
AddNodesDynamically,0,13,2249,48,363.949505805969,14
AddNodesDynamically,0,14,2291,42,387.338122367859,15
AddNodesDynamically,0,15,2333,42,400.103167533875,16
AddNodesDynamically,0,16,2376,43,408.542753219604,17
AddNodesDynamically,0,17,2526,150,421.404356956482,18
AddNodesDynamically,0,18,2577,51,422.381103515625,19
AddNodesDynamically,0,19,2621,44,428.239360809326,20
AddNodesDynamically,0,20,2666,45,432.965556144714,21
AddNodesDynamically,0,21,2711,45,442.048318862915,22
AddNodesDynamically,0,22,2756,45,442.160152435303,23
AddNodesDynamically,0,23,2802,46,462.911167144775,24
AddNodesDynamically,0,24,2848,46,469.593280792236,25
AddNodesDynamically,0,25,2895,47,469.986769676208,26
AddNodesDynamically,0,26,2942,47,472.55958533287,27
AddNodesDynamically,0,27,2989,47,483.142493963242,28
AddNodesDynamically,0,28,3087,98,496.681994199753,29
AddNodesDynamically,0,29,3135,48,496.826374292374,30
AddNodesDynamically,0,30,3183,48,501.132763147354,31
AddNodesDynamically,0,31,3232,49,502.008426904678,32
AddNodesDynamically,0,32,3281,49,504.346455335617,33
AddNodesDynamically,0,33,3330,49,511.357095956802,34
AddNodesDynamically,0,34,3380,50,524.412053346634,35
AddNodesDynamically,0,35,3430,50,524.630584478378,36
AddNodesDynamically,0,36,3480,50,525.939053297043,37
AddNodesDynamically,0,37,3530,50,535.96476149559,38
AddNodesDynamically,0,38,3581,51,540.900951147079,39
AddNodesDynamically,0,39,3646,65,537.199562311172,40
AddNodesDynamically,1,4,31,31,237.005370140076,5
AddNodesDynamically,1,5,64,33,237.522614479065,6
AddNodesDynamically,1,6,99,35,259.843945503235,7
AddNodesDynamically,1,7,135,36,271.45872592926,8
AddNodesDynamically,1,8,172,37,280.81810092926,9
AddNodesDynamically,1,9,222,50,291.75466632843,10
AddNodesDynamically,1,10,301,79,312.302221298218,11
AddNodesDynamically,1,11,352,51,315.559898376465,12
AddNodesDynamically,1,12,393,41,333.530592918396,13
AddNodesDynamically,1,13,444,51,339.208373069763,14
AddNodesDynamically,1,14,487,43,353.716588020325,15
AddNodesDynamically,1,15,529,42,356.680834770203,16
AddNodesDynamically,1,16,572,43,361.681379318237,17
AddNodesDynamically,1,17,615,43,371.097424507141,18
AddNodesDynamically,1,18,659,44,380.066780090332,19
AddNodesDynamically,1,19,841,182,383.125073432922,20
AddNodesDynamically,1,20,886,45,404.009141921997,21
AddNodesDynamically,1,21,931,45,415.440163135529,22
AddNodesDynamically,1,22,977,46,440.466883182526,23
AddNodesDynamically,1,23,1069,92,490.533217906952,24
AddNodesDynamically,1,24,1115,46,486.935338020325,25
AddNodesDynamically,1,25,1162,47,486.956961631775,26
AddNodesDynamically,1,26,1209,47,487.057458877563,27
AddNodesDynamically,1,27,1257,48,491.994567871094,28
AddNodesDynamically,1,28,1305,48,494.194690942764,29
AddNodesDynamically,1,29,1368,63,505.456834077835,30
AddNodesDynamically,1,30,1416,48,505.796224355698,31
AddNodesDynamically,1,31,1465,49,506.026131391525,32
AddNodesDynamically,1,32,1514,49,506.036741495132,33
AddNodesDynamically,1,33,1582,68,507.352961778641,34
AddNodesDynamically,1,34,1632,50,520.299493551254,35
AddNodesDynamically,1,35,1682,50,520.480229139328,36
AddNodesDynamically,1,36,1732,50,521.45476269722,37
AddNodesDynamically,1,37,1783,51,527.202830553055,38
AddNodesDynamically,1,38,1833,50,528.985387086868,39
AddNodesDynamically,1,39,1884,51,531.597597837448,40
AddNodesDynamically,2,4,34,34,263.193134307861,5
AddNodesDynamically,2,5,534,500,265.939027786255,6
AddNodesDynamically,2,6,601,67,267.415286064148,7
AddNodesDynamically,2,7,637,36,287.889449119568,8
AddNodesDynamically,2,8,675,38,321.903695106506,9
AddNodesDynamically,2,9,791,116,327.499255180359,10
AddNodesDynamically,2,10,830,39,330.456579208374,11
AddNodesDynamically,2,11,870,40,338.250782012939,12
AddNodesDynamically,2,12,910,40,339.000455856323,13
AddNodesDynamically,2,13,951,41,347.24306678772,14
AddNodesDynamically,2,14,1003,52,367.429395675659,15
AddNodesDynamically,2,15,1052,49,383.130916595459,16
AddNodesDynamically,2,16,1095,43,383.258912086487,17
AddNodesDynamically,2,17,1138,43,389.218999862671,18
AddNodesDynamically,2,18,1182,44,397.375703811646,19
AddNodesDynamically,2,19,1226,44,397.802066802979,20
AddNodesDynamically,2,20,1271,45,402.661198139191,21
AddNodesDynamically,2,21,1316,45,410.844509601593,22
AddNodesDynamically,2,22,1362,46,418.692594051361,23
AddNodesDynamically,2,23,1408,46,427.117359638214,24
AddNodesDynamically,2,24,1454,46,428.671792030334,25
AddNodesDynamically,2,25,1501,47,428.682952880859,26
AddNodesDynamically,2,26,1548,47,438.218638420105,27
