Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,67,36,249.890594482422,6
RebuildWholeGraph,0,6,129,62,251.52746963501,7
RebuildWholeGraph,0,7,197,68,256.485106468201,8
RebuildWholeGraph,0,8,263,66,304.775671958923,9
RebuildWholeGraph,0,9,763,500,309.19145488739,10
RebuildWholeGraph,0,10,1263,500,353.524147987366,11
RebuildWholeGraph,0,11,1763,500,354.747114181519,12
RebuildWholeGraph,0,12,2263,500,358.894552230835,13
RebuildWholeGraph,0,13,2378,115,363.949505805969,14
RebuildWholeGraph,0,14,2465,87,387.338122367859,15
RebuildWholeGraph,0,15,2547,82,400.103167533875,16
RebuildWholeGraph,0,16,2622,75,408.542753219604,17
RebuildWholeGraph,0,17,2925,303,421.404356956482,18
RebuildWholeGraph,0,18,3030,105,422.381103515625,19
RebuildWholeGraph,0,19,3120,90,428.239360809326,20
RebuildWholeGraph,0,20,3220,100,432.965556144714,21
RebuildWholeGraph,0,21,3324,104,442.048318862915,22
RebuildWholeGraph,0,22,3412,88,442.160152435303,23
RebuildWholeGraph,0,23,3512,100,462.911167144775,24
RebuildWholeGraph,0,24,3583,71,469.593280792236,25
RebuildWholeGraph,0,25,3650,67,469.986769676208,26
RebuildWholeGraph,0,26,3736,86,472.55958533287,27
RebuildWholeGraph,0,27,3830,94,483.142493963242,28
RebuildWholeGraph,0,28,3923,93,500.273761510849,29
RebuildWholeGraph,0,29,4013,90,500.41814160347,30
RebuildWholeGraph,0,30,4144,131,504.72453045845,31
RebuildWholeGraph,0,31,4251,107,505.600194215775,32
RebuildWholeGraph,0,32,4398,147,504.346455335617,33
RebuildWholeGraph,0,33,4510,112,510.379117250443,34
RebuildWholeGraph,0,34,4631,121,523.434074640274,35
RebuildWholeGraph,0,35,4767,136,528.222351789474,36
RebuildWholeGraph,0,36,4881,114,524.961074590683,37
RebuildWholeGraph,0,37,5042,161,534.98678278923,38
RebuildWholeGraph,0,38,5148,106,536.331205129623,39
RebuildWholeGraph,0,39,5235,87,537.199562311172,40
RebuildWholeGraph,1,4,31,31,237.005370140076,5
RebuildWholeGraph,1,5,64,33,237.522614479065,6
RebuildWholeGraph,1,6,116,52,259.843945503235,7
RebuildWholeGraph,1,7,152,36,271.45872592926,8
RebuildWholeGraph,1,8,197,45,280.81810092926,9
RebuildWholeGraph,1,9,247,50,291.75466632843,10
RebuildWholeGraph,1,10,343,96,312.302221298218,11
RebuildWholeGraph,1,11,455,112,315.559898376465,12
RebuildWholeGraph,1,12,602,147,333.530592918396,13
RebuildWholeGraph,1,13,702,100,339.208373069763,14
RebuildWholeGraph,1,14,771,69,353.441000938416,15
RebuildWholeGraph,1,15,846,75,355.684865951538,16
RebuildWholeGraph,1,16,914,68,359.716013908386,17
RebuildWholeGraph,1,17,1036,122,367.417217254639,18
RebuildWholeGraph,1,18,1144,108,376.38657283783,19
RebuildWholeGraph,1,19,1344,200,386.23942565918,20
RebuildWholeGraph,1,20,1512,168,403.551574707031,21
RebuildWholeGraph,1,21,1853,341,415.440163135529,22
RebuildWholeGraph,1,22,2353,500,437.319685459137,23
RebuildWholeGraph,1,23,2447,94,490.533217906952,24
RebuildWholeGraph,1,24,2532,85,486.935338020325,25
RebuildWholeGraph,1,25,2620,88,486.956961631775,26
RebuildWholeGraph,1,26,2727,107,487.057458877563,27
RebuildWholeGraph,1,27,2868,141,491.994567871094,28
RebuildWholeGraph,1,28,2985,117,494.194690942764,29
RebuildWholeGraph,1,29,3124,139,501.456614732742,30
RebuildWholeGraph,1,30,3222,98,501.796005010605,31
RebuildWholeGraph,1,31,3393,171,502.025912046432,32
RebuildWholeGraph,1,32,3486,93,502.03652215004,33
RebuildWholeGraph,1,33,3576,90,507.352961778641,34
RebuildWholeGraph,1,34,3702,126,520.299493551254,35
RebuildWholeGraph,1,35,3813,111,520.480229139328,36
RebuildWholeGraph,1,36,3938,125,521.45476269722,37
RebuildWholeGraph,1,37,4111,173,527.202830553055,38
RebuildWholeGraph,1,38,4254,143,528.985387086868,39
RebuildWholeGraph,1,39,4385,131,531.597597837448,40
RebuildWholeGraph,2,4,39,39,263.193134307861,5
RebuildWholeGraph,2,5,539,500,265.939027786255,6
RebuildWholeGraph,2,6,616,77,267.415286064148,7
RebuildWholeGraph,2,7,664,48,287.889449119568,8
RebuildWholeGraph,2,8,714,50,321.903695106506,9
RebuildWholeGraph,2,9,851,137,327.499255180359,10
RebuildWholeGraph,2,10,955,104,330.456579208374,11
RebuildWholeGraph,2,11,1023,68,338.250782012939,12
RebuildWholeGraph,2,12,1086,63,339.000455856323,13
RebuildWholeGraph,2,13,1157,71,347.24306678772,14
RebuildWholeGraph,2,14,1221,64,367.429395675659,15
RebuildWholeGraph,2,15,1329,108,383.130916595459,16
RebuildWholeGraph,2,16,1395,66,383.258912086487,17
RebuildWholeGraph,2,17,1473,78,389.218999862671,18
RebuildWholeGraph,2,18,1554,81,397.375703811646,19
RebuildWholeGraph,2,19,1628,74,397.802066802979,20
RebuildWholeGraph,2,20,1710,82,404.98647069931,21
RebuildWholeGraph,2,21,1912,202,409.191415309906,22
RebuildWholeGraph,2,22,2238,326,417.039499759674,23
RebuildWholeGraph,2,23,2465,227,425.464265346527,24
RebuildWholeGraph,2,24,2593,128,426.421682357788,25
RebuildWholeGraph,2,25,2725,132,426.432843208313,26
RebuildWholeGraph,2,26,2875,150,435.968528747559,27
RebuildWholeGraph,2,27,2979,104,435.969496250153,28
RebuildWholeGraph,2,28,3097,118,437.196927547455,29
RebuildWholeGraph,2,29,3225,128,439.418251991272,30
RebuildWholeGraph,2,30,3336,111,441.762078285217,31
RebuildWholeGraph,2,31,3458,122,442.852375984192,32
RebuildWholeGraph,2,32,3601,143,446.672989368439,33
RebuildWholeGraph,2,33,3714,113,447.233209133148,34
RebuildWholeGraph,2,34,3791,77,462.018365383148,35
RebuildWholeGraph,2,35,3895,104,461.638845562935,36
RebuildWholeGraph,2,36,4295,400,471.058698296547,37
RebuildWholeGraph,2,37,4492,197,475.571479916573,38
RebuildWholeGraph,2,38,4757,265,478.702847599983,39
RebuildWholeGraph,2,39,4957,200,480.704248547554,40
RebuildWholeGraph,3,4,31,31,222.502680301666,5
RebuildWholeGraph,3,5,64,33,222.940935611725,6
RebuildWholeGraph,3,6,123,59,243.575953006744,7
RebuildWholeGraph,3,7,170,47,272.124266147614,8
RebuildWholeGraph,3,8,216,46,272.35254907608,9
RebuildWholeGraph,3,9,261,45,289.210115909576,10
RebuildWholeGraph,3,10,463,202,300.846611499786,11
RebuildWholeGraph,3,11,963,500,313.612102985382,12
RebuildWholeGraph,3,12,1049,86,319.534623622894,13
RebuildWholeGraph,3,13,1549,500,321.398570537567,14
RebuildWholeGraph,3,14,2049,500,344.751933574677,15
RebuildWholeGraph,3,15,2250,201,348.843622684479,16
RebuildWholeGraph,3,16,2675,425,351.481931209564,17
RebuildWholeGraph,3,17,2927,252,356.561059474945,18
RebuildWholeGraph,3,18,3112,185,375.58664560318,19
RebuildWholeGraph,3,19,3612,500,375.774075031281,20
RebuildWholeGraph,3,20,4112,500,391.357197284698,21
RebuildWholeGraph,3,21,4612,500,395.452164649963,22
RebuildWholeGraph,3,22,5112,500,404.308012485504,23
RebuildWholeGraph,3,23,5612,500,408.245034694672,24
RebuildWholeGraph,3,24,5763,151,420.919586181641,25
RebuildWholeGraph,3,25,5881,118,433.373712539673,26
RebuildWholeGraph,3,26,6381,500,431.161672830582,27
RebuildWholeGraph,3,27,6881,500,433.585746049881,28
RebuildWholeGraph,3,28,7040,159,442.973031759262,29
RebuildWholeGraph,3,29,7540,500,439.6461622715,30
RebuildWholeGraph,3,30,7731,191,446.722015142441,31
RebuildWholeGraph,3,31,8031,300,447.633527755737,32
RebuildWholeGraph,3,32,8531,500,443.320416927338,33
RebuildWholeGraph,3,33,9031,500,446.568917751312,34
RebuildWholeGraph,3,34,9287,256,461.51503610611,35
RebuildWholeGraph,3,35,9617,330,482.040287971497,36
RebuildWholeGraph,3,36,10117,500,476.314789295197,37
RebuildWholeGraph,3,37,10362,245,511.705263137817,38
RebuildWholeGraph,3,38,10649,287,514.473957061768,39
RebuildWholeGraph,3,39,10745,96,517.088277816772,40
RebuildWholeGraph,4,4,500,500,137.559715270996,5
RebuildWholeGraph,4,5,580,80,201.191365242004,6
RebuildWholeGraph,4,6,628,48,211.223044395447,7
RebuildWholeGraph,4,7,679,51,212.930190086365,8
RebuildWholeGraph,4,8,737,58,217.18445110321,9
RebuildWholeGraph,4,9,791,54,219.221821784973,10
RebuildWholeGraph,4,10,855,64,220.652087211609,11
RebuildWholeGraph,4,11,908,53,226.619591712952,12
RebuildWholeGraph,4,12,962,54,250.683989524841,13
RebuildWholeGraph,4,13,1010,48,250.683989286423,14
RebuildWholeGraph,4,14,1067,57,251.462040185928,15
RebuildWholeGraph,4,15,1115,48,257.781379938126,16
RebuildWholeGraph,4,16,1418,303,272.337694406509,17
RebuildWholeGraph,4,17,1483,65,324.015337228775,18
RebuildWholeGraph,4,18,1550,67,334.653524637222,19
RebuildWholeGraph,4,19,1646,96,337.318644285202,20
RebuildWholeGraph,4,20,1731,85,368.485146284103,21
RebuildWholeGraph,4,21,1798,67,368.756065130234,22
RebuildWholeGraph,4,22,2049,251,403.273575544357,23
RebuildWholeGraph,4,23,2480,431,405.751914739609,24
RebuildWholeGraph,4,24,2980,500,405.757559537888,25
RebuildWholeGraph,4,25,3480,500,417.078918218613,26
RebuildWholeGraph,4,26,3980,500,435.713081121445,27
RebuildWholeGraph,4,27,4480,500,437.751564741135,28
RebuildWholeGraph,4,28,4980,500,448.963479757309,29
RebuildWholeGraph,4,29,5480,500,450.75824713707,30
RebuildWholeGraph,4,30,5980,500,450.798617124557,31
RebuildWholeGraph,4,31,6480,500,453.998075723648,32
RebuildWholeGraph,4,32,6980,500,467.30916428566,33
RebuildWholeGraph,4,33,7480,500,466.327026605606,34
RebuildWholeGraph,4,34,7980,500,469.361371517181,35
RebuildWholeGraph,4,35,8416,436,481.03161239624,36
RebuildWholeGraph,4,36,8578,162,490.980381011963,37
RebuildWholeGraph,4,37,8846,268,494.418501853943,38
RebuildWholeGraph,4,38,9119,273,501.336596488953,39
RebuildWholeGraph,4,39,9371,252,502.148558616638,40
RebuildWholeGraph,5,4,31,31,149.337509155273,5
