Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1,1,1048,749
RebuildWholeGraph,1,13,1,1,666,439
RebuildWholeGraph,2,13,1,1,522,547
RebuildWholeGraph,3,13,1,1,657,521
RebuildWholeGraph,4,15,1,1,475,407
RebuildWholeGraph,5,15,1,1,691,479
RebuildWholeGraph,6,15,1,1,795,507
RebuildWholeGraph,7,14,1,1,651,522
RebuildWholeGraph,8,14,1,1,793,590
RebuildWholeGraph,9,13,1,1,442,399
RebuildWholeGraph,10,12,1,1,777,450
RebuildWholeGraph,11,14,1,1,530,494
RebuildWholeGraph,12,15,1,1,808,561
RebuildWholeGraph,13,15,1,1,720,477
RebuildWholeGraph,14,15,1,1,712,581
RebuildWholeGraph,15,15,1,1,822,593
RebuildWholeGraph,16,13,1,1,488,417
RebuildWholeGraph,17,15,1,1,746,495
RebuildWholeGraph,18,14,1,1,712,376
RebuildWholeGraph,19,13,1,1,381,427
RebuildWholeGraph,20,12,1,1,348,388
RebuildWholeGraph,21,15,1,1,538,497
RebuildWholeGraph,22,15,1,1,721,509
RebuildWholeGraph,23,11,1,1,616,497
RebuildWholeGraph,24,11,0,0,435,399
RebuildWholeGraph,25,14,1,1,593,562
RebuildWholeGraph,26,15,1,1,839,501
RebuildWholeGraph,27,15,1,1,800,651
RebuildWholeGraph,28,13,1,1,551,491
RebuildWholeGraph,29,15,1,1,745,515
