Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1,1,1059,434
RebuildWholeGraph,1,13,1,1,681,386
RebuildWholeGraph,2,13,1,1,522,476
RebuildWholeGraph,3,13,1,1,713,410
RebuildWholeGraph,4,15,1,1,475,346
RebuildWholeGraph,5,15,1,1,654,438
RebuildWholeGraph,6,15,1,1,753,460
RebuildWholeGraph,7,14,1,1,633,414
RebuildWholeGraph,8,14,1,1,793,496
RebuildWholeGraph,9,13,1,1,492,364
RebuildWholeGraph,10,12,1,1,775,388
RebuildWholeGraph,11,14,1,1,537,426
RebuildWholeGraph,12,15,1,1,808,498
RebuildWholeGraph,13,15,1,1,712,420
RebuildWholeGraph,14,15,1,1,682,496
RebuildWholeGraph,15,15,1,1,863,440
RebuildWholeGraph,16,13,1,1,461,370
RebuildWholeGraph,17,15,1,1,746,402
RebuildWholeGraph,18,14,1,1,709,358
RebuildWholeGraph,19,13,1,1,437,376
RebuildWholeGraph,20,12,1,1,348,376
RebuildWholeGraph,21,15,1,1,549,430
RebuildWholeGraph,22,15,1,1,746,402
RebuildWholeGraph,23,11,1,1,652,362
RebuildWholeGraph,24,11,1,1,397,306
RebuildWholeGraph,25,14,1,1,629,426
RebuildWholeGraph,26,15,1,1,852,412
RebuildWholeGraph,27,15,1,1,800,488
RebuildWholeGraph,28,13,1,1,566,372
RebuildWholeGraph,29,15,1,1,793,448
