Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1,1,976,639.369666337967
RebuildWholeGraph,1,13,1,1,635,348.159896969795
RebuildWholeGraph,2,13,1,1,523,463.751183152199
RebuildWholeGraph,3,13,1,1,633,425.630381345749
RebuildWholeGraph,4,15,1,1,514,351.598641991615
RebuildWholeGraph,5,15,1,1,657,427.864458322525
RebuildWholeGraph,6,15,1,1,769,439.218730211258
RebuildWholeGraph,7,14,1,1,686,451.015793919563
RebuildWholeGraph,8,14,1,1,815,525.494477033615
RebuildWholeGraph,9,13,1,1,492,333.925567984581
RebuildWholeGraph,10,12,1,1,785,418.157625794411
RebuildWholeGraph,11,14,1,1,551,391.151295304298
RebuildWholeGraph,12,15,1,1,807,565.775497436523
RebuildWholeGraph,13,15,1,1,720,422.498695731163
RebuildWholeGraph,14,15,1,1,682,502.506056308746
RebuildWholeGraph,15,15,1,1,822,511.181111812592
RebuildWholeGraph,16,13,1,1,461,372.901357889175
RebuildWholeGraph,17,15,1,1,724,417.780128240585
RebuildWholeGraph,18,14,1,1,721,336.497136473656
RebuildWholeGraph,19,13,1,1,418,349.458937883377
RebuildWholeGraph,20,12,1,1,348,326.745734453201
RebuildWholeGraph,21,15,1,1,538,426.297207117081
RebuildWholeGraph,22,15,1,1,689,434.323826789856
RebuildWholeGraph,23,11,1,1,619,415.530014514923
RebuildWholeGraph,24,11,1,1,435,353.868469357491
RebuildWholeGraph,25,14,1,1,611,490.707447171211
RebuildWholeGraph,26,15,1,1,807,434.775415301323
RebuildWholeGraph,27,15,1,1,849,537.551340222359
RebuildWholeGraph,28,13,1,1,551,406.447899580002
RebuildWholeGraph,29,15,1,1,777,502.485037684441
