Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1,1,994,356.161833763123
RebuildWholeGraph,1,13,1,1,668,298.925424575806
RebuildWholeGraph,2,13,1,1,543,379.23828125
RebuildWholeGraph,3,13,1,1,657,351.524634838104
RebuildWholeGraph,4,15,1,1,507,251.462040185928
RebuildWholeGraph,5,15,1,1,654,348.627999305725
RebuildWholeGraph,6,15,1,1,750,369.350851535797
RebuildWholeGraph,7,14,1,1,686,344.278505802155
RebuildWholeGraph,8,14,1,1,769,385.164782524109
RebuildWholeGraph,9,13,1,1,489,286.417521476746
RebuildWholeGraph,10,12,1,1,719,309.108421683311
RebuildWholeGraph,11,14,1,1,541,334.558827877045
RebuildWholeGraph,12,15,1,1,815,418.408953666687
RebuildWholeGraph,13,15,1,1,729,311.699294090271
RebuildWholeGraph,14,15,1,1,717,413.989590644836
RebuildWholeGraph,15,15,1,1,848,419.105138301849
RebuildWholeGraph,16,13,1,1,508,319.72309923172
RebuildWholeGraph,17,15,1,1,746,304.616189002991
RebuildWholeGraph,18,14,1,1,721,304.921076774597
RebuildWholeGraph,19,13,1,1,381,288.275848865509
RebuildWholeGraph,20,12,1,1,348,278.389957904816
RebuildWholeGraph,21,15,1,1,522,351.694307804108
RebuildWholeGraph,22,15,1,1,699,315.407535552979
RebuildWholeGraph,23,11,1,1,616,283.5417304039
RebuildWholeGraph,24,11,1,1,435,239.991797447205
RebuildWholeGraph,25,14,1,1,594,370.081569671631
RebuildWholeGraph,26,15,1,1,852,356.867568254471
RebuildWholeGraph,27,15,1,1,800,418.82968890667
RebuildWholeGraph,28,13,1,1,587,298.77107167244
RebuildWholeGraph,29,15,1,1,777,350.047993183136
