Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,67,67,1083,481.575654745102
RebuildWholeGraph,1,13,135,135,615,402.92085814476
RebuildWholeGraph,2,13,71,71,512,438.990840435028
RebuildWholeGraph,3,13,639,639,675,441.994264602661
RebuildWholeGraph,4,15,1000,1000,464,399.5953810215
RebuildWholeGraph,5,15,1000,1000,614,503.753937482834
RebuildWholeGraph,6,15,68,68,747,498.712582588196
RebuildWholeGraph,7,14,318,318,649,484.06586766243
RebuildWholeGraph,8,14,69,69,778,543.365008592606
RebuildWholeGraph,9,13,325,325,489,446.562111139297
RebuildWholeGraph,10,12,203,203,729,469.437920570374
RebuildWholeGraph,11,14,86,86,551,405.334559202194
RebuildWholeGraph,12,15,324,324,808,480.043913841248
RebuildWholeGraph,13,15,59,59,720,441.532808542252
RebuildWholeGraph,14,15,129,129,712,520.963714599609
RebuildWholeGraph,15,15,80,80,822,518.724915504456
RebuildWholeGraph,16,13,98,98,509,363.872270584106
RebuildWholeGraph,17,15,51,51,724,447.981825113297
RebuildWholeGraph,18,14,47,47,741,375.114485740662
RebuildWholeGraph,19,13,80,80,426,373.144547224045
RebuildWholeGraph,20,12,1000,1000,348,349.992624998093
RebuildWholeGraph,21,15,1000,1000,579,448.955739736557
RebuildWholeGraph,22,15,370,370,753,442.078909516335
RebuildWholeGraph,23,11,542,542,575,415.859698295593
RebuildWholeGraph,24,11,1000,1000,398,323.982674598694
RebuildWholeGraph,25,14,70,70,611,416.593169569969
RebuildWholeGraph,26,15,1000,1000,852,445.22797369957
RebuildWholeGraph,27,15,1000,1000,780,466.696032047272
RebuildWholeGraph,28,13,356,356,599,402.065168857574
RebuildWholeGraph,29,15,1000,1000,745,432.150202512741
