Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,53,53,994,336.342739105225
RebuildWholeGraph,1,13,88,88,663,297.929455757141
RebuildWholeGraph,2,13,90,90,512,339.227689743042
RebuildWholeGraph,3,13,101,101,648,327.785378932953
RebuildWholeGraph,4,15,52,52,507,251.462040185928
RebuildWholeGraph,5,15,74,74,654,327.946759223938
RebuildWholeGraph,6,15,57,57,769,350.627268314362
RebuildWholeGraph,7,14,56,56,666,316.179792881012
RebuildWholeGraph,8,14,49,49,807,366.848093986511
RebuildWholeGraph,9,13,53,53,492,286.417521476746
RebuildWholeGraph,10,12,61,61,777,297.208919882774
RebuildWholeGraph,11,14,1000,1000,552,310.572442531586
RebuildWholeGraph,12,15,48,48,807,373.514901161194
RebuildWholeGraph,13,15,50,50,741,300.462620735168
RebuildWholeGraph,14,15,63,63,698,372.253680229187
RebuildWholeGraph,15,15,92,92,880,356.025913715363
RebuildWholeGraph,16,13,134,134,461,285.011585712433
RebuildWholeGraph,17,15,60,60,722,300.462620735168
RebuildWholeGraph,18,14,61,61,741,298.823008537292
RebuildWholeGraph,19,13,91,91,381,284.312203884125
RebuildWholeGraph,20,12,1000,1000,404,267.446118354797
RebuildWholeGraph,21,15,125,125,516,307.720445156097
RebuildWholeGraph,22,15,80,80,701,307.318486213684
RebuildWholeGraph,23,11,47,47,632,279.936015605927
RebuildWholeGraph,24,11,60,60,443,237.955586433411
RebuildWholeGraph,25,14,90,90,625,324.017018318176
RebuildWholeGraph,26,15,149,149,807,319.957393884659
RebuildWholeGraph,27,15,58,58,849,364.723832964897
RebuildWholeGraph,28,13,270,270,599,276.344015359879
RebuildWholeGraph,29,15,87,87,769,332.98898267746
