Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1000,1000,1059,428
RebuildWholeGraph,1,13,1000,1000,635,384
RebuildWholeGraph,2,13,1000,1000,522,426
RebuildWholeGraph,3,13,84,84,626,410
RebuildWholeGraph,4,15,1000,1000,489,316
RebuildWholeGraph,5,15,308,308,651,394
RebuildWholeGraph,6,15,51,51,769,432
RebuildWholeGraph,7,14,79,79,647,408
RebuildWholeGraph,8,14,44,44,807,446
RebuildWholeGraph,9,13,480,480,442,360
RebuildWholeGraph,10,12,408,408,777,380
RebuildWholeGraph,11,14,64,64,530,400
RebuildWholeGraph,12,15,54,54,826,476
RebuildWholeGraph,13,15,48,48,741,396
RebuildWholeGraph,14,15,1000,1000,685,466
RebuildWholeGraph,15,15,55,55,822,420
RebuildWholeGraph,16,13,682,682,503,358
RebuildWholeGraph,17,15,49,49,745,396
RebuildWholeGraph,18,14,1000,1000,732,358
RebuildWholeGraph,19,13,470,470,419,358
RebuildWholeGraph,20,12,1000,1000,348,338
RebuildWholeGraph,21,15,1000,1000,579,388
RebuildWholeGraph,22,15,721,721,721,378
RebuildWholeGraph,23,11,1000,1000,613,356
RebuildWholeGraph,24,11,1000,1000,435,290
RebuildWholeGraph,25,14,1000,1000,629,418
RebuildWholeGraph,26,15,73,73,836,404
RebuildWholeGraph,27,15,69,69,841,454
RebuildWholeGraph,28,13,63,63,561,346
RebuildWholeGraph,29,15,1000,1000,777,412
