Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,66,34,249.890594482422,6
AddNodesDynamically,0,6,119,53,251.52746963501,7
AddNodesDynamically,0,7,166,47,256.485106468201,8
AddNodesDynamically,0,8,219,53,304.775671958923,9
AddNodesDynamically,0,9,374,155,309.19145488739,10
AddNodesDynamically,0,10,1374,1000,353.524147987366,11
AddNodesDynamically,0,11,1607,233,354.747114181519,12
AddNodesDynamically,0,12,1736,129,358.894552230835,13
AddNodesDynamically,0,13,1803,67,363.949505805969,14
AddNodesDynamically,0,14,1864,61,387.338122367859,15
AddNodesDynamically,0,15,1923,59,400.103167533875,16
AddNodesDynamically,0,16,1992,69,408.542753219604,17
AddNodesDynamically,0,17,2078,86,425.578320503235,18
AddNodesDynamically,0,18,2154,76,422.381103515625,19
AddNodesDynamically,0,19,2214,60,428.239360809326,20
AddNodesDynamically,0,20,2277,63,432.965556144714,21
AddNodesDynamically,0,21,2345,68,442.048318862915,22
AddNodesDynamically,0,22,2411,66,442.160152435303,23
AddNodesDynamically,0,23,2479,68,462.911167144775,24
AddNodesDynamically,0,24,2555,76,469.593280792236,25
AddNodesDynamically,0,25,2626,71,469.986769676208,26
AddNodesDynamically,0,26,2692,66,472.55958533287,27
AddNodesDynamically,0,27,2760,68,483.142493963242,28
AddNodesDynamically,0,28,2843,83,500.210370779037,29
AddNodesDynamically,0,29,2937,94,500.41814160347,30
AddNodesDynamically,0,30,3006,69,504.72453045845,31
AddNodesDynamically,0,31,3091,85,505.600194215775,32
AddNodesDynamically,0,32,3161,70,507.938222646713,33
AddNodesDynamically,0,33,3246,85,510.379117250443,34
AddNodesDynamically,0,34,3350,104,523.434074640274,35
AddNodesDynamically,0,35,3429,79,523.652605772018,36
AddNodesDynamically,0,36,3509,80,524.961074590683,37
AddNodesDynamically,0,37,3585,76,534.98678278923,38
AddNodesDynamically,0,38,3659,74,536.331205129623,39
AddNodesDynamically,0,39,3737,78,537.199562311172,40
AddNodesDynamically,1,4,32,32,237.005370140076,5
AddNodesDynamically,1,5,70,38,237.522614479065,6
AddNodesDynamically,1,6,119,49,259.843945503235,7
AddNodesDynamically,1,7,157,38,271.45872592926,8
AddNodesDynamically,1,8,198,41,280.81810092926,9
AddNodesDynamically,1,9,242,44,291.75466632843,10
AddNodesDynamically,1,10,298,56,312.302221298218,11
AddNodesDynamically,1,11,372,74,315.559898376465,12
AddNodesDynamically,1,12,435,63,333.530592918396,13
AddNodesDynamically,1,13,496,61,339.208373069763,14
AddNodesDynamically,1,14,560,64,353.441000938416,15
AddNodesDynamically,1,15,644,84,356.405247688293,16
AddNodesDynamically,1,16,703,59,361.681379318237,17
AddNodesDynamically,1,17,772,69,367.417217254639,18
AddNodesDynamically,1,18,838,66,376.38657283783,19
AddNodesDynamically,1,19,967,129,384.662516593933,20
AddNodesDynamically,1,20,1044,77,404.009141921997,21
AddNodesDynamically,1,21,1133,89,415.973172664642,22
