Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,1,15,92,92,770,3387.71168580936
RebuildWholeGraph,1,15,64,64,770,3387.71168580936
RebuildWholeGraph,1,15,55,55,815,3387.71168580936
RebuildWholeGraph,1,15,90,90,836,3387.71168580936
RebuildWholeGraph,1,15,66,66,770,3387.71168580936
RebuildWholeGraph,1,15,67,67,770,3387.71168580936
RebuildWholeGraph,1,15,56,56,770,3387.71168580936
RebuildWholeGraph,1,15,96,96,815,3383.41474388192
RebuildWholeGraph,1,15,87,87,770,3387.71168580936
RebuildWholeGraph,1,15,104,104,770,3387.71168580936
RebuildWholeGraph,1,15,56,56,770,3387.71168580936
RebuildWholeGraph,1,15,60,60,836,3387.71168580936
RebuildWholeGraph,1,15,63,63,836,3387.71168580936
RebuildWholeGraph,1,15,76,76,770,3387.71168580936
RebuildWholeGraph,1,15,74,74,836,3387.71168580936
RebuildWholeGraph,1,15,435,435,815,3383.41474388192
RebuildWholeGraph,1,15,476,476,815,3383.41474388192
RebuildWholeGraph,1,15,255,255,815,3383.41474388192
RebuildWholeGraph,1,15,107,107,770,3387.71168580936
RebuildWholeGraph,1,15,153,153,770,3387.71168580936
RebuildWholeGraph,1,15,149,149,770,3387.71168580936
RebuildWholeGraph,1,15,304,304,770,3383.41474388192
RebuildWholeGraph,1,15,87,87,770,3387.71168580936
RebuildWholeGraph,1,15,77,77,770,3387.71168580936
RebuildWholeGraph,1,15,74,74,770,3383.41474388192
RebuildWholeGraph,1,15,69,69,770,3387.71168580936
RebuildWholeGraph,1,15,57,57,770,3387.71168580936
RebuildWholeGraph,1,15,87,87,770,3383.41474388192
RebuildWholeGraph,1,15,93,93,770,3387.71168580936
RebuildWholeGraph,1,15,53,53,770,3387.71168580936
RebuildWholeGraph,2,14,315,315,1065,2986.14000201231
RebuildWholeGraph,2,14,42,42,1080,2991.82986156294
RebuildWholeGraph,2,14,180,180,1107,2986.14000201231
RebuildWholeGraph,2,14,186,186,983,2986.14000201231
RebuildWholeGraph,2,14,51,51,1080,2991.82986156294
RebuildWholeGraph,2,14,54,54,1107,2986.14000201231
RebuildWholeGraph,2,14,366,366,1065,2986.14000201231
RebuildWholeGraph,2,14,58,58,1080,2991.82986156294
RebuildWholeGraph,2,14,42,42,1080,2991.82986156294
RebuildWholeGraph,2,14,41,41,1080,2991.82986156294
RebuildWholeGraph,2,14,58,58,1080,2991.82986156294
RebuildWholeGraph,2,14,45,45,1080,2991.82986156294
RebuildWholeGraph,2,14,172,172,1107,2986.14000201231
RebuildWholeGraph,2,14,372,372,1080,2986.14000201231
RebuildWholeGraph,2,14,42,42,1080,2991.82986156294
RebuildWholeGraph,2,14,53,53,1065,2986.14000201231
RebuildWholeGraph,2,14,43,43,1080,2991.82986156294
RebuildWholeGraph,2,14,88,88,1107,2986.14000201231
RebuildWholeGraph,2,14,57,57,1080,2991.82986156294
RebuildWholeGraph,2,14,90,90,1065,2986.14000201231
RebuildWholeGraph,2,14,76,76,1080,2991.82986156294
RebuildWholeGraph,2,14,58,58,1107,2986.14000201231
RebuildWholeGraph,2,14,735,735,1107,2986.14000201231
RebuildWholeGraph,2,14,47,47,1080,2991.82986156294
RebuildWholeGraph,2,14,450,450,1065,2986.14000201231
RebuildWholeGraph,2,14,65,65,1080,2991.82986156294
RebuildWholeGraph,2,14,70,70,1080,2991.82986156294
RebuildWholeGraph,2,14,224,224,1065,2986.14000201231
RebuildWholeGraph,2,14,235,235,1107,2986.14000201231
RebuildWholeGraph,2,14,81,81,1065,2986.14000201231
RebuildWholeGraph,3,8,71,71,355,3101.34047104714
RebuildWholeGraph,3,8,47,47,355,3101.34047104714
RebuildWholeGraph,3,8,35,35,355,3101.34047104714
RebuildWholeGraph,3,8,40,40,355,3101.34047104714
RebuildWholeGraph,3,8,114,114,358,3101.34047104714
RebuildWholeGraph,3,8,36,36,358,3101.34047104714
RebuildWholeGraph,3,8,124,124,355,3101.34047104714
RebuildWholeGraph,3,8,306,306,355,3101.34047104714
RebuildWholeGraph,3,8,102,102,355,3101.34047104714
RebuildWholeGraph,3,8,85,85,355,3101.34047104714
RebuildWholeGraph,3,8,42,42,355,3101.34047104714
RebuildWholeGraph,3,8,308,308,355,3101.34047104714
RebuildWholeGraph,3,8,107,107,355,3101.34047104714
RebuildWholeGraph,3,8,41,41,358,3101.34047104714
RebuildWholeGraph,3,8,249,249,335,3101.34047104714
RebuildWholeGraph,3,8,165,165,355,3101.34047104714
RebuildWholeGraph,3,8,43,43,335,3101.34047104714
RebuildWholeGraph,3,8,37,37,335,3101.34047104714
RebuildWholeGraph,3,8,38,38,358,3101.34047104714
RebuildWholeGraph,3,8,42,42,358,3101.34047104714
RebuildWholeGraph,3,8,173,173,355,3101.34047104714
