Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,1,15,132,132,770,3167.56756756757
RebuildWholeGraph,1,15,83,83,770,3167.56756756757
RebuildWholeGraph,1,15,103,103,770,3167.56756756757
RebuildWholeGraph,1,15,104,104,770,3167.56756756757
RebuildWholeGraph,1,15,105,105,770,3167.56756756757
RebuildWholeGraph,1,15,71,71,770,3167.56756756757
RebuildWholeGraph,1,15,62,62,779,3167.56756756757
RebuildWholeGraph,1,15,262,262,779,3167.56756756757
RebuildWholeGraph,1,15,57,57,770,3167.56756756757
RebuildWholeGraph,1,15,59,59,815,3167.56756756757
RebuildWholeGraph,1,15,93,93,770,3167.56756756757
RebuildWholeGraph,1,15,65,65,796,3167.56756756757
RebuildWholeGraph,1,15,140,140,770,3167.56756756757
RebuildWholeGraph,1,15,100,100,779,3167.56756756757
RebuildWholeGraph,1,15,110,110,796,3167.56756756757
RebuildWholeGraph,1,15,67,67,779,3167.56756756757
RebuildWholeGraph,1,15,74,74,796,3167.56756756757
RebuildWholeGraph,1,15,181,181,796,3167.56756756757
RebuildWholeGraph,1,15,117,117,796,3167.56756756757
RebuildWholeGraph,1,15,86,86,779,3167.56756756757
RebuildWholeGraph,1,15,47,47,770,3167.56756756757
RebuildWholeGraph,1,15,116,116,796,3167.56756756757
RebuildWholeGraph,1,15,55,55,779,3167.56756756757
RebuildWholeGraph,1,15,68,68,770,3167.56756756757
RebuildWholeGraph,1,15,60,60,815,3167.56756756757
RebuildWholeGraph,1,15,63,63,779,3167.56756756757
RebuildWholeGraph,1,15,61,61,779,3167.56756756757
RebuildWholeGraph,1,15,80,80,779,3167.56756756757
RebuildWholeGraph,1,15,99,99,796,3167.56756756757
RebuildWholeGraph,1,15,65,65,770,3167.56756756757
RebuildWholeGraph,2,14,604,604,1037,2865.49707602339
RebuildWholeGraph,2,14,171,171,1107,2865.49707602339
RebuildWholeGraph,2,14,101,101,1080,2865.49707602339
RebuildWholeGraph,2,14,265,265,997,2865.49707602339
RebuildWholeGraph,2,14,571,571,997,2865.49707602339
RebuildWholeGraph,2,14,597,597,997,2865.49707602339
RebuildWholeGraph,2,14,206,206,1107,2865.49707602339
RebuildWholeGraph,2,14,186,186,1024,2865.49707602339
RebuildWholeGraph,2,14,267,267,997,2865.49707602339
RebuildWholeGraph,2,14,114,114,1107,2865.49707602339
