Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,1,15,45,45,779,2712.5
RebuildWholeGraph,1,15,46,46,771,2712.5
RebuildWholeGraph,1,15,46,46,796,2712.5
RebuildWholeGraph,1,15,46,46,770,2712.5
RebuildWholeGraph,1,15,46,46,839,2712.5
RebuildWholeGraph,1,15,44,44,818,2712.5
RebuildWholeGraph,1,15,45,45,770,2712.5
RebuildWholeGraph,1,15,45,45,836,2712.5
RebuildWholeGraph,1,15,45,45,770,2712.5
RebuildWholeGraph,1,15,52,52,816,2712.5
RebuildWholeGraph,1,15,54,54,770,2712.5
RebuildWholeGraph,1,15,53,53,796,2712.5
RebuildWholeGraph,1,15,47,47,786,2712.5
RebuildWholeGraph,1,15,50,50,836,2712.5
RebuildWholeGraph,1,15,51,51,839,2712.5
RebuildWholeGraph,1,15,45,45,796,2712.5
RebuildWholeGraph,1,15,48,48,774,2712.5
RebuildWholeGraph,1,15,47,47,816,2712.5
RebuildWholeGraph,1,15,50,50,836,2712.5
RebuildWholeGraph,1,15,42,42,816,2712.5
RebuildWholeGraph,1,15,53,53,796,2712.5
RebuildWholeGraph,1,15,50,50,770,2712.5
RebuildWholeGraph,1,15,44,44,836,2712.5
RebuildWholeGraph,1,15,42,42,770,2712.5
RebuildWholeGraph,1,15,50,50,836,2712.5
RebuildWholeGraph,1,15,47,47,836,2712.5
RebuildWholeGraph,1,15,49,49,839,2712.5
RebuildWholeGraph,1,15,45,45,796,2712.5
RebuildWholeGraph,1,15,46,46,836,2712.5
RebuildWholeGraph,1,15,47,47,796,2712.5
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1080,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,2,14,41,41,1060,2882.88288288288
RebuildWholeGraph,2,14,41,41,1024,2882.88288288288
RebuildWholeGraph,3,8,53,53,335,2508.77192982456
RebuildWholeGraph,3,8,35,35,335,2508.77192982456
RebuildWholeGraph,3,8,50,50,335,2508.77192982456
RebuildWholeGraph,3,8,46,46,335,2508.77192982456
RebuildWholeGraph,3,8,45,45,335,2508.77192982456
RebuildWholeGraph,3,8,35,35,358,2508.77192982456
