Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,281.761238098145,5
AddNodesDynamically,0,5,64,33,281.911649703979,6
AddNodesDynamically,0,6,102,38,289.526529312134,7
AddNodesDynamically,0,7,138,36,301.807962417603,8
AddNodesDynamically,0,8,175,37,301.885298728943,9
AddNodesDynamically,0,9,213,38,307.213839530945,10
AddNodesDynamically,0,10,252,39,310.282179832458,11
AddNodesDynamically,0,11,291,39,311.113109350204,12
AddNodesDynamically,0,12,331,40,339.011312246323,13
AddNodesDynamically,0,13,372,41,342.367583036423,14
AddNodesDynamically,0,14,413,41,342.371268033981,15
AddNodesDynamically,1,4,31,31,182.065735816956,5
AddNodesDynamically,1,5,64,33,182.921599388123,6
AddNodesDynamically,1,6,98,34,183.834097385406,7
AddNodesDynamically,1,7,134,36,190.953113079071,8
AddNodesDynamically,1,8,171,37,196.604737758636,9
AddNodesDynamically,1,9,211,40,198.427332401276,10
AddNodesDynamically,1,10,250,39,199.38233089447,11
AddNodesDynamically,1,11,289,39,213.169771194458,12
AddNodesDynamically,1,12,329,40,215.871507644653,13
AddNodesDynamically,1,13,370,41,217.772359371185,14
AddNodesDynamically,1,14,412,42,251.311320781708,15
AddNodesDynamically,2,4,31,31,213.290828704834,5
AddNodesDynamically,2,5,180,149,216.147029876709,6
AddNodesDynamically,2,6,214,34,267.14150428772,7
AddNodesDynamically,2,7,250,36,281.53280878067,8
AddNodesDynamically,2,8,312,62,344.863070011139,9
AddNodesDynamically,2,9,358,46,352.326704502106,10
AddNodesDynamically,2,10,413,55,354.532095432281,11
AddNodesDynamically,2,11,452,39,354.58978509903,12
AddNodesDynamically,2,12,492,40,355.793193817139,13
AddNodesDynamically,2,13,533,41,355.864666461945,14
AddNodesDynamically,2,14,574,41,356.025913715363,15
AddNodesDynamically,3,4,31,31,279.994773864746,5
AddNodesDynamically,3,5,64,33,280.187602043152,6
AddNodesDynamically,3,6,98,34,289.390355110168,7
AddNodesDynamically,3,7,142,44,296.917109489441,8
AddNodesDynamically,3,8,186,44,303.629830360413,9
AddNodesDynamically,3,9,224,38,304.106200695038,10
AddNodesDynamically,3,10,262,38,321.509430408478,11
AddNodesDynamically,3,11,350,88,343.577131748199,12
AddNodesDynamically,3,12,390,40,347.164806842804,13
AddNodesDynamically,3,13,431,41,350.048410892487,14
AddNodesDynamically,3,14,472,41,358.821210384369,15
AddNodesDynamically,4,4,33,33,241.373357772827,5
AddNodesDynamically,4,5,66,33,242.036888122559,6
AddNodesDynamically,4,6,100,34,262.481575012207,7
AddNodesDynamically,4,7,136,36,288.43511390686,8
AddNodesDynamically,4,8,173,37,289.125458717346,9
AddNodesDynamically,4,9,211,38,289.125458717346,10
AddNodesDynamically,4,10,249,38,289.191462516785,11
AddNodesDynamically,4,11,288,39,310.585961341858,12
AddNodesDynamically,4,12,328,40,327.462198257446,13
AddNodesDynamically,4,13,369,41,327.993853569031,14
AddNodesDynamically,4,14,410,41,330.172143936157,15
AddNodesDynamically,5,4,36,36,227.588703155518,5
AddNodesDynamically,5,5,69,33,228.587411880493,6
AddNodesDynamically,5,6,103,34,277.737222671509,7
AddNodesDynamically,5,7,139,36,285.916298389435,8
AddNodesDynamically,5,8,182,43,286.368247509003,9
AddNodesDynamically,5,9,220,38,297.191922664642,10
AddNodesDynamically,5,10,259,39,297.946034908295,11
AddNodesDynamically,5,11,298,39,300.285863399506,12
AddNodesDynamically,5,12,338,40,303.398526668549,13
AddNodesDynamically,5,13,379,41,325.239159107208,14
AddNodesDynamically,5,14,420,41,341.35778093338,15
AddNodesDynamically,6,4,31,31,216.339117050171,5
AddNodesDynamically,6,5,65,34,230.654888153076,6
AddNodesDynamically,6,6,100,35,250.316164016724,7
AddNodesDynamically,6,7,137,37,253.102167129517,8
AddNodesDynamically,6,8,174,37,258.712823867798,9
AddNodesDynamically,6,9,212,38,291.413385391235,10
AddNodesDynamically,6,10,251,39,295.604356765747,11
AddNodesDynamically,6,11,290,39,295.604601383209,12
AddNodesDynamically,6,12,330,40,312.560353755951,13
AddNodesDynamically,6,13,371,41,349.159223079681,14
AddNodesDynamically,6,14,412,41,377.943995952606,15
AddNodesDynamically,7,4,38,38,203.034818172455,5
AddNodesDynamically,7,5,71,33,238.120198726654,6
