Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,58,58,752,3423.75705273973
RebuildWholeGraph,0,14,142,142,691,3413.43361748659
RebuildWholeGraph,0,14,84,84,720,3423.75705273973
RebuildWholeGraph,0,14,94,94,691,3423.75705273973
RebuildWholeGraph,0,14,94,94,720,3423.75705273973
RebuildWholeGraph,0,14,83,83,720,3413.43361748659
RebuildWholeGraph,0,14,65,65,752,3423.75705273973
RebuildWholeGraph,0,14,84,84,699,3413.43361748659
RebuildWholeGraph,0,14,72,72,720,3423.75705273973
RebuildWholeGraph,0,14,68,68,720,3423.75705273973
RebuildWholeGraph,0,14,54,54,691,3423.75705273973
RebuildWholeGraph,0,14,88,88,763,3423.75705273973
RebuildWholeGraph,0,14,260,260,744,3413.43361748659
RebuildWholeGraph,0,14,60,60,720,3423.75705273973
RebuildWholeGraph,0,14,68,68,744,3423.75705273973
RebuildWholeGraph,0,14,112,112,720,3423.75705273973
RebuildWholeGraph,0,14,52,52,744,3423.75705273973
RebuildWholeGraph,0,14,91,91,720,3423.75705273973
RebuildWholeGraph,0,14,81,81,763,3423.75705273973
RebuildWholeGraph,0,14,70,70,744,3423.75705273973
RebuildWholeGraph,0,14,66,66,744,3423.75705273973
RebuildWholeGraph,0,14,96,96,744,3413.43361748659
RebuildWholeGraph,0,14,73,73,763,3423.75705273973
RebuildWholeGraph,0,14,120,120,752,3423.75705273973
RebuildWholeGraph,0,14,129,129,699,3413.43361748659
RebuildWholeGraph,0,14,88,88,720,3423.75705273973
RebuildWholeGraph,0,14,81,81,744,3413.43361748659
RebuildWholeGraph,0,14,68,68,720,3423.75705273973
RebuildWholeGraph,0,14,102,102,720,3423.75705273973
RebuildWholeGraph,0,14,89,89,728,3413.43361748659
RebuildWholeGraph,1,15,48,48,867,2693.60671630981
RebuildWholeGraph,1,15,57,57,867,2693.60671630981
RebuildWholeGraph,1,15,45,45,802,2695.43807231196
RebuildWholeGraph,1,15,42,42,867,2693.60671630981
RebuildWholeGraph,1,15,51,51,867,2693.60671630981
RebuildWholeGraph,1,15,52,52,867,2693.60671630981
RebuildWholeGraph,1,15,52,52,867,2693.60671630981
RebuildWholeGraph,1,15,51,51,867,2693.60671630981
RebuildWholeGraph,1,15,54,54,887,2693.60671630981
RebuildWholeGraph,1,15,56,56,838,2693.60671630981
RebuildWholeGraph,1,15,46,46,856,2693.60671630981
RebuildWholeGraph,1,15,42,42,838,2693.60671630981
RebuildWholeGraph,1,15,44,44,823,2693.60671630981
RebuildWholeGraph,1,15,44,44,867,2693.60671630981
RebuildWholeGraph,1,15,44,44,802,2695.43807231196
RebuildWholeGraph,1,15,49,49,887,2695.43807231196
