Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,55,55,738,3115.71711006057
RebuildWholeGraph,0,14,54,54,691,3135.27023919109
RebuildWholeGraph,0,14,67,67,752,3085.79252706148
RebuildWholeGraph,0,14,91,91,728,3085.79252706148
RebuildWholeGraph,0,14,102,102,699,3085.79252706148
RebuildWholeGraph,0,14,101,101,763,3085.79252706148
RebuildWholeGraph,0,14,109,109,752,3085.79252706148
RebuildWholeGraph,0,14,138,138,752,3085.79252706148
RebuildWholeGraph,0,14,105,105,752,3085.79252706148
RebuildWholeGraph,0,14,74,74,763,3085.79252706148
RebuildWholeGraph,0,14,142,142,728,3085.79252706148
RebuildWholeGraph,0,14,122,122,752,3085.79252706148
RebuildWholeGraph,0,14,125,125,763,3085.79252706148
RebuildWholeGraph,0,14,114,114,763,3085.79252706148
RebuildWholeGraph,0,14,84,84,728,3085.79252706148
RebuildWholeGraph,0,14,152,152,752,3085.79252706148
RebuildWholeGraph,0,14,73,73,752,3085.79252706148
RebuildWholeGraph,0,14,118,118,752,3085.79252706148
RebuildWholeGraph,0,14,69,69,752,3085.79252706148
RebuildWholeGraph,0,14,62,62,738,3115.71711006057
RebuildWholeGraph,0,14,59,59,728,3085.79252706148
RebuildWholeGraph,0,14,72,72,752,3085.79252706148
RebuildWholeGraph,0,14,128,128,752,3085.79252706148
RebuildWholeGraph,0,14,130,130,752,3085.79252706148
RebuildWholeGraph,0,14,69,69,728,3085.79252706148
RebuildWholeGraph,0,14,146,146,728,3085.79252706148
RebuildWholeGraph,0,14,107,107,752,3085.79252706148
RebuildWholeGraph,0,14,89,89,728,3085.79252706148
RebuildWholeGraph,0,14,79,79,728,3085.79252706148
RebuildWholeGraph,0,14,49,49,738,3115.71711006057
RebuildWholeGraph,1,15,41,41,864,3043.05293390971
RebuildWholeGraph,1,15,41,41,867,3043.05293390971
RebuildWholeGraph,1,15,42,42,864,3043.05293390971
RebuildWholeGraph,1,15,41,41,823,3043.05293390971
RebuildWholeGraph,1,15,42,42,823,3043.05293390971
RebuildWholeGraph,1,15,42,42,867,3043.05293390971
RebuildWholeGraph,1,15,41,41,867,3043.05293390971
RebuildWholeGraph,1,15,41,41,864,3043.05293390971
