Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,58,58,720,3361.93721975345
RebuildWholeGraph,0,14,65,65,744,3329.87571903818
RebuildWholeGraph,0,14,43,43,720,3361.93721975345
RebuildWholeGraph,0,14,74,74,763,3329.87571903818
RebuildWholeGraph,0,14,47,47,720,3361.93721975345
RebuildWholeGraph,0,14,85,85,763,3329.87571903818
RebuildWholeGraph,0,14,57,57,699,3329.87571903818
RebuildWholeGraph,0,14,87,87,763,3329.87571903818
RebuildWholeGraph,0,14,51,51,728,3361.93721975345
RebuildWholeGraph,0,14,51,51,728,3329.87571903818
RebuildWholeGraph,0,14,62,62,720,3361.93721975345
RebuildWholeGraph,0,14,56,56,720,3399.87414136438
RebuildWholeGraph,0,14,83,83,744,3329.87571903818
RebuildWholeGraph,0,14,81,81,691,3329.87571903818
RebuildWholeGraph,0,14,47,47,691,3329.87571903818
RebuildWholeGraph,0,14,74,74,744,3329.87571903818
RebuildWholeGraph,0,14,41,41,691,3361.93721975345
RebuildWholeGraph,0,14,46,46,752,3361.93721975345
RebuildWholeGraph,0,14,56,56,744,3329.87571903818
RebuildWholeGraph,0,14,90,90,744,3329.87571903818
RebuildWholeGraph,0,14,47,47,720,3361.93721975345
RebuildWholeGraph,0,14,58,58,744,3329.87571903818
RebuildWholeGraph,0,14,44,44,720,3361.93721975345
RebuildWholeGraph,0,14,94,94,744,3329.87571903818
RebuildWholeGraph,0,14,50,50,728,3361.93721975345
RebuildWholeGraph,0,14,47,47,728,3361.93721975345
RebuildWholeGraph,0,14,45,45,720,3361.93721975345
RebuildWholeGraph,0,14,64,64,728,3361.93721975345
RebuildWholeGraph,0,14,61,61,744,3329.87571903818
RebuildWholeGraph,0,14,56,56,744,3329.87571903818
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,41,41,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
RebuildWholeGraph,1,15,42,42,838,3098.25207058269
