Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,14,161,161,720,3615.01570631867
RebuildWholeGraph,0,14,88,88,691,3630.60912517739
RebuildWholeGraph,0,14,91,91,691,3630.60912517739
RebuildWholeGraph,0,14,122,122,741,3630.60912517739
RebuildWholeGraph,0,14,78,78,691,3630.60912517739
RebuildWholeGraph,0,14,120,120,728,3630.60912517739
RebuildWholeGraph,0,14,95,95,691,3630.60912517739
RebuildWholeGraph,0,14,108,108,720,3615.01570631867
RebuildWholeGraph,0,14,124,124,691,3630.60912517739
RebuildWholeGraph,0,14,96,96,691,3630.60912517739
RebuildWholeGraph,0,14,91,91,741,3630.60912517739
RebuildWholeGraph,0,14,93,93,741,3630.60912517739
RebuildWholeGraph,0,14,137,137,720,3615.01570631867
RebuildWholeGraph,0,14,79,79,728,3630.60912517739
RebuildWholeGraph,0,14,92,92,728,3630.60912517739
RebuildWholeGraph,0,14,78,78,691,3630.60912517739
RebuildWholeGraph,0,14,84,84,741,3630.60912517739
RebuildWholeGraph,0,14,152,152,738,3615.01570631867
RebuildWholeGraph,0,14,68,68,741,3630.60912517739
RebuildWholeGraph,0,14,98,98,738,3659.01316112674
RebuildWholeGraph,0,14,75,75,741,3630.60912517739
RebuildWholeGraph,0,14,87,87,691,3630.60912517739
RebuildWholeGraph,0,14,106,106,691,3630.60912517739
RebuildWholeGraph,0,14,193,193,720,3615.01570631867
RebuildWholeGraph,0,14,73,73,741,3630.60912517739
RebuildWholeGraph,0,14,90,90,691,3630.60912517739
RebuildWholeGraph,0,14,134,134,691,3615.01570631867
RebuildWholeGraph,0,14,79,79,691,3639.98214269171
RebuildWholeGraph,0,14,174,174,741,3615.01570631867
RebuildWholeGraph,0,14,93,93,741,3630.60912517739
RebuildWholeGraph,1,15,53,53,864,3193.52245564358
RebuildWholeGraph,1,15,79,79,823,3165.82847091015
RebuildWholeGraph,1,15,56,56,876,3220.19516888279
RebuildWholeGraph,1,15,52,52,838,3220.19516888279
