Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,26,26,677,18223.8026966851
RebuildWholeGraph,0,11,28,28,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,671,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,28,28,607,18223.8026966851
RebuildWholeGraph,0,11,27,27,693,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,28,28,677,18223.8026966851
RebuildWholeGraph,0,11,28,28,693,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,26,26,671,18223.8026966851
RebuildWholeGraph,0,11,27,27,671,18223.8026966851
RebuildWholeGraph,0,11,26,26,693,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,633,18223.8026966851
RebuildWholeGraph,0,11,28,28,633,18223.8026966851
RebuildWholeGraph,0,11,27,27,634,18223.8026966851
RebuildWholeGraph,0,11,28,28,671,18223.8026966851
RebuildWholeGraph,0,11,27,27,677,18223.8026966851
RebuildWholeGraph,0,11,27,27,634,18223.8026966851
RebuildWholeGraph,0,11,27,27,634,18223.8026966851
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,22,22,406,20862.939323638
RebuildWholeGraph,1,9,20,20,400,20862.939323638
RebuildWholeGraph,1,9,18,18,413,20862.939323638
RebuildWholeGraph,1,9,21,21,406,20862.939323638
RebuildWholeGraph,1,9,20,20,400,20862.939323638
RebuildWholeGraph,1,9,21,21,400,20862.939323638
RebuildWholeGraph,1,9,22,22,406,20862.939323638
RebuildWholeGraph,1,9,21,21,400,20862.939323638
RebuildWholeGraph,1,9,20,20,400,20862.939323638
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,20,20,406,20862.939323638
RebuildWholeGraph,1,9,22,22,406,20862.939323638
RebuildWholeGraph,1,9,21,21,400,20862.939323638
RebuildWholeGraph,1,9,21,21,406,20862.939323638
RebuildWholeGraph,1,9,20,20,400,20862.939323638
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,23,23,400,20862.939323638
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,23,23,406,20862.939323638
RebuildWholeGraph,1,9,24,24,406,20862.939323638
RebuildWholeGraph,1,9,21,21,400,20862.939323638
RebuildWholeGraph,1,9,21,21,406,20862.939323638
RebuildWholeGraph,1,9,22,22,400,20862.939323638
RebuildWholeGraph,1,9,21,21,406,20862.939323638
RebuildWholeGraph,1,9,21,21,400,20862.939323638
RebuildWholeGraph,1,9,21,21,406,20862.939323638
RebuildWholeGraph,1,9,23,23,406,20862.939323638
RebuildWholeGraph,1,9,20,20,400,20862.939323638
RebuildWholeGraph,2,13,31,31,555,25533.996803077
RebuildWholeGraph,2,13,33,33,549,25462.7267411972
RebuildWholeGraph,2,13,36,36,549,25462.7267411972
RebuildWholeGraph,2,13,32,32,549,25462.7267411972
