Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,27,27,693,18767.7845942754
RebuildWholeGraph,0,11,40,40,693,18698.4684694051
RebuildWholeGraph,0,11,26,26,693,18698.4684694051
RebuildWholeGraph,0,11,33,33,629,18698.4684694051
RebuildWholeGraph,0,11,26,26,607,18767.7845942754
RebuildWholeGraph,0,11,27,27,629,18698.4684694051
RebuildWholeGraph,0,11,28,28,629,18698.4684694051
RebuildWholeGraph,0,11,26,26,693,18767.7845942754
RebuildWholeGraph,0,11,24,24,693,18767.7845942754
RebuildWholeGraph,0,11,31,31,633,18698.4684694051
RebuildWholeGraph,0,11,37,37,629,18698.4684694051
RebuildWholeGraph,0,11,26,26,633,18767.7845942754
RebuildWholeGraph,0,11,25,25,693,18767.7845942754
RebuildWholeGraph,0,11,27,27,607,18767.7845942754
RebuildWholeGraph,0,11,29,29,620,18698.4684694051
RebuildWholeGraph,0,11,37,37,677,18767.7845942754
RebuildWholeGraph,0,11,28,28,633,18698.4684694051
RebuildWholeGraph,0,11,29,29,620,18698.4684694051
RebuildWholeGraph,0,11,28,28,693,18767.7845942754
RebuildWholeGraph,0,11,28,28,607,18698.4684694051
RebuildWholeGraph,0,11,28,28,677,18698.4684694051
RebuildWholeGraph,0,11,29,29,693,18767.7845942754
RebuildWholeGraph,0,11,31,31,633,18698.4684694051
RebuildWholeGraph,0,11,28,28,620,18698.4684694051
RebuildWholeGraph,0,11,34,34,677,18767.7845942754
RebuildWholeGraph,0,11,28,28,629,18698.4684694051
RebuildWholeGraph,0,11,29,29,693,18767.7845942754
RebuildWholeGraph,0,11,29,29,677,18698.4684694051
RebuildWholeGraph,0,11,26,26,620,18823.923553656
RebuildWholeGraph,0,11,26,26,633,18823.923553656
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,373,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,1,9,22,22,413,18273.9819607024
RebuildWholeGraph,2,13,28,28,600,24407.5800638714
RebuildWholeGraph,2,13,28,28,600,24407.5800638714
RebuildWholeGraph,2,13,28,28,605,24407.5800638714
RebuildWholeGraph,2,13,27,27,600,24407.5800638714
RebuildWholeGraph,2,13,28,28,555,24407.5800638714
RebuildWholeGraph,2,13,26,26,600,24407.5800638714
RebuildWholeGraph,2,13,26,26,600,24407.5800638714
RebuildWholeGraph,2,13,28,28,551,24407.5800638714
RebuildWholeGraph,2,13,27,27,551,24407.5800638714
RebuildWholeGraph,2,13,28,28,551,24407.5800638714
RebuildWholeGraph,2,13,27,27,551,24407.5800638714
RebuildWholeGraph,2,13,27,27,551,24407.5800638714
RebuildWholeGraph,2,13,29,29,551,24407.5800638714
RebuildWholeGraph,2,13,26,26,600,24407.5800638714
RebuildWholeGraph,2,13,26,26,555,24407.5800638714
RebuildWholeGraph,2,13,25,25,555,24407.5800638714
RebuildWholeGraph,2,13,27,27,600,24407.5800638714
RebuildWholeGraph,2,13,27,27,551,24407.5800638714
RebuildWholeGraph,2,13,26,26,600,24407.5800638714
RebuildWholeGraph,2,13,28,28,551,24407.5800638714
RebuildWholeGraph,2,13,27,27,555,24407.5800638714
RebuildWholeGraph,2,13,26,26,551,24407.5800638714
RebuildWholeGraph,2,13,27,27,600,24407.5800638714
RebuildWholeGraph,2,13,27,27,555,24407.5800638714
RebuildWholeGraph,2,13,28,28,551,24407.5800638714
RebuildWholeGraph,2,13,28,28,608,24407.5800638714
RebuildWholeGraph,2,13,28,28,551,24407.5800638714
RebuildWholeGraph,2,13,28,28,526,24407.5800638714
RebuildWholeGraph,2,13,28,28,600,24407.5800638714
RebuildWholeGraph,2,13,27,27,608,24407.5800638714
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,375,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,26,26,375,20114.1379262834
RebuildWholeGraph,3,10,24,24,369,20114.1379262834
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,3,10,27,27,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,369,20114.1379262834
RebuildWholeGraph,3,10,25,25,369,20114.1379262834
RebuildWholeGraph,3,10,25,25,369,20114.1379262834
RebuildWholeGraph,3,10,25,25,369,20114.1379262834
RebuildWholeGraph,3,10,28,28,375,20114.1379262834
RebuildWholeGraph,3,10,25,25,375,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,369,20114.1379262834
RebuildWholeGraph,3,10,25,25,375,20114.1379262834
RebuildWholeGraph,3,10,25,25,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,24,24,335,20114.1379262834
RebuildWholeGraph,3,10,26,26,335,20114.1379262834
RebuildWholeGraph,4,14,28,28,435,25587.4620063819
