Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,77,77,633,873.015873015873
RebuildWholeGraph,0,11,153,153,677,825.396825396825
RebuildWholeGraph,0,11,84,84,633,873.015873015873
RebuildWholeGraph,0,11,51,51,661,873.015873015873
RebuildWholeGraph,0,11,297,297,677,825.396825396825
RebuildWholeGraph,0,11,158,158,677,825.396825396825
RebuildWholeGraph,0,11,211,211,633,825.396825396825
RebuildWholeGraph,0,11,42,42,633,873.015873015873
RebuildWholeGraph,0,11,124,124,693,825.396825396825
RebuildWholeGraph,0,11,149,149,677,825.396825396825
RebuildWholeGraph,0,11,119,119,677,825.396825396825
RebuildWholeGraph,0,11,642,642,677,825.396825396825
RebuildWholeGraph,0,11,229,229,649,825.396825396825
RebuildWholeGraph,0,11,275,275,677,825.396825396825
RebuildWholeGraph,0,11,363,363,677,825.396825396825
RebuildWholeGraph,0,11,225,225,677,825.396825396825
RebuildWholeGraph,0,11,253,253,677,825.396825396825
RebuildWholeGraph,0,11,154,154,677,825.396825396825
RebuildWholeGraph,0,11,201,201,693,825.396825396825
RebuildWholeGraph,0,11,268,268,677,825.396825396825
RebuildWholeGraph,0,11,141,141,677,825.396825396825
RebuildWholeGraph,0,11,57,57,693,825.396825396825
RebuildWholeGraph,0,11,94,94,677,825.396825396825
RebuildWholeGraph,0,11,52,52,693,825.396825396825
RebuildWholeGraph,0,11,303,303,677,825.396825396825
RebuildWholeGraph,0,11,71,71,677,825.396825396825
RebuildWholeGraph,0,11,74,74,661,873.015873015873
RebuildWholeGraph,0,11,368,368,677,825.396825396825
RebuildWholeGraph,0,11,438,438,693,825.396825396825
RebuildWholeGraph,0,11,78,78,693,825.396825396825
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
RebuildWholeGraph,1,9,37,37,406,916.666666666667
RebuildWholeGraph,1,9,37,37,369,916.666666666667
