Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,52,52,607,318
RebuildWholeGraph,0,11,66,66,633,318
RebuildWholeGraph,0,11,198,198,677,318
RebuildWholeGraph,0,11,98,98,649,318
RebuildWholeGraph,0,11,155,155,693,318
RebuildWholeGraph,0,11,91,91,677,318
RebuildWholeGraph,0,11,58,58,677,318
RebuildWholeGraph,0,11,117,117,607,318
RebuildWholeGraph,0,11,90,90,677,318
RebuildWholeGraph,0,11,69,69,677,318
RebuildWholeGraph,0,11,63,63,693,318
RebuildWholeGraph,0,11,236,236,693,318
RebuildWholeGraph,0,11,65,65,607,318
RebuildWholeGraph,0,11,61,61,677,318
RebuildWholeGraph,0,11,72,72,607,318
RebuildWholeGraph,0,11,61,61,677,318
RebuildWholeGraph,0,11,48,48,693,318
RebuildWholeGraph,0,11,133,133,661,318
RebuildWholeGraph,0,11,60,60,693,318
RebuildWholeGraph,0,11,64,64,634,318
RebuildWholeGraph,0,11,217,217,677,318
RebuildWholeGraph,0,11,163,163,693,318
RebuildWholeGraph,0,11,208,208,693,318
RebuildWholeGraph,0,11,100,100,677,318
RebuildWholeGraph,0,11,174,174,677,318
RebuildWholeGraph,0,11,60,60,693,318
RebuildWholeGraph,0,11,213,213,607,318
RebuildWholeGraph,0,11,229,229,677,318
RebuildWholeGraph,0,11,116,116,607,318
RebuildWholeGraph,0,11,84,84,677,318
RebuildWholeGraph,1,9,42,42,381,304
RebuildWholeGraph,1,9,37,37,400,304
RebuildWholeGraph,1,9,46,46,380,304
RebuildWholeGraph,1,9,39,39,400,304
RebuildWholeGraph,1,9,37,37,369,304
RebuildWholeGraph,1,9,38,38,369,304
RebuildWholeGraph,1,9,37,37,380,304
RebuildWholeGraph,1,9,37,37,400,304
RebuildWholeGraph,1,9,37,37,381,304
RebuildWholeGraph,1,9,37,37,381,304
RebuildWholeGraph,1,9,37,37,381,304
RebuildWholeGraph,1,9,37,37,400,304
RebuildWholeGraph,1,9,38,38,400,304
RebuildWholeGraph,1,9,39,39,400,304
RebuildWholeGraph,1,9,40,40,381,304
RebuildWholeGraph,1,9,38,38,400,304
RebuildWholeGraph,1,9,37,37,380,304
RebuildWholeGraph,1,9,37,37,369,304
RebuildWholeGraph,1,9,43,43,400,304
RebuildWholeGraph,1,9,41,41,381,304
RebuildWholeGraph,1,9,37,37,417,304
RebuildWholeGraph,1,9,46,46,380,304
RebuildWholeGraph,1,9,41,41,380,304
RebuildWholeGraph,1,9,37,37,373,304
RebuildWholeGraph,1,9,42,42,369,304
