Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,1000,1000,762,462.3575963974
RebuildWholeGraph,0,15,380,380,723,468.12789106369
RebuildWholeGraph,0,15,594,594,712,462.3575963974
RebuildWholeGraph,0,15,105,105,724,462.3575963974
RebuildWholeGraph,0,15,412,412,726,462.3575963974
RebuildWholeGraph,0,15,109,109,712,468.12789106369
RebuildWholeGraph,0,15,53,53,726,468.12789106369
RebuildWholeGraph,0,15,176,176,762,462.3575963974
RebuildWholeGraph,0,15,271,271,754,462.3575963974
RebuildWholeGraph,0,15,109,109,724,468.12789106369
RebuildWholeGraph,0,15,100,100,723,468.12789106369
RebuildWholeGraph,0,15,406,406,745,462.3575963974
RebuildWholeGraph,0,15,936,936,721,462.3575963974
RebuildWholeGraph,0,15,141,141,743,462.3575963974
RebuildWholeGraph,0,15,564,564,782,468.12789106369
RebuildWholeGraph,0,15,547,547,724,462.3575963974
RebuildWholeGraph,0,15,130,130,712,468.12789106369
RebuildWholeGraph,0,15,1000,1000,782,462.3575963974
RebuildWholeGraph,0,15,389,389,712,468.12789106369
RebuildWholeGraph,0,15,548,548,712,462.3575963974
RebuildWholeGraph,0,15,387,387,723,468.12789106369
RebuildWholeGraph,0,15,318,318,743,468.12789106369
RebuildWholeGraph,0,15,143,143,743,468.12789106369
RebuildWholeGraph,0,15,172,172,723,462.3575963974
RebuildWholeGraph,0,15,478,478,782,468.12789106369
RebuildWholeGraph,0,15,854,854,743,462.3575963974
RebuildWholeGraph,0,15,736,736,724,462.3575963974
RebuildWholeGraph,0,15,83,83,743,468.12789106369
RebuildWholeGraph,0,15,237,237,726,468.12789106369
RebuildWholeGraph,0,15,1000,1000,762,462.3575963974
RebuildWholeGraph,1,11,87,87,541,476.902523040771
RebuildWholeGraph,1,11,151,151,527,476.902523040771
RebuildWholeGraph,1,11,271,271,541,476.902523040771
RebuildWholeGraph,1,11,135,135,541,476.902523040771
RebuildWholeGraph,1,11,177,177,527,476.902523040771
RebuildWholeGraph,1,11,52,52,519,476.902523040771
RebuildWholeGraph,1,11,152,152,551,476.902523040771
RebuildWholeGraph,1,11,145,145,541,476.902523040771
RebuildWholeGraph,1,11,264,264,541,476.902523040771
RebuildWholeGraph,1,11,49,49,527,476.902523040771
RebuildWholeGraph,1,11,245,245,541,476.902523040771
RebuildWholeGraph,1,11,57,57,541,476.902523040771
RebuildWholeGraph,1,11,566,566,551,476.902523040771
RebuildWholeGraph,1,11,99,99,519,476.902523040771
RebuildWholeGraph,1,11,51,51,519,476.902523040771
RebuildWholeGraph,1,11,174,174,555,476.902523040771
RebuildWholeGraph,1,11,124,124,551,476.902523040771
RebuildWholeGraph,1,11,1000,1000,541,476.902523040771
RebuildWholeGraph,1,11,301,301,555,476.902523040771
RebuildWholeGraph,1,11,222,222,551,476.902523040771
RebuildWholeGraph,1,11,149,149,555,476.902523040771
RebuildWholeGraph,1,11,192,192,527,476.902523040771
RebuildWholeGraph,1,11,490,490,555,476.902523040771
RebuildWholeGraph,1,11,436,436,541,476.902523040771
RebuildWholeGraph,1,11,190,190,527,476.902523040771
RebuildWholeGraph,1,11,398,398,541,476.902523040771
RebuildWholeGraph,1,11,104,104,519,476.902523040771
RebuildWholeGraph,1,11,113,113,569,476.902523040771
RebuildWholeGraph,1,11,200,200,541,476.902523040771
RebuildWholeGraph,1,11,127,127,527,476.902523040771
RebuildWholeGraph,2,14,108,108,622,396.762225866318
RebuildWholeGraph,2,14,128,128,580,396.762225866318
RebuildWholeGraph,2,14,806,806,580,396.762225866318
RebuildWholeGraph,2,14,194,194,622,396.762225866318
RebuildWholeGraph,2,14,254,254,641,396.762225866318
RebuildWholeGraph,2,14,391,391,589,396.762225866318
RebuildWholeGraph,2,14,580,580,622,396.762225866318
RebuildWholeGraph,2,14,213,213,580,396.762225866318
RebuildWholeGraph,2,14,784,784,631,396.762225866318
RebuildWholeGraph,2,14,105,105,580,396.762225866318
RebuildWholeGraph,2,14,711,711,580,396.762225866318
RebuildWholeGraph,2,14,238,238,580,396.762225866318
RebuildWholeGraph,2,14,188,188,622,396.762225866318
RebuildWholeGraph,2,14,730,730,622,396.762225866318
RebuildWholeGraph,2,14,299,299,622,396.762225866318
RebuildWholeGraph,2,14,175,175,622,396.762225866318
RebuildWholeGraph,2,14,383,383,580,396.762225866318
RebuildWholeGraph,2,14,135,135,580,396.762225866318
RebuildWholeGraph,2,14,224,224,580,396.877953290939
RebuildWholeGraph,2,14,259,259,580,396.762225866318
RebuildWholeGraph,2,14,155,155,580,396.762225866318
RebuildWholeGraph,2,14,504,504,580,396.762225866318
RebuildWholeGraph,2,14,889,889,580,396.762225866318
RebuildWholeGraph,2,14,626,626,580,396.762225866318
RebuildWholeGraph,2,14,124,124,580,396.762225866318
RebuildWholeGraph,2,14,362,362,580,396.762225866318
RebuildWholeGraph,2,14,557,557,580,396.762225866318
RebuildWholeGraph,2,14,175,175,580,396.762225866318
RebuildWholeGraph,2,14,225,225,602,396.762225866318
RebuildWholeGraph,2,14,322,322,622,396.762225866318
