Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,60,60,586,416.229776382446
RebuildWholeGraph,0,13,76,76,586,416.229776382446
RebuildWholeGraph,0,13,69,69,586,416.229776382446
RebuildWholeGraph,0,13,44,44,586,416.229776382446
RebuildWholeGraph,0,13,74,74,639,416.229776382446
RebuildWholeGraph,0,13,59,59,639,416.229776382446
RebuildWholeGraph,0,13,58,58,572,416.229776382446
RebuildWholeGraph,0,13,70,70,629,416.229776382446
RebuildWholeGraph,0,13,62,62,629,416.229776382446
RebuildWholeGraph,0,13,71,71,586,416.229776382446
RebuildWholeGraph,0,13,71,71,629,416.229776382446
RebuildWholeGraph,0,13,58,58,586,416.229776382446
RebuildWholeGraph,0,13,86,86,640,416.229776382446
RebuildWholeGraph,0,13,53,53,586,416.229776382446
RebuildWholeGraph,0,13,63,63,586,416.229776382446
RebuildWholeGraph,0,13,88,88,572,416.229776382446
RebuildWholeGraph,0,13,61,61,586,416.229776382446
RebuildWholeGraph,0,13,53,53,586,416.229776382446
RebuildWholeGraph,0,13,73,73,586,416.229776382446
RebuildWholeGraph,0,13,53,53,586,416.229776382446
RebuildWholeGraph,0,13,68,68,572,416.229776382446
RebuildWholeGraph,0,13,57,57,586,416.229776382446
RebuildWholeGraph,0,13,58,58,572,416.229776382446
RebuildWholeGraph,0,13,68,68,572,416.229776382446
RebuildWholeGraph,0,13,66,66,586,416.229776382446
RebuildWholeGraph,0,13,55,55,586,416.229776382446
RebuildWholeGraph,0,13,72,72,572,416.229776382446
RebuildWholeGraph,0,13,65,65,572,416.229776382446
RebuildWholeGraph,0,13,62,62,586,416.229776382446
RebuildWholeGraph,0,13,50,50,572,416.229776382446
RebuildWholeGraph,1,14,471,471,611,353.788514614105
RebuildWholeGraph,1,14,153,153,579,351.38624048233
RebuildWholeGraph,1,14,129,129,611,351.456473827362
RebuildWholeGraph,1,14,272,272,612,353.788514614105
RebuildWholeGraph,1,14,56,56,641,353.788514614105
RebuildWholeGraph,1,14,203,203,611,353.788514614105
RebuildWholeGraph,1,14,368,368,611,353.788514614105
RebuildWholeGraph,1,14,263,263,628,351.456473827362
RebuildWholeGraph,1,14,429,429,611,351.456473827362
RebuildWholeGraph,1,14,245,245,611,351.38624048233
RebuildWholeGraph,1,14,500,500,579,351.456473827362
RebuildWholeGraph,1,14,391,391,611,353.788514614105
RebuildWholeGraph,1,14,500,500,641,351.456473827362
RebuildWholeGraph,1,14,69,69,611,353.788514614105
RebuildWholeGraph,1,14,500,500,579,351.38624048233
RebuildWholeGraph,1,14,500,500,611,353.788514614105
RebuildWholeGraph,1,14,500,500,579,351.38624048233
RebuildWholeGraph,1,14,70,70,641,351.456473827362
RebuildWholeGraph,1,14,98,98,598,353.788514614105
RebuildWholeGraph,1,14,401,401,641,351.38624048233
RebuildWholeGraph,1,14,93,93,641,351.456473827362
RebuildWholeGraph,1,14,97,97,579,351.38624048233
RebuildWholeGraph,1,14,209,209,579,353.788514614105
RebuildWholeGraph,1,14,94,94,591,353.788514614105
RebuildWholeGraph,1,14,300,300,579,353.788514614105
RebuildWholeGraph,1,14,49,49,611,353.788514614105
RebuildWholeGraph,1,14,500,500,579,351.38624048233
RebuildWholeGraph,1,14,63,63,611,353.788514614105
RebuildWholeGraph,1,14,161,161,612,351.38624048233
RebuildWholeGraph,1,14,117,117,611,353.788514614105
RebuildWholeGraph,2,12,135,135,608,326.006638765335
RebuildWholeGraph,2,12,152,152,569,326.006638765335
RebuildWholeGraph,2,12,86,86,574,326.006638765335
RebuildWholeGraph,2,12,60,60,574,326.006638765335
RebuildWholeGraph,2,12,53,53,614,326.006638765335
RebuildWholeGraph,2,12,189,189,608,326.006638765335
RebuildWholeGraph,2,12,59,59,584,326.067160844803
RebuildWholeGraph,2,12,49,49,594,326.067160844803
RebuildWholeGraph,2,12,55,55,584,326.067160844803
RebuildWholeGraph,2,12,88,88,614,326.006638765335
RebuildWholeGraph,2,12,136,136,602,326.006638765335
RebuildWholeGraph,2,12,488,488,608,326.006638765335
RebuildWholeGraph,2,12,50,50,584,326.067160844803
RebuildWholeGraph,2,12,48,48,614,326.067160844803
RebuildWholeGraph,2,12,79,79,608,326.006638765335
RebuildWholeGraph,2,12,99,99,608,326.006638765335
RebuildWholeGraph,2,12,487,487,608,326.006638765335
RebuildWholeGraph,2,12,91,91,608,326.006638765335
RebuildWholeGraph,2,12,96,96,569,326.006638765335
RebuildWholeGraph,2,12,68,68,624,326.006638765335
RebuildWholeGraph,2,12,142,142,608,326.006638765335
RebuildWholeGraph,2,12,143,143,569,326.006638765335
RebuildWholeGraph,2,12,260,260,608,326.006638765335
RebuildWholeGraph,2,12,110,110,614,326.006638765335
RebuildWholeGraph,2,12,84,84,608,326.006638765335
RebuildWholeGraph,2,12,145,145,563,326.006638765335
RebuildWholeGraph,2,12,140,140,614,326.006638765335
RebuildWholeGraph,2,12,95,95,584,326.006638765335
RebuildWholeGraph,2,12,75,75,584,326.006638765335
RebuildWholeGraph,2,12,202,202,624,326.006638765335
RebuildWholeGraph,3,13,68,68,639,400.176267147064
RebuildWholeGraph,3,13,82,82,594,400.176267147064
RebuildWholeGraph,3,13,72,72,594,400.176267147064
RebuildWholeGraph,3,13,85,85,594,400.176267147064
RebuildWholeGraph,3,13,58,58,590,404.834402084351
RebuildWholeGraph,3,13,81,81,594,400.176267147064
RebuildWholeGraph,3,13,61,61,549,400.176267147064
RebuildWholeGraph,3,13,132,132,594,400.176267147064
RebuildWholeGraph,3,13,92,92,549,400.176267147064
RebuildWholeGraph,3,13,93,93,594,400.176267147064
RebuildWholeGraph,3,13,127,127,639,400.176267147064
RebuildWholeGraph,3,13,60,60,549,400.176267147064
RebuildWholeGraph,3,13,69,69,594,400.176267147064
RebuildWholeGraph,3,13,55,55,594,400.176267147064
RebuildWholeGraph,3,13,167,167,594,401.309868335724
RebuildWholeGraph,3,13,191,191,549,400.176267147064
RebuildWholeGraph,3,13,67,67,594,400.176267147064
RebuildWholeGraph,3,13,55,55,594,404.834402084351
RebuildWholeGraph,3,13,127,127,549,400.176267147064
RebuildWholeGraph,3,13,58,58,594,400.176267147064
RebuildWholeGraph,3,13,198,198,594,400.176267147064
RebuildWholeGraph,3,13,170,170,587,400.176267147064
RebuildWholeGraph,3,13,82,82,588,400.176267147064
RebuildWholeGraph,3,13,60,60,594,401.505230426788
RebuildWholeGraph,3,13,58,58,594,400.176267147064
RebuildWholeGraph,3,13,75,75,594,400.176267147064
RebuildWholeGraph,3,13,106,106,594,400.176267147064
RebuildWholeGraph,3,13,100,100,594,400.176267147064
RebuildWholeGraph,3,13,52,52,594,401.309868335724
RebuildWholeGraph,3,13,71,71,639,400.176267147064
RebuildWholeGraph,4,15,57,57,690,424.22377538681
RebuildWholeGraph,4,15,68,68,733,424.22377538681
RebuildWholeGraph,4,15,55,55,733,424.22377538681
RebuildWholeGraph,4,15,60,60,733,424.22377538681
RebuildWholeGraph,4,15,61,61,658,424.22377538681
RebuildWholeGraph,4,15,61,61,733,424.22377538681
RebuildWholeGraph,4,15,71,71,733,424.22377538681
RebuildWholeGraph,4,15,65,65,673,424.22377538681
RebuildWholeGraph,4,15,57,57,706,424.22377538681
RebuildWholeGraph,4,15,52,52,737,424.22377538681
RebuildWholeGraph,4,15,57,57,690,424.22377538681
RebuildWholeGraph,4,15,58,58,690,424.22377538681
RebuildWholeGraph,4,15,61,61,673,424.22377538681
RebuildWholeGraph,4,15,56,56,733,424.22377538681
RebuildWholeGraph,4,15,62,62,733,424.22377538681
RebuildWholeGraph,4,15,49,49,733,424.22377538681
RebuildWholeGraph,4,15,57,57,690,424.22377538681
RebuildWholeGraph,4,15,66,66,733,424.22377538681
RebuildWholeGraph,4,15,58,58,691,424.22377538681
RebuildWholeGraph,4,15,61,61,690,424.22377538681
RebuildWholeGraph,4,15,58,58,706,424.22377538681
RebuildWholeGraph,4,15,71,71,673,424.22377538681
RebuildWholeGraph,4,15,61,61,733,424.22377538681
RebuildWholeGraph,4,15,55,55,733,424.22377538681
RebuildWholeGraph,4,15,64,64,733,424.22377538681
RebuildWholeGraph,4,15,62,62,733,424.22377538681
RebuildWholeGraph,4,15,54,54,733,424.22377538681
RebuildWholeGraph,4,15,56,56,722,424.22377538681
RebuildWholeGraph,4,15,58,58,690,424.22377538681
RebuildWholeGraph,4,15,59,59,733,424.22377538681
