Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,80,80,265.507862091064,5
AddNodesDynamically,0,5,115,35,288.275260925293,6
AddNodesDynamically,0,6,149,34,291.75390625,7
AddNodesDynamically,0,7,209,60,354.800779342651,8
AddNodesDynamically,0,8,255,46,367.996320724487,9
AddNodesDynamically,0,9,293,38,368.340311050415,10
AddNodesDynamically,0,10,434,141,371.320728302002,11
AddNodesDynamically,0,11,473,39,372.59969997406,12
AddNodesDynamically,0,12,546,73,385.015142440796,13
AddNodesDynamically,0,13,595,49,393.170255661011,14
AddNodesDynamically,0,14,636,41,393.378330230713,15
AddNodesDynamically,1,4,31,31,181.733746051788,5
AddNodesDynamically,1,5,64,33,181.958639621735,6
AddNodesDynamically,1,6,105,41,203.306076526642,7
AddNodesDynamically,1,7,148,43,204.028719425201,8
AddNodesDynamically,1,8,185,37,235.040857791901,9
AddNodesDynamically,1,9,244,59,271.381645679474,10
AddNodesDynamically,1,10,317,73,270.450598239899,11
AddNodesDynamically,1,11,356,39,284.506400585175,12
AddNodesDynamically,1,12,397,41,290.507771015167,13
AddNodesDynamically,1,13,443,46,321.368047237396,14
AddNodesDynamically,1,14,529,86,333.098536968231,15
AddNodesDynamically,2,4,31,31,260.057699203491,5
AddNodesDynamically,2,5,64,33,265.940084457397,6
AddNodesDynamically,2,6,98,34,267.055196762085,7
AddNodesDynamically,2,7,133,35,283.748731613159,8
AddNodesDynamically,2,8,207,74,292.304773330688,9
AddNodesDynamically,2,9,271,64,292.30539894104,10
AddNodesDynamically,2,10,332,61,299.639561653137,11
AddNodesDynamically,2,11,382,50,308.506237030029,12
AddNodesDynamically,2,12,422,40,320.48380279541,13
AddNodesDynamically,2,13,463,41,327.100616455078,14
AddNodesDynamically,2,14,545,82,335.346743583679,15
AddNodesDynamically,3,4,31,31,231.40997505188,5
AddNodesDynamically,3,5,66,35,240.267667770386,6
AddNodesDynamically,3,6,106,40,249.99142742157,7
AddNodesDynamically,3,7,142,36,250.476044654846,8
AddNodesDynamically,3,8,180,38,250.92751789093,9
AddNodesDynamically,3,9,223,43,308.433045387268,10
AddNodesDynamically,3,10,262,39,313.048829078674,11
AddNodesDynamically,3,11,301,39,314.453091621399,12
AddNodesDynamically,3,12,341,40,345.611737251282,13
AddNodesDynamically,3,13,382,41,354.020481109619,14
AddNodesDynamically,3,14,423,41,370.830253601074,15
AddNodesDynamically,4,4,31,31,257.585458278656,5
AddNodesDynamically,4,5,64,33,257.592765331268,6
AddNodesDynamically,4,6,98,34,262.438956737518,7
AddNodesDynamically,4,7,134,36,265.179172039032,8
AddNodesDynamically,4,8,179,45,273.270200252533,9
AddNodesDynamically,4,9,217,38,279.25315618515,10
AddNodesDynamically,4,10,255,38,324.452233791351,11
AddNodesDynamically,4,11,294,39,327.147333145142,12
AddNodesDynamically,4,12,334,40,329.16109085083,13
AddNodesDynamically,4,13,375,41,331.240477561951,14
AddNodesDynamically,4,14,416,41,332.256374359131,15
