Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,53,53,643,415.362173080444
RebuildWholeGraph,0,12,61,61,630,415.362173080444
RebuildWholeGraph,0,12,231,231,643,415.362173080444
RebuildWholeGraph,0,12,236,236,627,415.362173080444
RebuildWholeGraph,0,12,130,130,645,415.362173080444
RebuildWholeGraph,0,12,76,76,681,415.362173080444
RebuildWholeGraph,0,12,539,539,681,415.362173080444
RebuildWholeGraph,0,12,241,241,681,415.362173080444
RebuildWholeGraph,0,12,516,516,650,415.362173080444
RebuildWholeGraph,0,12,76,76,643,415.362173080444
RebuildWholeGraph,0,12,853,853,681,415.362173080444
RebuildWholeGraph,0,12,639,639,643,415.362173080444
RebuildWholeGraph,0,12,126,126,645,415.362173080444
RebuildWholeGraph,0,12,339,339,645,415.362173080444
RebuildWholeGraph,0,12,404,404,681,415.362173080444
RebuildWholeGraph,0,12,483,483,650,415.362173080444
RebuildWholeGraph,0,12,696,696,654,415.362173080444
RebuildWholeGraph,0,12,160,160,643,415.362173080444
RebuildWholeGraph,0,12,143,143,684,415.362173080444
RebuildWholeGraph,0,12,579,579,624,415.362173080444
RebuildWholeGraph,0,12,66,66,630,415.362173080444
RebuildWholeGraph,0,12,791,791,645,415.362173080444
RebuildWholeGraph,0,12,110,110,630,415.362173080444
RebuildWholeGraph,0,12,216,216,654,415.362173080444
RebuildWholeGraph,0,12,562,562,643,415.362173080444
RebuildWholeGraph,0,12,139,139,645,415.362173080444
RebuildWholeGraph,0,12,225,225,681,415.362173080444
RebuildWholeGraph,0,12,410,410,645,415.362173080444
RebuildWholeGraph,0,12,46,46,643,415.362173080444
RebuildWholeGraph,0,12,332,332,654,415.362173080444
RebuildWholeGraph,1,13,45,45,779,338.693028450012
RebuildWholeGraph,1,13,44,44,858,338.693028450012
RebuildWholeGraph,1,13,43,43,827,338.693028450012
RebuildWholeGraph,1,13,45,45,858,338.693028450012
RebuildWholeGraph,1,13,45,45,859,338.693028450012
RebuildWholeGraph,1,13,43,43,858,338.693028450012
RebuildWholeGraph,1,13,44,44,827,338.693028450012
RebuildWholeGraph,1,13,44,44,779,338.693028450012
RebuildWholeGraph,1,13,46,46,779,338.693028450012
RebuildWholeGraph,1,13,40,40,827,338.693028450012
RebuildWholeGraph,1,13,49,49,872,338.693028450012
RebuildWholeGraph,1,13,45,45,823,338.693028450012
RebuildWholeGraph,1,13,43,43,827,338.693028450012
RebuildWholeGraph,1,13,40,40,779,338.693028450012
RebuildWholeGraph,1,13,47,47,823,338.693028450012
