Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,49,49,650,340.902652263641
RebuildWholeGraph,0,12,54,54,684,340.902652263641
RebuildWholeGraph,0,12,51,51,645,340.902652263641
RebuildWholeGraph,0,12,46,46,650,340.902652263641
RebuildWholeGraph,0,12,47,47,643,340.902652263641
RebuildWholeGraph,0,12,52,52,666,340.902652263641
RebuildWholeGraph,0,12,49,49,681,340.902652263641
RebuildWholeGraph,0,12,48,48,627,340.902652263641
RebuildWholeGraph,0,12,52,52,654,340.902652263641
RebuildWholeGraph,0,12,54,54,654,340.902652263641
RebuildWholeGraph,0,12,54,54,654,340.902652263641
RebuildWholeGraph,0,12,58,58,666,340.902652263641
RebuildWholeGraph,0,12,48,48,650,340.902652263641
RebuildWholeGraph,0,12,51,51,650,340.902652263641
RebuildWholeGraph,0,12,49,49,645,340.902652263641
RebuildWholeGraph,0,12,50,50,650,340.902652263641
RebuildWholeGraph,0,12,55,55,643,340.902652263641
RebuildWholeGraph,0,12,48,48,681,340.902652263641
RebuildWholeGraph,0,12,47,47,645,340.902652263641
RebuildWholeGraph,0,12,52,52,645,340.902652263641
RebuildWholeGraph,0,12,53,53,643,340.902652263641
RebuildWholeGraph,0,12,46,46,645,340.902652263641
RebuildWholeGraph,0,12,50,50,654,340.902652263641
RebuildWholeGraph,0,12,52,52,650,340.902652263641
RebuildWholeGraph,0,12,52,52,643,340.902652263641
RebuildWholeGraph,0,12,48,48,681,340.902652263641
RebuildWholeGraph,0,12,51,51,643,340.902652263641
RebuildWholeGraph,0,12,51,51,645,340.902652263641
RebuildWholeGraph,0,12,56,56,650,340.902652263641
RebuildWholeGraph,0,12,49,49,650,340.902652263641
RebuildWholeGraph,1,13,52,52,779,285.681614875793
RebuildWholeGraph,1,13,49,49,872,285.681614875793
RebuildWholeGraph,1,13,56,56,827,285.681614875793
RebuildWholeGraph,1,13,66,66,779,285.681614875793
RebuildWholeGraph,1,13,51,51,779,285.681614875793
RebuildWholeGraph,1,13,57,57,779,285.681614875793
RebuildWholeGraph,1,13,51,51,779,285.681614875793
RebuildWholeGraph,1,13,63,63,779,285.681614875793
RebuildWholeGraph,1,13,49,49,827,285.681614875793
RebuildWholeGraph,1,13,51,51,779,285.681614875793
RebuildWholeGraph,1,13,51,51,779,285.681614875793
RebuildWholeGraph,1,13,50,50,827,285.681614875793
RebuildWholeGraph,1,13,76,76,774,285.681614875793
RebuildWholeGraph,1,13,67,67,872,285.681614875793
RebuildWholeGraph,1,13,49,49,854,285.681614875793
RebuildWholeGraph,1,13,58,58,872,285.681614875793
RebuildWholeGraph,1,13,52,52,827,285.681614875793
RebuildWholeGraph,1,13,51,51,872,285.681614875793
RebuildWholeGraph,1,13,60,60,872,285.681614875793
RebuildWholeGraph,1,13,63,63,827,285.681614875793
RebuildWholeGraph,1,13,53,53,774,285.681614875793
RebuildWholeGraph,1,13,53,53,827,285.681614875793
RebuildWholeGraph,1,13,65,65,827,285.681614875793
RebuildWholeGraph,1,13,62,62,779,285.681614875793
RebuildWholeGraph,1,13,64,64,827,285.681614875793
RebuildWholeGraph,1,13,47,47,827,285.681614875793
RebuildWholeGraph,1,13,57,57,779,285.681614875793
RebuildWholeGraph,1,13,55,55,854,285.681614875793
RebuildWholeGraph,1,13,67,67,827,285.681614875793
RebuildWholeGraph,1,13,59,59,827,285.681614875793
RebuildWholeGraph,2,14,55,55,683,367.371300697327
RebuildWholeGraph,2,14,45,45,680,369.59605884552
RebuildWholeGraph,2,14,54,54,711,367.371300697327
RebuildWholeGraph,2,14,54,54,680,369.59605884552
RebuildWholeGraph,2,14,63,63,680,367.371300697327
RebuildWholeGraph,2,14,64,64,695,367.371300697327
RebuildWholeGraph,2,14,53,53,692,367.371300697327
RebuildWholeGraph,2,14,58,58,683,367.371300697327
RebuildWholeGraph,2,14,63,63,692,367.371300697327
RebuildWholeGraph,2,14,66,66,705,367.371300697327
RebuildWholeGraph,2,14,59,59,683,367.371300697327
RebuildWholeGraph,2,14,63,63,692,367.371300697327
RebuildWholeGraph,2,14,48,48,680,369.59605884552
RebuildWholeGraph,2,14,48,48,711,369.59605884552
RebuildWholeGraph,2,14,56,56,711,367.371300697327
RebuildWholeGraph,2,14,52,52,692,367.371300697327
RebuildWholeGraph,2,14,48,48,695,369.59605884552
RebuildWholeGraph,2,14,61,61,680,367.371300697327
RebuildWholeGraph,2,14,70,70,692,367.371300697327
RebuildWholeGraph,2,14,53,53,692,367.371300697327
RebuildWholeGraph,2,14,65,65,692,367.371300697327
RebuildWholeGraph,2,14,50,50,692,367.371300697327
RebuildWholeGraph,2,14,60,60,692,367.371300697327
RebuildWholeGraph,2,14,50,50,683,367.371300697327
RebuildWholeGraph,2,14,52,52,680,369.59605884552
RebuildWholeGraph,2,14,48,48,711,369.59605884552
RebuildWholeGraph,2,14,63,63,695,367.371300697327
RebuildWholeGraph,2,14,66,66,750,367.371300697327
RebuildWholeGraph,2,14,56,56,683,367.371300697327
RebuildWholeGraph,2,14,50,50,680,369.59605884552
RebuildWholeGraph,3,15,73,73,941,383.493384361267
RebuildWholeGraph,3,15,77,77,941,383.493384361267
RebuildWholeGraph,3,15,70,70,853,383.493384361267
RebuildWholeGraph,3,15,64,64,870,383.493384361267
RebuildWholeGraph,3,15,67,67,941,383.493384361267
RebuildWholeGraph,3,15,67,67,853,383.493384361267
RebuildWholeGraph,3,15,82,82,941,383.493384361267
RebuildWholeGraph,3,15,63,63,853,383.493384361267
RebuildWholeGraph,3,15,67,67,941,383.493384361267
RebuildWholeGraph,3,15,71,71,882,383.493384361267
RebuildWholeGraph,3,15,68,68,877,383.493384361267
RebuildWholeGraph,3,15,68,68,870,383.493384361267
RebuildWholeGraph,3,15,82,82,941,383.493384361267
RebuildWholeGraph,3,15,67,67,941,383.493384361267
RebuildWholeGraph,3,15,72,72,941,383.493384361267
RebuildWholeGraph,3,15,73,73,856,383.493384361267
RebuildWholeGraph,3,15,66,66,941,383.493384361267
RebuildWholeGraph,3,15,129,129,941,383.493384361267
RebuildWholeGraph,3,15,65,65,870,383.493384361267
RebuildWholeGraph,3,15,71,71,941,383.493384361267
RebuildWholeGraph,3,15,68,68,870,383.493384361267
RebuildWholeGraph,3,15,75,75,941,383.493384361267
RebuildWholeGraph,3,15,74,74,853,383.493384361267
RebuildWholeGraph,3,15,70,70,941,383.493384361267
RebuildWholeGraph,3,15,71,71,856,383.493384361267
RebuildWholeGraph,3,15,70,70,856,383.493384361267
RebuildWholeGraph,3,15,71,71,941,383.493384361267
RebuildWholeGraph,3,15,103,103,941,383.493384361267
RebuildWholeGraph,3,15,62,62,882,383.493384361267
RebuildWholeGraph,3,15,66,66,882,383.493384361267
RebuildWholeGraph,4,14,65,65,711,367.371300697327
RebuildWholeGraph,4,14,60,60,711,367.371300697327
RebuildWholeGraph,4,14,62,62,692,367.371300697327
RebuildWholeGraph,4,14,59,59,680,367.371300697327
RebuildWholeGraph,4,14,60,60,711,367.371300697327
RebuildWholeGraph,4,14,56,56,695,367.371300697327
RebuildWholeGraph,4,14,49,49,680,369.59605884552
RebuildWholeGraph,4,14,59,59,680,367.371300697327
RebuildWholeGraph,4,14,53,53,711,367.371300697327
RebuildWholeGraph,4,14,71,71,715,367.371300697327
RebuildWholeGraph,4,14,61,61,695,367.371300697327
RebuildWholeGraph,4,14,65,65,686,367.371300697327
RebuildWholeGraph,4,14,48,48,705,369.59605884552
RebuildWholeGraph,4,14,67,67,750,367.371300697327
RebuildWholeGraph,4,14,53,53,692,367.371300697327
RebuildWholeGraph,4,14,49,49,695,367.371300697327
RebuildWholeGraph,4,14,52,52,692,367.371300697327
RebuildWholeGraph,4,14,51,51,692,369.59605884552
RebuildWholeGraph,4,14,53,53,692,367.371300697327
RebuildWholeGraph,4,14,47,47,692,367.371300697327
RebuildWholeGraph,4,14,59,59,683,367.371300697327
RebuildWholeGraph,4,14,54,54,750,369.59605884552
RebuildWholeGraph,4,14,57,57,692,367.371300697327
RebuildWholeGraph,4,14,60,60,692,367.371300697327
RebuildWholeGraph,4,14,57,57,692,367.371300697327
RebuildWholeGraph,4,14,50,50,692,367.371300697327
RebuildWholeGraph,4,14,71,71,680,367.371300697327
RebuildWholeGraph,4,14,49,49,686,369.59605884552
RebuildWholeGraph,4,14,52,52,683,369.59605884552
RebuildWholeGraph,4,14,59,59,683,367.371300697327
