Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,45,45,645,410
RebuildWholeGraph,0,12,52,52,643,410
RebuildWholeGraph,0,12,41,41,650,410
RebuildWholeGraph,0,12,43,43,643,410
RebuildWholeGraph,0,12,51,51,654,410
RebuildWholeGraph,0,12,43,43,681,410
RebuildWholeGraph,0,12,46,46,643,410
RebuildWholeGraph,0,12,45,45,684,410
RebuildWholeGraph,0,12,52,52,681,410
RebuildWholeGraph,0,12,45,45,681,410
RebuildWholeGraph,0,12,48,48,643,410
RebuildWholeGraph,0,12,45,45,643,410
RebuildWholeGraph,0,12,44,44,645,410
RebuildWholeGraph,0,12,55,55,645,410
RebuildWholeGraph,0,12,47,47,645,410
RebuildWholeGraph,0,12,47,47,681,410
RebuildWholeGraph,0,12,45,45,654,410
RebuildWholeGraph,0,12,40,40,681,410
RebuildWholeGraph,0,12,54,54,684,410
RebuildWholeGraph,0,12,45,45,624,410
RebuildWholeGraph,0,12,49,49,681,410
RebuildWholeGraph,0,12,51,51,624,410
RebuildWholeGraph,0,12,50,50,666,410
RebuildWholeGraph,0,12,50,50,681,410
RebuildWholeGraph,0,12,42,42,645,410
RebuildWholeGraph,0,12,54,54,681,410
RebuildWholeGraph,0,12,47,47,681,410
RebuildWholeGraph,0,12,57,57,624,410
RebuildWholeGraph,0,12,48,48,643,410
RebuildWholeGraph,0,12,45,45,681,410
RebuildWholeGraph,1,13,51,51,872,346
RebuildWholeGraph,1,13,48,48,854,346
RebuildWholeGraph,1,13,47,47,774,346
RebuildWholeGraph,1,13,45,45,858,346
RebuildWholeGraph,1,13,46,46,774,346
RebuildWholeGraph,1,13,44,44,894,346
RebuildWholeGraph,1,13,47,47,858,346
RebuildWholeGraph,1,13,43,43,854,346
RebuildWholeGraph,1,13,42,42,779,346
RebuildWholeGraph,1,13,50,50,774,346
RebuildWholeGraph,1,13,46,46,894,346
RebuildWholeGraph,1,13,47,47,854,346
RebuildWholeGraph,1,13,42,42,854,346
RebuildWholeGraph,1,13,40,40,854,346
RebuildWholeGraph,1,13,42,42,774,346
RebuildWholeGraph,1,13,43,43,858,346
RebuildWholeGraph,1,13,43,43,774,346
RebuildWholeGraph,1,13,48,48,894,346
RebuildWholeGraph,1,13,46,46,854,346
RebuildWholeGraph,1,13,42,42,894,346
RebuildWholeGraph,1,13,43,43,774,346
RebuildWholeGraph,1,13,41,41,854,346
RebuildWholeGraph,1,13,44,44,858,346
RebuildWholeGraph,1,13,46,46,774,346
RebuildWholeGraph,1,13,45,45,859,346
RebuildWholeGraph,1,13,43,43,823,346
RebuildWholeGraph,1,13,46,46,858,346
RebuildWholeGraph,1,13,45,45,858,346
RebuildWholeGraph,1,13,49,49,827,346
RebuildWholeGraph,1,13,44,44,854,346
RebuildWholeGraph,2,14,112,112,680,458
RebuildWholeGraph,2,14,136,136,695,458
RebuildWholeGraph,2,14,159,159,683,458
RebuildWholeGraph,2,14,171,171,692,458
RebuildWholeGraph,2,14,71,71,705,458
RebuildWholeGraph,2,14,109,109,686,458
RebuildWholeGraph,2,14,46,46,683,458
RebuildWholeGraph,2,14,67,67,695,458
RebuildWholeGraph,2,14,48,48,705,458
RebuildWholeGraph,2,14,150,150,683,458
RebuildWholeGraph,2,14,160,160,711,458
RebuildWholeGraph,2,14,72,72,705,458
RebuildWholeGraph,2,14,176,176,686,458
RebuildWholeGraph,2,14,117,117,683,458
RebuildWholeGraph,2,14,61,61,680,458
RebuildWholeGraph,2,14,61,61,695,458
RebuildWholeGraph,2,14,66,66,680,458
RebuildWholeGraph,2,14,58,58,680,458
RebuildWholeGraph,2,14,71,71,686,458
RebuildWholeGraph,2,14,61,61,692,458
RebuildWholeGraph,2,14,88,88,680,458
RebuildWholeGraph,2,14,68,68,680,458
RebuildWholeGraph,2,14,179,179,705,458
RebuildWholeGraph,2,14,136,136,705,458
RebuildWholeGraph,2,14,63,63,711,458
RebuildWholeGraph,2,14,93,93,680,458
RebuildWholeGraph,2,14,58,58,680,458
RebuildWholeGraph,2,14,53,53,692,458
RebuildWholeGraph,2,14,138,138,686,458
RebuildWholeGraph,2,14,46,46,680,458
RebuildWholeGraph,3,15,71,71,869,466
RebuildWholeGraph,3,15,82,82,853,466
RebuildWholeGraph,3,15,95,95,906,466
RebuildWholeGraph,3,15,99,99,870,466
RebuildWholeGraph,3,15,81,81,853,466
RebuildWholeGraph,3,15,76,76,853,466
RebuildWholeGraph,3,15,70,70,891,466
RebuildWholeGraph,3,15,100,100,941,466
RebuildWholeGraph,3,15,127,127,870,466
RebuildWholeGraph,3,15,70,70,870,466
RebuildWholeGraph,3,15,79,79,860,466
RebuildWholeGraph,3,15,78,78,906,466
RebuildWholeGraph,3,15,67,67,853,466
RebuildWholeGraph,3,15,86,86,869,466
RebuildWholeGraph,3,15,71,71,870,466
RebuildWholeGraph,3,15,69,69,906,466
RebuildWholeGraph,3,15,60,60,853,466
RebuildWholeGraph,3,15,92,92,856,466
RebuildWholeGraph,3,15,73,73,901,466
RebuildWholeGraph,3,15,96,96,860,466
RebuildWholeGraph,3,15,83,83,870,466
RebuildWholeGraph,3,15,64,64,901,466
RebuildWholeGraph,3,15,72,72,870,466
RebuildWholeGraph,3,15,76,76,870,466
RebuildWholeGraph,3,15,87,87,853,466
RebuildWholeGraph,3,15,70,70,856,466
RebuildWholeGraph,3,15,74,74,870,466
RebuildWholeGraph,3,15,66,66,856,466
RebuildWholeGraph,3,15,61,61,853,466
RebuildWholeGraph,3,15,118,118,853,466
RebuildWholeGraph,4,14,97,97,695,458
RebuildWholeGraph,4,14,53,53,686,458
RebuildWholeGraph,4,14,181,181,686,458
RebuildWholeGraph,4,14,78,78,680,458
RebuildWholeGraph,4,14,108,108,705,458
RebuildWholeGraph,4,14,163,163,750,458
RebuildWholeGraph,4,14,85,85,686,458
RebuildWholeGraph,4,14,90,90,680,458
RebuildWholeGraph,4,14,141,141,680,458
RebuildWholeGraph,4,14,99,99,695,458
RebuildWholeGraph,4,14,211,211,692,458
RebuildWholeGraph,4,14,55,55,680,458
RebuildWholeGraph,4,14,78,78,711,458
RebuildWholeGraph,4,14,48,48,683,458
RebuildWholeGraph,4,14,324,324,715,458
RebuildWholeGraph,4,14,64,64,680,458
RebuildWholeGraph,4,14,165,165,680,458
RebuildWholeGraph,4,14,52,52,705,458
RebuildWholeGraph,4,14,48,48,705,458
RebuildWholeGraph,4,14,83,83,686,458
RebuildWholeGraph,4,14,57,57,680,458
RebuildWholeGraph,4,14,90,90,715,458
RebuildWholeGraph,4,14,63,63,680,458
RebuildWholeGraph,4,14,79,79,686,458
RebuildWholeGraph,4,14,104,104,705,458
RebuildWholeGraph,4,14,100,100,680,458
RebuildWholeGraph,4,14,114,114,680,458
RebuildWholeGraph,4,14,75,75,686,458
RebuildWholeGraph,4,14,95,95,692,458
RebuildWholeGraph,4,14,64,64,686,458
