Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,460,460,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,363,363,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,303,303,555,307.104134440422
RebuildWholeGraph,0,12,500,500,620,307.104134440422
RebuildWholeGraph,0,12,500,500,532,307.104134440422
RebuildWholeGraph,0,12,407,407,555,307.104134440422
RebuildWholeGraph,0,12,132,132,555,307.104134440422
RebuildWholeGraph,0,12,500,500,583,307.104134440422
RebuildWholeGraph,0,12,500,500,620,307.104134440422
RebuildWholeGraph,0,12,216,216,604,307.104134440422
RebuildWholeGraph,0,12,389,389,620,307.104134440422
RebuildWholeGraph,0,12,273,273,605,307.104134440422
RebuildWholeGraph,0,12,254,254,605,307.104134440422
RebuildWholeGraph,0,12,500,500,582,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,620,307.104134440422
RebuildWholeGraph,0,12,500,500,532,307.104134440422
RebuildWholeGraph,0,12,500,500,607,307.104134440422
RebuildWholeGraph,0,12,307,307,583,307.104134440422
RebuildWholeGraph,0,12,500,500,532,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,595,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,0,12,500,500,555,307.104134440422
RebuildWholeGraph,1,15,102,102,833,439.110117197037
RebuildWholeGraph,1,15,107,107,805,439.110117197037
RebuildWholeGraph,1,15,103,103,798,439.110117197037
RebuildWholeGraph,1,15,109,109,794,439.110117197037
