Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,160.65532207489,5
AddNodesDynamically,0,5,68,37,165.559194564819,6
AddNodesDynamically,0,6,140,72,167.017099380493,7
AddNodesDynamically,0,7,176,36,215.406139373779,8
AddNodesDynamically,0,8,236,60,215.447473526001,9
AddNodesDynamically,0,9,306,70,221.643926620483,10
AddNodesDynamically,0,10,363,57,235.324415206909,11
AddNodesDynamically,0,11,403,40,248.616730690002,12
AddNodesDynamically,0,12,455,52,258.611075401306,13
AddNodesDynamically,0,13,496,41,259.575821876526,14
AddNodesDynamically,0,14,996,500,299.224770545959,15
AddNodesDynamically,1,4,33,33,213.290828704834,5
AddNodesDynamically,1,5,75,42,216.147029876709,6
AddNodesDynamically,1,6,125,50,267.14150428772,7
AddNodesDynamically,1,7,161,36,281.53280878067,8
AddNodesDynamically,1,8,225,64,344.863070011139,9
AddNodesDynamically,1,9,316,91,352.326704502106,10
AddNodesDynamically,1,10,363,47,354.532095432281,11
AddNodesDynamically,1,11,411,48,354.58978509903,12
AddNodesDynamically,1,12,451,40,355.793193817139,13
AddNodesDynamically,1,13,492,41,355.864666461945,14
AddNodesDynamically,1,14,542,50,356.025913715363,15
AddNodesDynamically,2,4,38,38,95.1887245178223,5
AddNodesDynamically,2,5,75,37,213.097541809082,6
AddNodesDynamically,2,6,120,45,215.023731231689,7
AddNodesDynamically,2,7,162,42,261.691535949707,8
AddNodesDynamically,2,8,199,37,263.532274246216,9
AddNodesDynamically,2,9,237,38,265.446330070496,10
AddNodesDynamically,2,10,276,39,265.566487312317,11
AddNodesDynamically,2,11,316,40,268.276637077332,12
AddNodesDynamically,2,12,389,73,283.802046775818,13
AddNodesDynamically,2,13,435,46,329.695548057556,14
AddNodesDynamically,2,14,536,101,330.83998131752,15
AddNodesDynamically,3,4,37,37,279.994773864746,5
AddNodesDynamically,3,5,70,33,280.187602043152,6
AddNodesDynamically,3,6,105,35,289.390355110168,7
AddNodesDynamically,3,7,210,105,296.917109489441,8
AddNodesDynamically,3,8,260,50,303.629830360413,9
AddNodesDynamically,3,9,298,38,304.106200695038,10
AddNodesDynamically,3,10,336,38,321.509430408478,11
AddNodesDynamically,3,11,713,377,343.577131748199,12
AddNodesDynamically,3,12,753,40,345.851164340973,13
AddNodesDynamically,3,13,852,99,348.734768390656,14
AddNodesDynamically,3,14,893,41,358.821210384369,15
AddNodesDynamically,4,4,33,33,160.65532207489,5
AddNodesDynamically,4,5,66,33,165.559194564819,6
AddNodesDynamically,4,6,223,157,167.017099380493,7
AddNodesDynamically,4,7,259,36,215.406139373779,8
AddNodesDynamically,4,8,464,205,215.447473526001,9
AddNodesDynamically,4,9,549,85,221.643926620483,10
AddNodesDynamically,4,10,603,54,235.324415206909,11
AddNodesDynamically,4,11,642,39,248.616730690002,12
AddNodesDynamically,4,12,705,63,258.611075401306,13
AddNodesDynamically,4,13,772,67,259.575821876526,14
AddNodesDynamically,4,14,1192,420,299.224770545959,15
