Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,32,32,242.641902923584,5
AddNodesDynamically,0,5,65,33,249.890594482422,6
AddNodesDynamically,0,6,105,40,251.52746963501,7
AddNodesDynamically,0,7,141,36,256.485106468201,8
AddNodesDynamically,0,8,179,38,304.775671958923,9
AddNodesDynamically,0,9,694,515,309.19145488739,10
AddNodesDynamically,0,10,956,262,353.524147987366,11
AddNodesDynamically,0,11,1077,121,354.747114181519,12
AddNodesDynamically,0,12,1117,40,358.894552230835,13
AddNodesDynamically,0,13,1158,41,363.949505805969,14
AddNodesDynamically,0,14,1200,42,387.338122367859,15
