Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,45,45,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,47,47,693,911.190134834254
RebuildWholeGraph,0,11,40,40,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,41,41,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,40,40,693,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,677,911.190134834254
RebuildWholeGraph,0,11,39,39,693,911.190134834254
