Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,11,582,582,677,825.396825396825
RebuildWholeGraph,0,11,102,102,693,825.396825396825
RebuildWholeGraph,0,11,113,113,677,825.396825396825
RebuildWholeGraph,0,11,48,48,633,873.015873015873
RebuildWholeGraph,0,11,190,190,677,825.396825396825
RebuildWholeGraph,0,11,320,320,677,825.396825396825
RebuildWholeGraph,0,11,44,44,633,873.015873015873
RebuildWholeGraph,0,11,145,145,677,825.396825396825
RebuildWholeGraph,0,11,75,75,677,825.396825396825
RebuildWholeGraph,0,11,61,61,677,825.396825396825
RebuildWholeGraph,0,11,57,57,677,825.396825396825
RebuildWholeGraph,0,11,42,42,661,873.015873015873
RebuildWholeGraph,0,11,89,89,677,825.396825396825
RebuildWholeGraph,0,11,323,323,649,825.396825396825
RebuildWholeGraph,0,11,41,41,661,873.015873015873
RebuildWholeGraph,0,11,57,57,633,873.015873015873
RebuildWholeGraph,0,11,48,48,607,825.396825396826
RebuildWholeGraph,0,11,278,278,677,825.396825396825
RebuildWholeGraph,0,11,79,79,677,825.396825396825
RebuildWholeGraph,0,11,392,392,677,825.396825396825
RebuildWholeGraph,0,11,488,488,677,825.396825396825
RebuildWholeGraph,0,11,59,59,677,825.396825396825
RebuildWholeGraph,0,11,892,892,677,825.396825396825
RebuildWholeGraph,0,11,218,218,677,825.396825396825
RebuildWholeGraph,0,11,365,365,649,825.396825396825
RebuildWholeGraph,0,11,145,145,677,825.396825396825
RebuildWholeGraph,0,11,158,158,677,825.396825396825
RebuildWholeGraph,0,11,140,140,649,825.396825396825
RebuildWholeGraph,0,11,159,159,677,825.396825396825
RebuildWholeGraph,0,11,74,74,634,873.015873015873
