Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,10,311,311,462,203
RebuildWholeGraph,0,10,296,296,487,203
RebuildWholeGraph,0,10,181,181,506,203
RebuildWholeGraph,0,10,128,128,448,203
RebuildWholeGraph,0,10,86,86,462,203
RebuildWholeGraph,0,10,80,80,506,203
RebuildWholeGraph,0,10,183,183,487,203
RebuildWholeGraph,0,10,354,354,455,203
RebuildWholeGraph,0,10,101,101,462,203
RebuildWholeGraph,0,10,209,209,468,203
RebuildWholeGraph,0,10,87,87,455,203
RebuildWholeGraph,0,10,96,96,506,203
RebuildWholeGraph,0,10,46,46,455,203
RebuildWholeGraph,0,10,453,453,506,203
RebuildWholeGraph,0,10,500,500,487,203
RebuildWholeGraph,0,10,54,54,462,203
RebuildWholeGraph,0,10,163,163,455,203
RebuildWholeGraph,0,10,104,104,462,203
RebuildWholeGraph,0,10,167,167,455,203
RebuildWholeGraph,0,10,142,142,487,203
RebuildWholeGraph,0,10,143,143,462,203
RebuildWholeGraph,0,10,118,118,455,203
RebuildWholeGraph,0,10,102,102,462,203
RebuildWholeGraph,0,10,188,188,455,203
RebuildWholeGraph,0,10,279,279,506,203
RebuildWholeGraph,0,10,90,90,462,203
RebuildWholeGraph,0,10,500,500,462,203
RebuildWholeGraph,0,10,88,88,447,203
RebuildWholeGraph,0,10,500,500,447,203
RebuildWholeGraph,0,10,84,84,462,203
