Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,10,214,214,487,380
RebuildWholeGraph,0,10,81,81,506,380
RebuildWholeGraph,0,10,139,139,462,380
RebuildWholeGraph,0,10,118,118,487,380
RebuildWholeGraph,0,10,54,54,462,380
RebuildWholeGraph,0,10,51,51,462,380
RebuildWholeGraph,0,10,200,200,448,380
RebuildWholeGraph,0,10,167,167,455,380
RebuildWholeGraph,0,10,213,213,506,380
RebuildWholeGraph,0,10,142,142,462,380
RebuildWholeGraph,0,10,180,180,506,380
RebuildWholeGraph,0,10,242,242,506,380
RebuildWholeGraph,0,10,234,234,506,380
RebuildWholeGraph,0,10,338,338,455,380
RebuildWholeGraph,0,10,75,75,487,380
RebuildWholeGraph,0,10,51,51,506,380
RebuildWholeGraph,0,10,116,116,448,380
RebuildWholeGraph,0,10,47,47,462,380
RebuildWholeGraph,0,10,109,109,467,380
RebuildWholeGraph,0,10,60,60,448,380
RebuildWholeGraph,0,10,52,52,455,380
RebuildWholeGraph,0,10,493,493,506,380
RebuildWholeGraph,0,10,81,81,448,380
RebuildWholeGraph,0,10,205,205,455,380
RebuildWholeGraph,0,10,175,175,462,380
RebuildWholeGraph,0,10,105,105,448,380
RebuildWholeGraph,0,10,115,115,455,380
RebuildWholeGraph,0,10,88,88,448,380
RebuildWholeGraph,0,10,229,229,506,380
RebuildWholeGraph,0,10,44,44,506,380
