Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,33,33,234.631074905396,5
AddNodesDynamically,0,5,66,33,283.573400497437,6
AddNodesDynamically,0,6,100,34,287.800315856934,7
AddNodesDynamically,0,7,136,36,299.409635543823,8
AddNodesDynamically,0,8,173,37,309.542615890503,9
AddNodesDynamically,0,9,211,38,313.774820327759,10
AddNodesDynamically,0,10,250,39,325.802554130554,11
AddNodesDynamically,0,11,289,39,354.293400764465,12
AddNodesDynamically,0,12,329,40,362.266715526581,13
AddNodesDynamically,0,13,370,41,362.874691486359,14
AddNodesDynamically,0,14,452,82,385.959015369415,15
