Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,15,59,59,773,479
RebuildWholeGraph,0,15,131,131,773,479
RebuildWholeGraph,0,15,240,240,766,479
RebuildWholeGraph,0,15,131,131,766,479
RebuildWholeGraph,0,15,109,109,766,479
RebuildWholeGraph,0,15,71,71,800,479
RebuildWholeGraph,0,15,132,132,766,479
RebuildWholeGraph,0,15,121,121,766,479
RebuildWholeGraph,0,15,72,72,743,479
RebuildWholeGraph,0,15,50,50,766,479
RebuildWholeGraph,0,15,101,101,773,479
RebuildWholeGraph,0,15,79,79,766,479
RebuildWholeGraph,0,15,100,100,766,479
RebuildWholeGraph,0,15,62,62,768,479
RebuildWholeGraph,0,15,159,159,773,479
RebuildWholeGraph,0,15,141,141,773,479
RebuildWholeGraph,0,15,86,86,766,479
RebuildWholeGraph,0,15,104,104,766,479
RebuildWholeGraph,0,15,62,62,766,479
RebuildWholeGraph,0,15,205,205,766,479
RebuildWholeGraph,0,15,65,65,766,479
RebuildWholeGraph,0,15,54,54,766,479
RebuildWholeGraph,0,15,56,56,766,479
RebuildWholeGraph,0,15,64,64,773,479
RebuildWholeGraph,0,15,122,122,768,479
RebuildWholeGraph,0,15,82,82,773,479
RebuildWholeGraph,0,15,149,149,766,481
RebuildWholeGraph,0,15,114,114,766,479
RebuildWholeGraph,0,15,50,50,773,479
RebuildWholeGraph,0,15,102,102,766,479
