Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,4,31,31,221.025003433228,5
AddNodesDynamically,0,5,64,33,223.518968582153,6
AddNodesDynamically,0,6,98,34,228.555771827698,7
AddNodesDynamically,0,7,134,36,240.102258682251,8
AddNodesDynamically,0,8,171,37,249.491548538208,9
AddNodesDynamically,0,9,209,38,287.883478164673,10
AddNodesDynamically,0,10,248,39,297.848638534546,11
AddNodesDynamically,0,11,287,39,305.676126480103,12
AddNodesDynamically,0,12,327,40,327.966586112976,13
AddNodesDynamically,0,13,368,41,335.62016582489,14
AddNodesDynamically,0,14,409,41,337.079384803772,15
