Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,242.641902923584,5
RebuildWholeGraph,0,5,64,33,249.890594482422,6
RebuildWholeGraph,0,6,119,55,251.52746963501,7
RebuildWholeGraph,0,7,159,40,256.485106468201,8
RebuildWholeGraph,0,8,210,51,304.775671958923,9
RebuildWholeGraph,0,9,322,112,309.19145488739,10
RebuildWholeGraph,0,10,500,178,353.524147987366,11
RebuildWholeGraph,0,11,571,71,354.747114181519,12
RebuildWholeGraph,0,12,638,67,358.894552230835,13
RebuildWholeGraph,0,13,705,67,363.949505805969,14
RebuildWholeGraph,0,14,783,78,387.338122367859,15
RebuildWholeGraph,0,15,839,56,400.103167533875,16
RebuildWholeGraph,0,16,900,61,408.542753219604,17
RebuildWholeGraph,0,17,974,74,421.404356956482,18
RebuildWholeGraph,0,18,1039,65,422.381103515625,19
RebuildWholeGraph,0,19,1108,69,428.239360809326,20
RebuildWholeGraph,0,20,1173,65,432.965556144714,21
RebuildWholeGraph,0,21,1249,76,442.048318862915,22
RebuildWholeGraph,0,22,1316,67,442.160152435303,23
RebuildWholeGraph,0,23,1410,94,462.911167144775,24
RebuildWholeGraph,0,24,1473,63,469.593280792236,25
RebuildWholeGraph,0,25,1537,64,469.986769676208,26
RebuildWholeGraph,0,26,1616,79,472.55958533287,27
RebuildWholeGraph,0,27,1685,69,483.142493963242,28
RebuildWholeGraph,0,28,1798,113,500.273761510849,29
RebuildWholeGraph,0,29,1885,87,500.41814160347,30
RebuildWholeGraph,0,30,1967,82,502.819993257523,31
RebuildWholeGraph,0,31,2038,71,505.600194215775,32
RebuildWholeGraph,0,32,2132,94,504.346455335617,33
RebuildWholeGraph,0,33,2222,90,514.885472536087,34
RebuildWholeGraph,0,34,2308,86,523.434074640274,35
RebuildWholeGraph,0,35,2393,85,523.652605772018,36
RebuildWholeGraph,0,36,2474,81,524.961074590683,37
RebuildWholeGraph,0,37,2555,81,534.98678278923,38
RebuildWholeGraph,0,38,2638,83,536.331205129623,39
RebuildWholeGraph,0,39,2707,69,541.769308328629,40
RebuildWholeGraph,1,4,31,31,237.005370140076,5
RebuildWholeGraph,1,5,64,33,237.522614479065,6
RebuildWholeGraph,1,6,99,35,259.843945503235,7
RebuildWholeGraph,1,7,138,39,271.45872592926,8
