Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,55,55,1097,481.575654745102
RebuildWholeGraph,0,13,59,59,1097,481.575654745102
RebuildWholeGraph,0,13,66,66,1135,481.575654745102
RebuildWholeGraph,0,13,85,85,1086,481.575654745102
RebuildWholeGraph,0,13,62,62,1135,481.575654745102
RebuildWholeGraph,0,13,70,70,1135,481.575654745102
RebuildWholeGraph,0,13,71,71,1097,481.575654745102
RebuildWholeGraph,0,13,68,68,991,481.575654745102
RebuildWholeGraph,0,13,59,59,1135,481.575654745102
RebuildWholeGraph,0,13,57,57,1135,481.575654745102
RebuildWholeGraph,0,13,63,63,991,481.575654745102
RebuildWholeGraph,0,13,64,64,1135,481.575654745102
RebuildWholeGraph,0,13,76,76,905,481.575654745102
RebuildWholeGraph,0,13,70,70,991,481.575654745102
RebuildWholeGraph,0,13,49,49,1097,481.575654745102
RebuildWholeGraph,0,13,57,57,991,481.575654745102
RebuildWholeGraph,0,13,56,56,991,481.575654745102
RebuildWholeGraph,0,13,74,74,1135,481.575654745102
RebuildWholeGraph,0,13,69,69,905,481.575654745102
RebuildWholeGraph,0,13,56,56,1135,481.575654745102
RebuildWholeGraph,0,13,59,59,991,481.575654745102
RebuildWholeGraph,0,13,53,53,1146,481.575654745102
RebuildWholeGraph,0,13,57,57,991,481.575654745102
RebuildWholeGraph,0,13,56,56,1146,481.575654745102
RebuildWholeGraph,0,13,61,61,905,481.575654745102
RebuildWholeGraph,0,13,65,65,1135,481.575654745102
RebuildWholeGraph,0,13,60,60,1120,481.575654745102
RebuildWholeGraph,0,13,50,50,1135,481.575654745102
RebuildWholeGraph,0,13,62,62,1097,481.575654745102
RebuildWholeGraph,0,13,51,51,1032,485.718227148056
RebuildWholeGraph,1,13,82,82,417,402.92085814476
RebuildWholeGraph,1,13,91,91,392,402.92085814476
RebuildWholeGraph,1,13,98,98,392,402.92085814476
RebuildWholeGraph,1,13,65,65,393,402.92085814476
RebuildWholeGraph,1,13,74,74,392,402.92085814476
RebuildWholeGraph,1,13,79,79,379,402.92085814476
RebuildWholeGraph,1,13,70,70,404,402.92085814476
