Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,678,719
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,669,717
RebuildWholeGraph,0,13,1000,1000,664,717
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,653,717
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,781,781,648,717
RebuildWholeGraph,0,13,1000,1000,669,717
RebuildWholeGraph,0,13,1000,1000,648,717
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,0,13,480,480,666,717
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,650,717
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,0,13,1000,1000,610,717
RebuildWholeGraph,0,13,1000,1000,648,719
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,567,717
RebuildWholeGraph,0,13,1000,1000,664,717
RebuildWholeGraph,0,13,1000,1000,666,717
RebuildWholeGraph,1,13,50,50,357,409
RebuildWholeGraph,1,13,64,64,362,409
RebuildWholeGraph,1,13,589,589,373,405
RebuildWholeGraph,1,13,1000,1000,356,405
RebuildWholeGraph,1,13,212,212,364,409
RebuildWholeGraph,1,13,571,571,360,405
RebuildWholeGraph,1,13,1000,1000,373,405
RebuildWholeGraph,1,13,334,334,373,405
RebuildWholeGraph,1,13,799,799,372,405
RebuildWholeGraph,1,13,229,229,356,405
RebuildWholeGraph,1,13,634,634,368,405
RebuildWholeGraph,1,13,380,380,360,405
RebuildWholeGraph,1,13,233,233,373,405
RebuildWholeGraph,1,13,65,65,360,405
RebuildWholeGraph,1,13,135,135,360,405
RebuildWholeGraph,1,13,379,379,373,405
RebuildWholeGraph,1,13,146,146,372,405
RebuildWholeGraph,1,13,1000,1000,373,405
RebuildWholeGraph,1,13,278,278,373,405
RebuildWholeGraph,1,13,1000,1000,373,405
RebuildWholeGraph,1,13,328,328,360,405
RebuildWholeGraph,1,13,1000,1000,373,405
RebuildWholeGraph,1,13,1000,1000,360,405
RebuildWholeGraph,1,13,960,960,368,405
RebuildWholeGraph,1,13,1000,1000,368,405
RebuildWholeGraph,1,13,958,958,373,405
RebuildWholeGraph,1,13,707,707,360,405
RebuildWholeGraph,1,13,1000,1000,373,405
RebuildWholeGraph,1,13,104,104,373,405
RebuildWholeGraph,1,13,269,269,372,405
RebuildWholeGraph,2,13,1000,1000,378,471
RebuildWholeGraph,2,13,1000,1000,430,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,1000,1000,448,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,905,905,419,471
RebuildWholeGraph,2,13,304,304,378,471
RebuildWholeGraph,2,13,1000,1000,419,471
RebuildWholeGraph,2,13,1000,1000,437,471
RebuildWholeGraph,2,13,1000,1000,434,471
RebuildWholeGraph,2,13,363,363,427,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,1000,1000,434,471
RebuildWholeGraph,2,13,617,617,378,471
RebuildWholeGraph,2,13,163,163,427,471
RebuildWholeGraph,2,13,771,771,378,471
RebuildWholeGraph,2,13,1000,1000,435,471
RebuildWholeGraph,2,13,1000,1000,430,471
RebuildWholeGraph,2,13,482,482,427,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,543,543,422,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,1000,1000,448,471
RebuildWholeGraph,2,13,1000,1000,378,471
RebuildWholeGraph,2,13,204,204,378,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,180,180,378,471
RebuildWholeGraph,2,13,1000,1000,427,471
RebuildWholeGraph,2,13,1000,1000,434,471
RebuildWholeGraph,3,13,67,67,398,459
RebuildWholeGraph,3,13,1000,1000,410,459
RebuildWholeGraph,3,13,1000,1000,410,459
RebuildWholeGraph,3,13,139,139,398,459
RebuildWholeGraph,3,13,745,745,398,459
RebuildWholeGraph,3,13,714,714,398,459
RebuildWholeGraph,3,13,102,102,398,459
RebuildWholeGraph,3,13,544,544,410,459
RebuildWholeGraph,3,13,1000,1000,426,459
RebuildWholeGraph,3,13,553,553,410,459
RebuildWholeGraph,3,13,1000,1000,410,459
RebuildWholeGraph,3,13,83,83,410,459
RebuildWholeGraph,3,13,968,968,430,459
RebuildWholeGraph,3,13,106,106,433,459
RebuildWholeGraph,3,13,151,151,407,459
RebuildWholeGraph,3,13,337,337,407,459
RebuildWholeGraph,3,13,874,874,426,459
RebuildWholeGraph,3,13,358,358,410,459
RebuildWholeGraph,3,13,234,234,430,459
RebuildWholeGraph,3,13,1000,1000,431,459
RebuildWholeGraph,3,13,275,275,407,459
RebuildWholeGraph,3,13,348,348,407,459
RebuildWholeGraph,3,13,271,271,410,459
RebuildWholeGraph,3,13,357,357,398,459
RebuildWholeGraph,3,13,1000,1000,431,459
RebuildWholeGraph,3,13,799,799,431,459
RebuildWholeGraph,3,13,845,845,410,459
RebuildWholeGraph,3,13,1000,1000,430,459
RebuildWholeGraph,3,13,63,63,400,461
RebuildWholeGraph,3,13,567,567,410,459
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,323,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,4,15,1000,1000,319,381
RebuildWholeGraph,5,15,497,497,412,441
RebuildWholeGraph,5,15,185,185,409,441
RebuildWholeGraph,5,15,1000,1000,415,441
RebuildWholeGraph,5,15,750,750,409,441
RebuildWholeGraph,5,15,346,346,409,441
RebuildWholeGraph,5,15,149,149,408,441
RebuildWholeGraph,5,15,152,152,400,441
RebuildWholeGraph,5,15,290,290,403,441
RebuildWholeGraph,5,15,1000,1000,389,441
RebuildWholeGraph,5,15,116,116,403,441
RebuildWholeGraph,5,15,548,548,388,441
RebuildWholeGraph,5,15,761,761,403,441
RebuildWholeGraph,5,15,218,218,408,441
RebuildWholeGraph,5,15,1000,1000,401,441
RebuildWholeGraph,5,15,376,376,409,441
RebuildWholeGraph,5,15,122,122,403,441
RebuildWholeGraph,5,15,262,262,388,441
RebuildWholeGraph,5,15,151,151,414,441
RebuildWholeGraph,5,15,728,728,415,441
RebuildWholeGraph,5,15,484,484,407,441
RebuildWholeGraph,5,15,160,160,400,441
RebuildWholeGraph,5,15,1000,1000,403,441
RebuildWholeGraph,5,15,958,958,403,441
RebuildWholeGraph,5,15,132,132,407,441
RebuildWholeGraph,5,15,492,492,389,441
RebuildWholeGraph,5,15,927,927,409,441
RebuildWholeGraph,5,15,466,466,409,441
RebuildWholeGraph,5,15,201,201,393,441
RebuildWholeGraph,5,15,387,387,395,441
RebuildWholeGraph,5,15,1000,1000,403,441
RebuildWholeGraph,6,15,55,55,423,483
RebuildWholeGraph,6,15,49,49,437,483
RebuildWholeGraph,6,15,54,54,438,483
RebuildWholeGraph,6,15,49,49,447,483
RebuildWholeGraph,6,15,53,53,423,483
RebuildWholeGraph,6,15,52,52,447,483
RebuildWholeGraph,6,15,54,54,447,483
RebuildWholeGraph,6,15,48,48,437,483
RebuildWholeGraph,6,15,55,55,447,483
RebuildWholeGraph,6,15,45,45,438,483
RebuildWholeGraph,6,15,54,54,447,483
RebuildWholeGraph,6,15,53,53,423,483
RebuildWholeGraph,6,15,53,53,423,483
RebuildWholeGraph,6,15,56,56,438,483
RebuildWholeGraph,6,15,57,57,446,483
RebuildWholeGraph,6,15,51,51,438,483
RebuildWholeGraph,6,15,55,55,444,483
RebuildWholeGraph,6,15,58,58,438,483
RebuildWholeGraph,6,15,54,54,450,483
RebuildWholeGraph,6,15,50,50,423,483
RebuildWholeGraph,6,15,56,56,438,483
RebuildWholeGraph,6,15,48,48,423,483
RebuildWholeGraph,6,15,50,50,423,483
RebuildWholeGraph,6,15,62,62,438,483
RebuildWholeGraph,6,15,54,54,424,483
RebuildWholeGraph,6,15,60,60,467,483
RebuildWholeGraph,6,15,59,59,450,483
RebuildWholeGraph,6,15,51,51,421,483
RebuildWholeGraph,6,15,50,50,447,483
RebuildWholeGraph,6,15,58,58,437,483
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,355,355,418,468
RebuildWholeGraph,7,14,549,549,425,468
RebuildWholeGraph,7,14,700,700,395,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,904,904,399,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,1000,1000,399,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,566,566,395,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,395,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,395,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,170,170,425,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,425,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,1000,1000,418,468
RebuildWholeGraph,7,14,901,901,414,468
RebuildWholeGraph,8,14,58,58,470,578
RebuildWholeGraph,8,14,91,91,547,578
RebuildWholeGraph,8,14,83,83,534,578
RebuildWholeGraph,8,14,75,75,470,578
RebuildWholeGraph,8,14,98,98,470,578
RebuildWholeGraph,8,14,100,100,532,578
RebuildWholeGraph,8,14,85,85,470,578
RebuildWholeGraph,8,14,84,84,517,578
RebuildWholeGraph,8,14,79,79,526,578
RebuildWholeGraph,8,14,65,65,470,578
RebuildWholeGraph,8,14,69,69,470,578
RebuildWholeGraph,8,14,82,82,517,578
RebuildWholeGraph,8,14,69,69,554,578
RebuildWholeGraph,8,14,107,107,470,578
RebuildWholeGraph,8,14,71,71,558,578
RebuildWholeGraph,8,14,90,90,554,578
RebuildWholeGraph,8,14,77,77,517,578
RebuildWholeGraph,8,14,90,90,522,578
RebuildWholeGraph,8,14,107,107,522,578
RebuildWholeGraph,8,14,70,70,470,578
RebuildWholeGraph,8,14,70,70,559,578
RebuildWholeGraph,8,14,110,110,547,578
RebuildWholeGraph,8,14,89,89,522,578
RebuildWholeGraph,8,14,85,85,526,578
RebuildWholeGraph,8,14,70,70,522,578
RebuildWholeGraph,8,14,86,86,547,578
RebuildWholeGraph,8,14,81,81,517,578
RebuildWholeGraph,8,14,84,84,522,578
RebuildWholeGraph,8,14,75,75,517,578
RebuildWholeGraph,8,14,72,72,530,578
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,312,312,273,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,452,452,273,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,355,377
RebuildWholeGraph,9,13,695,695,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,355,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,147,147,355,377
RebuildWholeGraph,9,13,213,213,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,555,555,340,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,1000,1000,323,375
RebuildWholeGraph,9,13,1000,1000,273,377
RebuildWholeGraph,9,13,1000,1000,316,375
RebuildWholeGraph,9,13,1000,1000,273,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,9,13,442,442,340,377
RebuildWholeGraph,9,13,1000,1000,355,377
RebuildWholeGraph,9,13,764,764,340,377
RebuildWholeGraph,9,13,682,682,340,377
RebuildWholeGraph,9,13,1000,1000,273,377
RebuildWholeGraph,9,13,1000,1000,340,377
RebuildWholeGraph,10,12,242,242,327,450
RebuildWholeGraph,10,12,136,136,327,450
RebuildWholeGraph,10,12,255,255,412,450
RebuildWholeGraph,10,12,941,941,422,450
RebuildWholeGraph,10,12,829,829,327,450
RebuildWholeGraph,10,12,1000,1000,326,450
RebuildWholeGraph,10,12,82,82,395,450
RebuildWholeGraph,10,12,1000,1000,327,450
RebuildWholeGraph,10,12,1000,1000,395,450
RebuildWholeGraph,10,12,188,188,395,450
RebuildWholeGraph,10,12,256,256,327,450
RebuildWholeGraph,10,12,1000,1000,422,450
RebuildWholeGraph,10,12,183,183,395,450
RebuildWholeGraph,10,12,230,230,326,450
RebuildWholeGraph,10,12,204,204,326,450
RebuildWholeGraph,10,12,589,589,395,450
RebuildWholeGraph,10,12,1000,1000,414,450
RebuildWholeGraph,10,12,1000,1000,414,450
RebuildWholeGraph,10,12,167,167,414,450
RebuildWholeGraph,10,12,822,822,327,450
RebuildWholeGraph,10,12,1000,1000,381,450
RebuildWholeGraph,10,12,93,93,383,450
RebuildWholeGraph,10,12,118,118,327,450
RebuildWholeGraph,10,12,57,57,383,450
RebuildWholeGraph,10,12,1000,1000,326,450
RebuildWholeGraph,10,12,496,496,337,450
RebuildWholeGraph,10,12,199,199,326,450
RebuildWholeGraph,10,12,1000,1000,326,450
RebuildWholeGraph,10,12,126,126,327,450
RebuildWholeGraph,10,12,961,961,327,450
RebuildWholeGraph,11,14,135,135,421,468
RebuildWholeGraph,11,14,152,152,441,468
RebuildWholeGraph,11,14,108,108,421,468
RebuildWholeGraph,11,14,63,63,421,468
RebuildWholeGraph,11,14,91,91,421,468
RebuildWholeGraph,11,14,91,91,441,468
RebuildWholeGraph,11,14,74,74,421,468
RebuildWholeGraph,11,14,130,130,425,468
RebuildWholeGraph,11,14,85,85,430,468
RebuildWholeGraph,11,14,80,80,422,468
RebuildWholeGraph,11,14,67,67,425,468
RebuildWholeGraph,11,14,85,85,420,468
RebuildWholeGraph,11,14,88,88,421,468
RebuildWholeGraph,11,14,162,162,421,468
RebuildWholeGraph,11,14,149,149,421,468
RebuildWholeGraph,11,14,128,128,421,468
RebuildWholeGraph,11,14,89,89,430,468
RebuildWholeGraph,11,14,113,113,421,468
RebuildWholeGraph,11,14,133,133,425,468
RebuildWholeGraph,11,14,97,97,421,468
RebuildWholeGraph,11,14,102,102,430,468
RebuildWholeGraph,11,14,90,90,441,468
RebuildWholeGraph,11,14,82,82,441,468
RebuildWholeGraph,11,14,119,119,422,468
RebuildWholeGraph,11,14,104,104,425,468
RebuildWholeGraph,11,14,139,139,421,468
RebuildWholeGraph,11,14,76,76,425,468
RebuildWholeGraph,11,14,109,109,441,468
RebuildWholeGraph,11,14,96,96,441,468
RebuildWholeGraph,11,14,129,129,421,468
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,503,559
RebuildWholeGraph,12,15,227,227,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,496,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,256,256,450,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,496,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,450,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,224,224,496,559
RebuildWholeGraph,12,15,586,586,456,559
RebuildWholeGraph,12,15,1000,1000,496,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,510,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,456,559
RebuildWholeGraph,12,15,1000,1000,496,559
RebuildWholeGraph,12,15,1000,1000,496,559
RebuildWholeGraph,13,15,1000,1000,442,477
RebuildWholeGraph,13,15,1000,1000,409,477
RebuildWholeGraph,13,15,1000,1000,432,477
RebuildWholeGraph,13,15,1000,1000,442,477
RebuildWholeGraph,13,15,1000,1000,433,477
RebuildWholeGraph,13,15,707,707,411,477
RebuildWholeGraph,13,15,412,412,442,477
RebuildWholeGraph,13,15,1000,1000,432,477
RebuildWholeGraph,13,15,138,138,411,477
RebuildWholeGraph,13,15,1000,1000,442,477
RebuildWholeGraph,13,15,1000,1000,440,477
RebuildWholeGraph,13,15,1000,1000,432,477
RebuildWholeGraph,13,15,790,790,409,477
RebuildWholeGraph,13,15,1000,1000,442,477
RebuildWholeGraph,13,15,1000,1000,440,477
RebuildWholeGraph,13,15,139,139,432,477
RebuildWholeGraph,13,15,568,568,411,477
RebuildWholeGraph,13,15,368,368,442,477
RebuildWholeGraph,13,15,1000,1000,449,477
RebuildWholeGraph,13,15,103,103,442,477
RebuildWholeGraph,13,15,871,871,432,477
RebuildWholeGraph,13,15,196,196,432,477
RebuildWholeGraph,13,15,715,715,428,477
RebuildWholeGraph,13,15,188,188,405,477
RebuildWholeGraph,13,15,1000,1000,409,477
RebuildWholeGraph,13,15,83,83,442,477
RebuildWholeGraph,13,15,1000,1000,449,477
RebuildWholeGraph,13,15,1000,1000,409,477
RebuildWholeGraph,13,15,1000,1000,432,477
RebuildWholeGraph,13,15,754,754,409,477
RebuildWholeGraph,14,15,79,79,460,507
RebuildWholeGraph,14,15,165,165,452,507
RebuildWholeGraph,14,15,72,72,460,507
RebuildWholeGraph,14,15,78,78,460,507
RebuildWholeGraph,14,15,83,83,452,507
RebuildWholeGraph,14,15,71,71,460,507
RebuildWholeGraph,14,15,107,107,460,507
RebuildWholeGraph,14,15,78,78,460,507
RebuildWholeGraph,14,15,103,103,460,507
RebuildWholeGraph,14,15,98,98,452,507
RebuildWholeGraph,14,15,83,83,460,507
RebuildWholeGraph,14,15,120,120,478,507
RebuildWholeGraph,14,15,74,74,452,507
RebuildWholeGraph,14,15,86,86,460,507
RebuildWholeGraph,14,15,129,129,452,507
RebuildWholeGraph,14,15,109,109,452,507
RebuildWholeGraph,14,15,86,86,465,507
RebuildWholeGraph,14,15,86,86,465,507
RebuildWholeGraph,14,15,79,79,465,507
RebuildWholeGraph,14,15,118,118,452,507
RebuildWholeGraph,14,15,84,84,460,507
RebuildWholeGraph,14,15,115,115,465,507
RebuildWholeGraph,14,15,77,77,460,507
RebuildWholeGraph,14,15,89,89,452,507
RebuildWholeGraph,14,15,96,96,458,507
RebuildWholeGraph,14,15,76,76,472,507
RebuildWholeGraph,14,15,90,90,460,507
RebuildWholeGraph,14,15,96,96,454,507
RebuildWholeGraph,14,15,101,101,452,507
RebuildWholeGraph,14,15,95,95,460,507
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,513,569
RebuildWholeGraph,15,15,1000,1000,545,569
RebuildWholeGraph,15,15,1000,1000,547,569
RebuildWholeGraph,15,15,1000,1000,497,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,547,569
RebuildWholeGraph,15,15,1000,1000,499,569
RebuildWholeGraph,15,15,1000,1000,480,569
RebuildWholeGraph,15,15,1000,1000,549,569
RebuildWholeGraph,15,15,1000,1000,529,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,543,569
RebuildWholeGraph,15,15,1000,1000,513,569
RebuildWholeGraph,15,15,1000,1000,549,569
RebuildWholeGraph,15,15,1000,1000,547,569
RebuildWholeGraph,15,15,1000,1000,513,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,499,569
RebuildWholeGraph,15,15,1000,1000,497,569
RebuildWholeGraph,15,15,1000,1000,478,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,497,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,549,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,511,569
RebuildWholeGraph,15,15,1000,1000,545,569
RebuildWholeGraph,15,15,1000,1000,531,569
RebuildWholeGraph,15,15,1000,1000,497,569
RebuildWholeGraph,16,13,1000,1000,326,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,326,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,363,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,356,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,338,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,326,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,338,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,355,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,16,13,1000,1000,323,385
RebuildWholeGraph,17,15,1000,1000,430,481
RebuildWholeGraph,17,15,1000,1000,411,481
RebuildWholeGraph,17,15,1000,1000,430,481
RebuildWholeGraph,17,15,1000,1000,419,481
RebuildWholeGraph,17,15,147,147,430,481
RebuildWholeGraph,17,15,1000,1000,430,481
RebuildWholeGraph,17,15,1000,1000,432,481
RebuildWholeGraph,17,15,367,367,430,481
RebuildWholeGraph,17,15,1000,1000,430,481
RebuildWholeGraph,17,15,920,920,432,481
RebuildWholeGraph,17,15,528,528,469,481
RebuildWholeGraph,17,15,1000,1000,432,481
RebuildWholeGraph,17,15,1000,1000,430,481
RebuildWholeGraph,17,15,1000,1000,430,481
