Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,51,51,974,336.342739105225
RebuildWholeGraph,0,13,46,46,974,336.342739105225
RebuildWholeGraph,0,13,43,43,1096,336.342739105225
RebuildWholeGraph,0,13,45,45,974,336.342739105225
RebuildWholeGraph,0,13,44,44,1115,336.342739105225
RebuildWholeGraph,0,13,45,45,965,336.342739105225
RebuildWholeGraph,0,13,46,46,974,336.342739105225
RebuildWholeGraph,0,13,50,50,885,336.342739105225
RebuildWholeGraph,0,13,49,49,974,336.342739105225
RebuildWholeGraph,0,13,47,47,885,336.342739105225
RebuildWholeGraph,0,13,42,42,974,336.342739105225
RebuildWholeGraph,0,13,40,40,974,336.342739105225
RebuildWholeGraph,0,13,50,50,1096,336.342739105225
RebuildWholeGraph,0,13,52,52,1066,336.342739105225
RebuildWholeGraph,0,13,41,41,1111,336.342739105225
RebuildWholeGraph,0,13,46,46,974,336.342739105225
RebuildWholeGraph,0,13,48,48,1056,336.342739105225
RebuildWholeGraph,0,13,44,44,974,336.342739105225
RebuildWholeGraph,0,13,46,46,1096,336.342739105225
RebuildWholeGraph,0,13,40,40,974,336.342739105225
RebuildWholeGraph,0,13,44,44,974,336.342739105225
RebuildWholeGraph,0,13,46,46,916,336.342739105225
RebuildWholeGraph,0,13,48,48,1096,336.342739105225
RebuildWholeGraph,0,13,49,49,1100,336.342739105225
RebuildWholeGraph,0,13,50,50,974,336.342739105225
RebuildWholeGraph,0,13,46,46,974,336.342739105225
RebuildWholeGraph,0,13,44,44,1111,336.342739105225
RebuildWholeGraph,0,13,49,49,1100,336.342739105225
RebuildWholeGraph,0,13,45,45,974,336.342739105225
RebuildWholeGraph,0,13,42,42,1100,336.342739105225
RebuildWholeGraph,1,13,76,76,373,297.929455757141
RebuildWholeGraph,1,13,63,63,368,298.925424575806
RebuildWholeGraph,1,13,54,54,372,298.925424575806
RebuildWholeGraph,1,13,69,69,360,297.929455757141
RebuildWholeGraph,1,13,126,126,368,297.929455757141
RebuildWholeGraph,1,13,135,135,360,297.929455757141
RebuildWholeGraph,1,13,108,108,387,298.649837493896
RebuildWholeGraph,1,13,127,127,385,298.649837493896
RebuildWholeGraph,1,13,186,186,360,297.929455757141
RebuildWholeGraph,1,13,72,72,376,298.649837493896
RebuildWholeGraph,1,13,66,66,372,297.929455757141
RebuildWholeGraph,1,13,69,69,368,297.929455757141
RebuildWholeGraph,1,13,127,127,368,297.929455757141
RebuildWholeGraph,1,13,71,71,376,298.649837493896
RebuildWholeGraph,1,13,59,59,379,298.925424575806
RebuildWholeGraph,1,13,68,68,372,297.929455757141
RebuildWholeGraph,1,13,62,62,379,298.925424575806
RebuildWholeGraph,1,13,115,115,360,297.929455757141
RebuildWholeGraph,1,13,80,80,381,298.649837493896
RebuildWholeGraph,1,13,130,130,368,297.929455757141
RebuildWholeGraph,1,13,111,111,372,297.929455757141
RebuildWholeGraph,1,13,55,55,372,298.649837493896
RebuildWholeGraph,1,13,60,60,368,297.929455757141
RebuildWholeGraph,1,13,59,59,372,298.925424575806
RebuildWholeGraph,1,13,62,62,360,297.929455757141
RebuildWholeGraph,1,13,56,56,379,298.925424575806
RebuildWholeGraph,1,13,150,150,356,297.929455757141
RebuildWholeGraph,1,13,54,54,372,298.925424575806
RebuildWholeGraph,1,13,67,67,372,297.929455757141
RebuildWholeGraph,1,13,67,67,378,298.649837493896
RebuildWholeGraph,2,13,101,101,427,339.227689743042
RebuildWholeGraph,2,13,86,86,378,339.227689743042
RebuildWholeGraph,2,13,166,166,434,339.227689743042
RebuildWholeGraph,2,13,101,101,427,339.227689743042
RebuildWholeGraph,2,13,137,137,427,339.227689743042
RebuildWholeGraph,2,13,148,148,427,339.227689743042
RebuildWholeGraph,2,13,97,97,427,339.227689743042
RebuildWholeGraph,2,13,115,115,378,339.227689743042
RebuildWholeGraph,2,13,162,162,427,339.227689743042
RebuildWholeGraph,2,13,169,169,378,339.227689743042
RebuildWholeGraph,2,13,119,119,453,339.227689743042
RebuildWholeGraph,2,13,82,82,427,339.227689743042
RebuildWholeGraph,2,13,87,87,427,339.227689743042
RebuildWholeGraph,2,13,86,86,378,339.227689743042
RebuildWholeGraph,2,13,88,88,378,339.227689743042
RebuildWholeGraph,2,13,81,81,427,339.227689743042
RebuildWholeGraph,2,13,88,88,434,339.227689743042
RebuildWholeGraph,2,13,83,83,427,339.227689743042
RebuildWholeGraph,2,13,83,83,427,339.227689743042
RebuildWholeGraph,2,13,67,67,378,339.227689743042
RebuildWholeGraph,2,13,123,123,427,339.227689743042
RebuildWholeGraph,2,13,80,80,419,339.227689743042
RebuildWholeGraph,2,13,71,71,434,339.227689743042
RebuildWholeGraph,2,13,77,77,378,339.227689743042
RebuildWholeGraph,2,13,80,80,427,339.227689743042
RebuildWholeGraph,2,13,121,121,378,339.227689743042
RebuildWholeGraph,2,13,111,111,434,339.227689743042
RebuildWholeGraph,2,13,118,118,378,339.227689743042
RebuildWholeGraph,2,13,96,96,427,339.227689743042
RebuildWholeGraph,2,13,85,85,427,339.227689743042
RebuildWholeGraph,3,13,291,291,467,327.472661495209
RebuildWholeGraph,3,13,606,606,486,327.472661495209
RebuildWholeGraph,3,13,1000,1000,486,327.472661495209
RebuildWholeGraph,3,13,758,758,486,327.472661495209
RebuildWholeGraph,3,13,165,165,486,327.472661495209
RebuildWholeGraph,3,13,348,348,467,327.472661495209
RebuildWholeGraph,3,13,503,503,488,327.472661495209
RebuildWholeGraph,3,13,619,619,483,327.472661495209
RebuildWholeGraph,3,13,301,301,488,327.472661495209
RebuildWholeGraph,3,13,250,250,467,327.472661495209
RebuildWholeGraph,3,13,322,322,488,327.472661495209
RebuildWholeGraph,3,13,367,367,488,327.472661495209
RebuildWholeGraph,3,13,175,175,486,327.472661495209
