Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,63,63,669,618.720210552216
RebuildWholeGraph,0,13,592,592,563,618.720210552216
RebuildWholeGraph,0,13,833,833,669,618.720210552216
RebuildWholeGraph,0,13,48,48,679,624.826892375946
RebuildWholeGraph,0,13,272,272,669,618.720210552216
RebuildWholeGraph,0,13,350,350,653,618.720210552216
RebuildWholeGraph,0,13,181,181,653,618.720210552216
RebuildWholeGraph,0,13,54,54,691,627.332688093185
RebuildWholeGraph,0,13,619,619,669,618.720210552216
RebuildWholeGraph,0,13,275,275,669,618.720210552216
RebuildWholeGraph,1,13,81,81,376,346.881365895271
RebuildWholeGraph,1,13,136,136,368,346.59185564518
RebuildWholeGraph,1,13,116,116,387,346.881365895271
RebuildWholeGraph,1,13,90,90,387,346.881365895271
RebuildWholeGraph,1,13,121,121,383,346.881365895271
RebuildWholeGraph,1,13,77,77,368,346.59185564518
RebuildWholeGraph,1,13,71,71,360,346.59185564518
RebuildWholeGraph,1,13,123,123,374,344.083946347237
RebuildWholeGraph,1,13,50,50,374,348.159896969795
RebuildWholeGraph,1,13,80,80,383,346.881365895271
RebuildWholeGraph,2,13,54,54,378,418.561504244804
RebuildWholeGraph,2,13,629,629,445,416.180513262749
RebuildWholeGraph,2,13,224,224,445,416.180513262749
RebuildWholeGraph,2,13,160,160,433,416.180513262749
RebuildWholeGraph,2,13,67,67,415,416.180513262749
RebuildWholeGraph,2,13,257,257,415,416.180513262749
RebuildWholeGraph,2,13,378,378,415,416.180513262749
RebuildWholeGraph,2,13,153,153,415,416.180513262749
RebuildWholeGraph,2,13,108,108,430,416.180513262749
RebuildWholeGraph,2,13,54,54,416,416.180513262749
RebuildWholeGraph,3,13,48,48,433,383.27845454216
RebuildWholeGraph,3,13,62,62,433,383.27845454216
RebuildWholeGraph,3,13,49,49,400,383.27845454216
RebuildWholeGraph,3,13,47,47,432,383.27845454216
RebuildWholeGraph,3,13,58,58,433,383.27845454216
RebuildWholeGraph,3,13,49,49,428,383.27845454216
RebuildWholeGraph,3,13,47,47,409,383.27845454216
