Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,121,121,1120,428
RebuildWholeGraph,0,13,48,48,974,428
RebuildWholeGraph,0,13,93,93,974,428
RebuildWholeGraph,0,13,140,140,1096,428
RebuildWholeGraph,0,13,111,111,1056,428
RebuildWholeGraph,0,13,80,80,974,428
RebuildWholeGraph,0,13,51,51,974,428
RebuildWholeGraph,0,13,168,168,1097,428
RebuildWholeGraph,0,13,81,81,974,428
RebuildWholeGraph,0,13,69,69,1097,428
RebuildWholeGraph,1,13,397,397,365,384
RebuildWholeGraph,1,13,91,91,391,384
RebuildWholeGraph,1,13,1000,1000,364,384
RebuildWholeGraph,1,13,730,730,372,384
RebuildWholeGraph,1,13,147,147,361,384
RebuildWholeGraph,1,13,732,732,366,384
RebuildWholeGraph,1,13,186,186,365,384
RebuildWholeGraph,1,13,341,341,366,384
RebuildWholeGraph,1,13,510,510,366,384
RebuildWholeGraph,1,13,281,281,368,384
RebuildWholeGraph,2,13,63,63,427,426
RebuildWholeGraph,2,13,66,66,431,426
RebuildWholeGraph,2,13,417,417,427,426
RebuildWholeGraph,2,13,402,402,427,426
RebuildWholeGraph,2,13,64,64,437,426
RebuildWholeGraph,2,13,64,64,431,426
RebuildWholeGraph,2,13,320,320,427,426
RebuildWholeGraph,2,13,61,61,430,426
RebuildWholeGraph,2,13,213,213,427,426
RebuildWholeGraph,2,13,83,83,434,426
RebuildWholeGraph,3,13,68,68,445,410
RebuildWholeGraph,3,13,59,59,442,410
RebuildWholeGraph,3,13,50,50,442,410
RebuildWholeGraph,3,13,62,62,442,410
RebuildWholeGraph,3,13,60,60,454,410
RebuildWholeGraph,3,13,71,71,451,410
RebuildWholeGraph,3,13,59,59,459,410
RebuildWholeGraph,3,13,55,55,451,410
RebuildWholeGraph,3,13,53,53,451,410
RebuildWholeGraph,3,13,46,46,474,410
RebuildWholeGraph,4,15,84,84,365,316
RebuildWholeGraph,4,15,1000,1000,334,316
RebuildWholeGraph,4,15,99,99,334,316
RebuildWholeGraph,4,15,57,57,334,316
RebuildWholeGraph,4,15,387,387,362,316
RebuildWholeGraph,4,15,64,64,334,316
RebuildWholeGraph,4,15,213,213,334,316
RebuildWholeGraph,4,15,76,76,334,316
RebuildWholeGraph,4,15,60,60,334,316
RebuildWholeGraph,4,15,159,159,371,316
