Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,51,51,515,627.332688093185
RebuildWholeGraph,0,13,253,253,669,618.720210552216
RebuildWholeGraph,0,13,343,343,653,618.720210552216
RebuildWholeGraph,0,13,800,800,669,618.720210552216
RebuildWholeGraph,0,13,179,179,669,618.720210552216
RebuildWholeGraph,0,13,524,524,669,618.720210552216
RebuildWholeGraph,0,13,275,275,653,618.720210552216
RebuildWholeGraph,0,13,55,55,688,627.332688093185
RebuildWholeGraph,0,13,544,544,669,618.720210552216
RebuildWholeGraph,0,13,152,152,653,618.720210552216
RebuildWholeGraph,1,13,141,141,368,346.59185564518
RebuildWholeGraph,1,13,134,134,387,346.881365895271
RebuildWholeGraph,1,13,153,153,380,346.881365895271
RebuildWholeGraph,1,13,67,67,387,346.881365895271
RebuildWholeGraph,1,13,53,53,374,348.159896969795
RebuildWholeGraph,1,13,168,168,384,344.083946347237
RebuildWholeGraph,1,13,116,116,368,346.59185564518
RebuildWholeGraph,1,13,118,118,387,346.881365895271
RebuildWholeGraph,1,13,49,49,360,346.59185564518
RebuildWholeGraph,1,13,54,54,362,347.032546877861
RebuildWholeGraph,2,13,63,63,427,418.561504244804
RebuildWholeGraph,2,13,52,52,427,418.561504244804
RebuildWholeGraph,2,13,89,89,430,416.180513262749
RebuildWholeGraph,2,13,62,62,439,418.350399374962
RebuildWholeGraph,2,13,53,53,378,418.561504244804
RebuildWholeGraph,2,13,150,150,415,416.180513262749
RebuildWholeGraph,2,13,73,73,416,416.180513262749
RebuildWholeGraph,2,13,55,55,427,418.561504244804
RebuildWholeGraph,2,13,56,56,427,418.561504244804
RebuildWholeGraph,2,13,75,75,415,416.180513262749
RebuildWholeGraph,3,13,48,48,432,383.27845454216
RebuildWholeGraph,3,13,52,52,409,383.27845454216
RebuildWholeGraph,3,13,50,50,409,383.27845454216
RebuildWholeGraph,3,13,56,56,400,383.27845454216
RebuildWholeGraph,3,13,51,51,400,383.27845454216
RebuildWholeGraph,3,13,50,50,432,383.27845454216
RebuildWholeGraph,3,13,52,52,435,383.27845454216
RebuildWholeGraph,3,13,52,52,409,383.27845454216
RebuildWholeGraph,3,13,47,47,433,383.27845454216
RebuildWholeGraph,3,13,51,51,428,383.27845454216
RebuildWholeGraph,4,15,189,189,350,333.303998827934
RebuildWholeGraph,4,15,78,78,361,334.651992678642
RebuildWholeGraph,4,15,267,267,350,333.303998827934
RebuildWholeGraph,4,15,69,69,323,334.651992678642
RebuildWholeGraph,4,15,225,225,323,333.303998827934
RebuildWholeGraph,4,15,151,151,350,333.303998827934
RebuildWholeGraph,4,15,113,113,338,333.303998827934
RebuildWholeGraph,4,15,114,114,350,333.303998827934
RebuildWholeGraph,4,15,235,235,350,333.303998827934
RebuildWholeGraph,4,15,65,65,319,334.651992678642
RebuildWholeGraph,5,15,65,65,403,411.974775671959
RebuildWholeGraph,5,15,52,52,386,411.974775671959
RebuildWholeGraph,5,15,58,58,388,411.974775671959
RebuildWholeGraph,5,15,55,55,410,411.974775671959
RebuildWholeGraph,5,15,59,59,388,411.974775671959
RebuildWholeGraph,5,15,63,63,412,411.974775671959
RebuildWholeGraph,5,15,60,60,403,411.974775671959
RebuildWholeGraph,5,15,114,114,403,411.974775671959
RebuildWholeGraph,5,15,79,79,409,411.974775671959
RebuildWholeGraph,5,15,61,61,412,411.974775671959
RebuildWholeGraph,6,15,57,57,424,429.960604786873
RebuildWholeGraph,6,15,54,54,424,429.960604786873
RebuildWholeGraph,6,15,60,60,424,429.960604786873
RebuildWholeGraph,6,15,54,54,459,429.960604786873
RebuildWholeGraph,6,15,57,57,423,429.960604786873
