Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,933,933,567,717
RebuildWholeGraph,0,13,434,434,666,717
RebuildWholeGraph,0,13,62,62,549,731
RebuildWholeGraph,0,13,173,173,653,717
RebuildWholeGraph,0,13,508,508,664,717
RebuildWholeGraph,0,13,126,126,648,717
RebuildWholeGraph,0,13,127,127,668,719
RebuildWholeGraph,0,13,248,248,680,717
RebuildWholeGraph,0,13,433,433,666,717
RebuildWholeGraph,0,13,177,177,563,717
RebuildWholeGraph,1,13,217,217,361,409
RebuildWholeGraph,1,13,493,493,373,405
RebuildWholeGraph,1,13,82,82,368,405
RebuildWholeGraph,1,13,51,51,365,409
RebuildWholeGraph,1,13,46,46,365,409
RebuildWholeGraph,1,13,75,75,374,407
RebuildWholeGraph,1,13,122,122,373,405
RebuildWholeGraph,1,13,64,64,360,405
RebuildWholeGraph,1,13,77,77,360,405
RebuildWholeGraph,1,13,78,78,365,409
RebuildWholeGraph,2,13,275,275,430,471
RebuildWholeGraph,2,13,72,72,378,471
RebuildWholeGraph,2,13,61,61,453,471
RebuildWholeGraph,2,13,60,60,378,471
RebuildWholeGraph,2,13,61,61,378,471
RebuildWholeGraph,2,13,450,450,427,471
RebuildWholeGraph,2,13,237,237,427,471
RebuildWholeGraph,2,13,158,158,427,471
RebuildWholeGraph,2,13,378,378,427,471
RebuildWholeGraph,2,13,183,183,427,471
RebuildWholeGraph,3,13,344,344,426,459
RebuildWholeGraph,3,13,118,118,410,459
RebuildWholeGraph,3,13,291,291,398,459
RebuildWholeGraph,3,13,149,149,407,459
RebuildWholeGraph,3,13,118,118,431,459
RebuildWholeGraph,3,13,245,245,431,459
RebuildWholeGraph,3,13,146,146,407,459
RebuildWholeGraph,3,13,158,158,426,459
RebuildWholeGraph,3,13,202,202,398,459
RebuildWholeGraph,3,13,124,124,410,459
RebuildWholeGraph,4,15,442,442,319,381
RebuildWholeGraph,4,15,126,126,323,381
RebuildWholeGraph,4,15,254,254,319,381
RebuildWholeGraph,4,15,563,563,319,381
RebuildWholeGraph,4,15,418,418,323,381
RebuildWholeGraph,4,15,852,852,319,381
RebuildWholeGraph,4,15,70,70,323,381
RebuildWholeGraph,4,15,67,67,323,381
RebuildWholeGraph,4,15,431,431,323,381
RebuildWholeGraph,4,15,461,461,319,381
RebuildWholeGraph,5,15,70,70,388,441
RebuildWholeGraph,5,15,82,82,388,441
RebuildWholeGraph,5,15,91,91,407,441
RebuildWholeGraph,5,15,61,61,395,441
RebuildWholeGraph,5,15,103,103,403,441
RebuildWholeGraph,5,15,70,70,403,441
RebuildWholeGraph,5,15,77,77,403,441
RebuildWholeGraph,5,15,76,76,389,441
RebuildWholeGraph,5,15,57,57,388,441
RebuildWholeGraph,5,15,128,128,389,441
RebuildWholeGraph,6,15,52,52,443,483
RebuildWholeGraph,6,15,46,46,424,483
RebuildWholeGraph,6,15,50,50,438,483
RebuildWholeGraph,6,15,53,53,441,483
RebuildWholeGraph,6,15,51,51,446,483
RebuildWholeGraph,6,15,52,52,423,483
RebuildWholeGraph,6,15,44,44,446,483
RebuildWholeGraph,6,15,50,50,438,483
RebuildWholeGraph,6,15,55,55,467,483
RebuildWholeGraph,6,15,49,49,437,483
RebuildWholeGraph,7,14,109,109,418,468
RebuildWholeGraph,7,14,61,61,418,468
RebuildWholeGraph,7,14,112,112,399,468
RebuildWholeGraph,7,14,87,87,422,468
RebuildWholeGraph,7,14,86,86,418,468
RebuildWholeGraph,7,14,115,115,395,468
RebuildWholeGraph,7,14,66,66,422,468
RebuildWholeGraph,7,14,134,134,395,468
RebuildWholeGraph,7,14,74,74,425,468
RebuildWholeGraph,7,14,90,90,414,468
RebuildWholeGraph,8,14,45,45,538,580
RebuildWholeGraph,8,14,56,56,532,578
RebuildWholeGraph,8,14,51,51,517,578
RebuildWholeGraph,8,14,48,48,530,578
RebuildWholeGraph,8,14,46,46,532,578
RebuildWholeGraph,8,14,52,52,470,578
RebuildWholeGraph,8,14,60,60,470,578
RebuildWholeGraph,8,14,50,50,522,578
RebuildWholeGraph,8,14,69,69,470,578
RebuildWholeGraph,8,14,53,53,532,578
RebuildWholeGraph,9,13,653,653,355,377
RebuildWholeGraph,9,13,512,512,355,377
RebuildWholeGraph,9,13,194,194,340,377
RebuildWholeGraph,9,13,294,294,340,377
RebuildWholeGraph,9,13,92,92,273,377
RebuildWholeGraph,9,13,260,260,350,377
RebuildWholeGraph,9,13,115,115,273,377
RebuildWholeGraph,9,13,123,123,355,377
RebuildWholeGraph,9,13,207,207,355,377
RebuildWholeGraph,9,13,579,579,340,377
RebuildWholeGraph,10,12,338,338,422,450
RebuildWholeGraph,10,12,56,56,355,450
RebuildWholeGraph,10,12,67,67,326,450
RebuildWholeGraph,10,12,162,162,327,450
RebuildWholeGraph,10,12,96,96,326,450
RebuildWholeGraph,10,12,121,121,395,450
RebuildWholeGraph,10,12,225,225,326,450
RebuildWholeGraph,10,12,862,862,395,450
