Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,13,295,295,991,428
RebuildWholeGraph,0,13,160,160,991,428
RebuildWholeGraph,0,13,187,187,1056,428
RebuildWholeGraph,0,13,176,176,974,428
RebuildWholeGraph,0,13,252,252,1135,428
RebuildWholeGraph,0,13,71,71,974,428
RebuildWholeGraph,0,13,329,329,1096,428
RebuildWholeGraph,0,13,49,49,974,428
RebuildWholeGraph,0,13,140,140,991,428
RebuildWholeGraph,0,13,180,180,1097,428
RebuildWholeGraph,1,13,278,278,365,384
RebuildWholeGraph,1,13,279,279,366,384
RebuildWholeGraph,1,13,939,939,384,384
RebuildWholeGraph,1,13,387,387,366,384
RebuildWholeGraph,1,13,283,283,361,384
RebuildWholeGraph,1,13,1000,1000,368,384
RebuildWholeGraph,1,13,452,452,361,384
RebuildWholeGraph,1,13,1000,1000,361,384
RebuildWholeGraph,1,13,478,478,365,384
RebuildWholeGraph,1,13,1000,1000,359,384
RebuildWholeGraph,2,13,212,212,427,426
RebuildWholeGraph,2,13,221,221,378,426
RebuildWholeGraph,2,13,73,73,378,426
RebuildWholeGraph,2,13,73,73,437,426
RebuildWholeGraph,2,13,77,77,427,426
RebuildWholeGraph,2,13,548,548,448,426
RebuildWholeGraph,2,13,283,283,427,426
RebuildWholeGraph,2,13,55,55,378,426
RebuildWholeGraph,2,13,77,77,427,426
RebuildWholeGraph,2,13,65,65,448,426
RebuildWholeGraph,3,13,53,53,478,410
RebuildWholeGraph,3,13,56,56,474,410
RebuildWholeGraph,3,13,59,59,451,410
RebuildWholeGraph,3,13,63,63,442,410
RebuildWholeGraph,3,13,54,54,442,410
RebuildWholeGraph,3,13,59,59,424,410
RebuildWholeGraph,3,13,53,53,442,410
RebuildWholeGraph,3,13,67,67,442,410
RebuildWholeGraph,3,13,84,84,451,410
RebuildWholeGraph,3,13,57,57,442,410
RebuildWholeGraph,4,15,66,66,334,316
RebuildWholeGraph,4,15,502,502,322,316
RebuildWholeGraph,4,15,264,264,334,316
RebuildWholeGraph,4,15,55,55,334,316
RebuildWholeGraph,4,15,489,489,322,316
RebuildWholeGraph,4,15,67,67,334,316
RebuildWholeGraph,4,15,453,453,334,316
RebuildWholeGraph,4,15,63,63,322,316
RebuildWholeGraph,4,15,171,171,334,316
RebuildWholeGraph,4,15,228,228,322,316
RebuildWholeGraph,5,15,57,57,411,394
RebuildWholeGraph,5,15,139,139,414,394
RebuildWholeGraph,5,15,103,103,392,394
RebuildWholeGraph,5,15,94,94,430,394
RebuildWholeGraph,5,15,122,122,416,394
RebuildWholeGraph,5,15,138,138,392,394
RebuildWholeGraph,5,15,71,71,431,394
RebuildWholeGraph,5,15,75,75,409,394
RebuildWholeGraph,5,15,74,74,414,394
RebuildWholeGraph,5,15,85,85,412,394
RebuildWholeGraph,6,15,48,48,437,432
RebuildWholeGraph,6,15,41,41,444,432
RebuildWholeGraph,6,15,47,47,437,432
RebuildWholeGraph,6,15,50,50,423,432
RebuildWholeGraph,6,15,44,44,423,432
RebuildWholeGraph,6,15,51,51,447,432
RebuildWholeGraph,6,15,46,46,423,432
RebuildWholeGraph,6,15,48,48,437,432
RebuildWholeGraph,6,15,44,44,450,432
RebuildWholeGraph,6,15,46,46,423,432
RebuildWholeGraph,7,14,48,48,424,410
RebuildWholeGraph,7,14,62,62,451,408
RebuildWholeGraph,7,14,45,45,431,410
RebuildWholeGraph,7,14,53,53,431,410
RebuildWholeGraph,7,14,47,47,431,410
RebuildWholeGraph,7,14,57,57,409,408
RebuildWholeGraph,7,14,60,60,421,408
RebuildWholeGraph,7,14,74,74,405,408
RebuildWholeGraph,7,14,49,49,424,410
RebuildWholeGraph,7,14,58,58,451,408
RebuildWholeGraph,8,14,42,42,537,446
RebuildWholeGraph,8,14,42,42,566,446
RebuildWholeGraph,8,14,42,42,536,446
RebuildWholeGraph,8,14,39,39,555,446
RebuildWholeGraph,8,14,43,43,536,446
RebuildWholeGraph,8,14,42,42,536,446
RebuildWholeGraph,8,14,39,39,546,446
RebuildWholeGraph,8,14,38,38,568,446
RebuildWholeGraph,8,14,41,41,566,446
RebuildWholeGraph,8,14,39,39,546,446
